# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.297
metadata : {}


# id : NWRW1800000022.297.1.1
韓電 "봉이 김선달式 민자발전소 폐지를";천연가스 값 뛰자 발전 중지 한전서 받은 전력을 재판매"앉아서 수십억원 차익 챙겨"

韓電	韓電/SH
"봉이	"/SS+봉이/NNP
김선달式	김선달/NNP+式/SH
민자발전소	민자/NNG+발전소/NNG
폐지를";천연가스	폐지/NNG+를/JKO+"/SS+;/SW+천연가스/NNG
값	값/NNG
뛰자	뛰/VV+자/EC
발전	발전/NNG
중지	중지/NNG
한전서	한전/NNP+서/JKB
받은	받/VV+은/ETM
전력을	전력/NNG+을/JKO
재판매"앉아서	재/XPN+판매/NNG+"/SS+앉/VV+아서/EC
수십억원	수십억/NR+원/NNB
차익	차익/NNG
챙겨"	챙기/VV+어/EC+"/SS


# id : NWRW1800000022.297.2.1
발전기를 안 돌리고도 돈을 버는 발전소가 있다.

발전기를	발전기/NNG+를/JKO
안	안/MAG
돌리고도	돌리/VV+고도/EC
돈을	돈/NNG+을/JKO
버는	벌/VV+는/ETM
발전소가	발전소/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.297.2.2
케네텍, 인천공항에너지 같은 업체들이 장본인이다.

케네텍,	케네텍/NNP+,/SP
인천공항에너지	인천공항에너지/NNP
같은	같/VA+은/ETM
업체들이	업체/NNG+들/XSN+이/JKS
장본인이다.	장본인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.297.2.3
뉴타운과 인천공항에 각각 전기를 공급해온 민자 발전소인 이들은 각각 올 3월과 4월부터 발전기 가동을 중지했다.

뉴타운과	뉴타운/NNG+과/JC
인천공항에	인천공항/NNP+에/JKB
각각	각각/MAG
전기를	전기/NNG+를/JKO
공급해온	공급/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
민자	민자/NNG
발전소인	발전소/NNG+이/VCP+ㄴ/ETM
이들은	이/NP+들/XSN+은/JX
올	올/NNG
3월과	3/SN+월/NNB+과/JC
4월부터	4/SN+월/NNB+부터/JX
발전기	발전기/NNG
가동을	가동/NNG+을/JKO
중지했다.	중지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.297.2.4
이유는 천연가스(LNG) 가격 인상이다.

이유는	이유/NNG+는/JX
천연가스(LNG)	천연가스/NNG+(/SS+LNG/SL+)/SS
가격	가격/NNG
인상이다.	인상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.297.3.1
이들 업체는 정부가 2004년부터 시행한 구역전기사업자들인데, 택지개발지구에 열병합발전소를 세워 해당 지역에 전기와 온수를 공급하는 게 목적이었다.

이들	이/NP+들/XSN
업체는	업체/NNG+는/JX
정부가	정부/NNG+가/JKS
2004년부터	2004/SN+년/NNB+부터/JX
시행한	시행/NNG+하/XSV+ㄴ/ETM
구역전기사업자들인데,	구역/NNG+전기/NNG+사업자/NNG+들/XSN+이/VCP+ㄴ데/EC+,/SP
택지개발지구에	택지/NNG+개발/NNG+지구/NNG+에/JKB
열병합발전소를	열/NNG+병합/NNG+발전소/NNG+를/JKO
세워	세우/VV+어/EC
해당	해당/NNG
지역에	지역/NNG+에/JKB
전기와	전기/NNG+와/JC
온수를	온수/NNG+를/JKO
공급하는	공급/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
목적이었다.	목적/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.297.3.2
수요지 근처에 발전소를 지으면 송·변전설비 건설비가 줄 수 있다는 것도 매력이었다.

수요지	수요지/NNG
근처에	근처/NNG+에/JKB
발전소를	발전소/NNG+를/JKO
지으면	짓/VV+으면/EC
송·변전설비	송·변전/NNG+설비/NNG
건설비가	건설비/NNG+가/JKS
줄	줄/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것도	것/NNB+도/JX
매력이었다.	매력/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.297.3.3
지금까지 정부 허가를 받은 발전소만 31개.

지금까지	지금/NNG+까지/JX
정부	정부/NNG
허가를	허가/NNG+를/JKO
받은	받/VV+은/ETM
발전소만	발전소/NNG+만/JX
31개.	31/SN+개/NNB+./SF


# id : NWRW1800000022.297.4.1
문제는 발전소들이 LNG 가격이 오르자 발전기 가동률을 낮추고, 부족분은 한국전력의 전기를 끌어다 공급하기 시작했다는 점이다.

문제는	문제/NNG+는/JX
발전소들이	발전소/NNG+들/XSN+이/JKS
LNG	LNG/SL
가격이	가격/NNG+이/JKS
오르자	오르/VV+자/EC
발전기	발전기/NNG
가동률을	가동/NNG+률/XSN+을/JKO
낮추고,	낮추/VV+고/EC+,/SP
부족분은	부족/NNG+분/XSN+은/JX
한국전력의	한국전력/NNP+의/JKG
전기를	전기/NNG+를/JKO
끌어다	끌/VV+어다/EC
공급하기	공급/NNG+하/XSV+기/ETN
시작했다는	시작/NNG+하/XSV+았/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.297.4.2
한전에 따르면 상당수 발전소가 전력의 60%를 한전에서 받아 쓰고 있고 7개 발전소는 발전기 가동을 멈추고 오로지 한전에서 받은 전력에 이윤을 남겨 재판매하고 있는 실정이다.

한전에	한전/NNP+에/JKB
따르면	따르/VV+면/EC
상당수	상당수/NNG
발전소가	발전소/NNG+가/JKS
전력의	전력/NNG+의/JKG
60%를	60/SN+%/SW+를/JKO
한전에서	한전/NNP+에서/JKB
받아	받/VV+아/EC
쓰고	쓰/VV+고/EC
있고	있/VX+고/EC
7개	7/SN+개/NNB
발전소는	발전소/NNG+는/JX
발전기	발전기/NNG
가동을	가동/NNG+을/JKO
멈추고	멈추/VV+고/EC
오로지	오로지/MAG
받은	받/VV+은/ETM
전력에	전력/NNG+에/JKB
이윤을	이윤/NNG+을/JKO
남겨	남기/VV+어/EC
재판매하고	재/XPN+판매/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.297.5.1
한전은 "아파트에 들어가는 평균 요금이 1㎾h당 115.9원인데 한전이 민간 발전소에 주는 요금은 79.7원에 불과하다"며 "사업성 없는 민간 발전소들이 앉아서 차익을 벌어가고 있다"고 주장했다.

한전은	한전/NNP+은/JX
"아파트에	"/SS+아파트/NNG+에/JKB
들어가는	들어가/VV+는/ETM
평균	평균/NNG
요금이	요금/NNG+이/JKS
1㎾h당	1/SN+㎾h/SW+당/XSN
115.9원인데	115/SN+./SP+9/SN+원/NNB+이/VCP+ㄴ데/EC
한전이	한전/NNP+이/JKS
민간	민간/NNG
발전소에	발전소/NNG+에/JKB
주는	주/VV+는/ETM
요금은	요금/NNG+은/JX
79.7원에	79/SN+./SP+7/SN+원/NNB+에/JKB
불과하다"며	불과/MAG+하/XSA+다/EF+"/SS+며/EC
"사업성	"/SS+사업/NNG+성/XSN
없는	없/VA+는/ETM
발전소들이	발전소/NNG+들/XSN+이/JKS
앉아서	앉/VV+아서/EC
차익을	차익/NNG+을/JKO
벌어가고	벌/VV+어/EC+가/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.297.5.2
한전에 따르면 인천공항에너지는 이런 식으로 52억원을 벌었다.

한전에	한전/NNP+에/JKB
따르면	따르/VV+면/EC
인천공항에너지는	인천공항에너지/NNP+는/JX
이런	이런/MMD
식으로	식/NNB+으로/JKB
52억원을	52/SN+억/NR+원/NNB+을/JKO
벌었다.	벌/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.297.6.1
정부는 현재 전기와 열을 동시에 생산하는 열병합발전소의 특성상 열 수요가 없는 여름철에는 발전소 가동을 멈추고 한전의 전기를 쓸 수 있도록 하는 시행령을 입법 예고한 상태다.

정부는	정부/NNG+는/JX
현재	현재/MAG
전기와	전기/NNG+와/JC
열을	열/NNG+을/JKO
동시에	동시/NNG+에/JKB
생산하는	생산/NNG+하/XSV+는/ETM
열병합발전소의	열/NNG+병합/NNG+발전소/NNG+의/JKG
특성상	특성/NNG+상/XSN
열	열/NNG
수요가	수요/NNG+가/JKS
없는	없/VA+는/ETM
여름철에는	여름철/NNG+에/JKB+는/JX
발전소	발전소/NNG
가동을	가동/NNG+을/JKO
멈추고	멈추/VV+고/EC
한전의	한전/NNP+의/JKG
전기를	전기/NNG+를/JKO
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VV+는/ETM
시행령을	시행령/NNG+을/JKO
입법	입법/NNG
예고한	예고/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.297.7.1
이에 대해 한전은 제도를 폐지해야 한다는 입장이다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
한전은	한전/NNP+은/JX
제도를	제도/NNG+를/JKO
폐지해야	폐지/NNG+하/XSV+아야/EC
