# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.182
metadata : {}


# id : NWRW1800000026.182.1.1
[초등 서술형 평가 대담] "선생님, 어떻게 대비하죠?";다독보다는 '정독'암기보다는 '이해'정답보다는 '표현'

[초등	[/SS+초등/NNG
서술형	서술/NNG+형/XSN
평가	평가/NNG
대담]	대담/NNG+]/SS
"선생님,	"/SS+선생/NNG+님/XSN+,/SP
어떻게	어떻/VA+게/EC
대비하죠?";다독보다는	대비/NNG+하/XSV+죠/EF+?/SF+"/SS+;/SP+다독/NNG+보다/JKB+는/JX
'정독'암기보다는	'/SS+정독/NNG+'/SS+암기/NNG+보다/JKB+는/JX
'이해'정답보다는	'/SS+이해/NNG+'/SS+정답/NNG+보다/JKB+는/JX
'표현'	'/SS+표현/NNG+'/SS


# id : NWRW1800000026.182.2.1
지난 1학기 중간고사에서 부쩍 비중이 늘어난 서술형 평가 이후 성적이 떨어진 아이들 때문에 엄마들은 노심초사다.

지난	지나/VV+ㄴ/ETM
1학기	1/SN+학기/NNG
중간고사에서	중간고사/NNG+에서/JKB
부쩍	부쩍/MAG
비중이	비중/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
서술형	서술/NNG+형/XSN
평가	평가/NNG
이후	이후/NNG
성적이	성적/NNG+이/JKS
떨어진	떨어지/VV+ㄴ/ETM
아이들	아이/NNG+들/XSN
때문에	때문/NNB+에/JKB
엄마들은	엄마/NNG+들/XSN+은/JX
노심초사다.	노심초사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.182.2.2
"암기과목이면 외우게 하면 될 텐데, 서술·논술형이라니 마른하늘에 날벼락"이라는 푸념도 적잖다.

"암기과목이면	"/SS+암기/NNG+과목/NNG+이/VCP+면/EC
외우게	외우/VV+게/EC
하면	하/VX+면/EC
될	되/VV+ㄹ/ETM
텐데,	터/NNB+이/VCP+ㄴ데/EC+,/SP
서술·논술형이라니	서술/NNG+·/SP+논술/NNG+형/XSN+이/VCP+라니/EC
마른하늘에	마른하늘/NNG+에/JKB
날벼락"이라는	날/XPN+벼락/NNG+"/SS+이/VCP+라는/ETM
푸념도	푸념/NNG+도/JX
적잖다.	적잖/VA+다/EF+./SF


# id : NWRW1800000026.182.2.3
달라진 시험방식에 대한 궁금증과 속시원한 답변을 듣고 싶다는 서울 동산초등학교 학부모 3인과 서술형 평가의 올바른 이해를 위해 송재환 수석교사가 만나 서술형 평가에 대한 고민을 풀어봤다.

달라진	달라지/VV+ㄴ/ETM
시험방식에	시험/NNG+방식/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
궁금증과	궁금증/NNG+과/JC
속시원한	속/NNG+시원하/VA+ㄴ/ETM
답변을	답변/NNG+을/JKO
듣고	듣/VV+고/EC
싶다는	싶/VX+다는/ETM
서울	서울/NNP
동산초등학교	동산초등학교/NNP
학부모	학부모/NNG
3인과	3/SN+인/NNG+과/JC
서술형	서술/NNG+형/XSN
평가의	평가/NNG+의/JKG
올바른	올바르/VA+ㄴ/ETM
이해를	이해/NNG+를/JKO
위해	위하/VV+아/EC
송재환	송재환/NNP
수석교사가	수석/NNG+교사/NNG+가/JKS
만나	만나/VV+아/EC
평가에	평가/NNG+에/JKB
고민을	고민/NNG+을/JKO
풀어봤다.	풀/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.182.2.4
서술

서술	서술/NNG


# id : NWRW1800000026.182.3.1
형 평가, 어떻게 대비하고 이해하는 것이 좋을까.

형	형/XSN
평가,	평가/NNG+,/SP
어떻게	어떻/VA+게/EC
대비하고	대비/NNG+하/XSV+고/EC
이해하는	이해/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋을까.	좋/VA+을까/EF+./SF


# id : NWRW1800000026.182.4.1
대담 참여자 : 송재환(서울 동산초 수석교사), 현진민(초등 5·2학년 딸 둘), 최광기(초등 5·3학년 남매), 안영미(중등 2, 초등 6·3학년 아들 셋)

대담	대담/NNG
참여자	참여자/NNG
:	:/SP
송재환(서울	송재환/NNP+(/SS+서울/NNP
동산초	동산초/NNP
수석교사),	수석/NNG+교사/NNG+)/SS+,/SP
현진민(초등	현진민/NNP+(/SS+초등/NNG
5·2학년	5/SN+·/SP+2/SN+학년/NNG
딸	딸/NNG
둘),	둘/NR+)/SS+,/SP
최광기(초등	최광기/NNP+(/SS+초등/NNG
5·3학년	5/SN+·/SP+3/SN+학년/NNG
남매),	남매/NNG+)/SS+,/SP
안영미(중등	안영미/NNP+(/SS+중등/NNG
2,	2/SN+,/SP
초등	초등/NNG
6·3학년	6/SN+·/SP+3/SN+학년/NNG
아들	아들/NNG
셋)	셋/NR+)/SS


# id : NWRW1800000026.182.5.1
송재환 교사 : 서술형 평가 이후 특히 수학과 과학에서 아이들 점수가 많이 떨어져 당황한 학부형이 많은 걸로 알고 있다.

송재환	송재환/NNP
교사	교사/NNG
:	:/SP
서술형	서술/NNG+형/XSN
평가	평가/NNG
이후	이후/NNG
특히	특히/MAG
수학과	수학/NNG+과/JC
과학에서	과학/NNG+에서/JKB
아이들	아이/NNG+들/XSN
점수가	점수/NNG+가/JKS
많이	많이/MAG
떨어져	떨어지/VV+어/EC
당황한	당황/NNG+하/XSV+ㄴ/ETM
학부형이	학부형/NNG+이/JKS
많은	많/VA+은/ETM
걸로	거/NNB+ㄹ로/JKB
알고	알/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.182.5.2
이 두 과목에서 특히 두드러진 이유는 그간 이 과목들이 정답만 적으면 되는 과목이었기 때문이다.

이	이/MMD
두	두/MMN
과목에서	과목/NNG+에서/JKB
특히	특히/MAG
두드러진	두드러지/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
그간	그/NP+간/XSN
과목들이	과목/NNG+들/XSN+이/JKS
