# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.165
metadata : {}


# id : NWRW1800000033.165.1.1
직원은 실수연발… 발전기는 고장… 간부는 은폐… 원전사고는 人災 종합판

직원은	직원/NNG+은/JX
실수연발…	실수/NNG+연발/NNG+…/SE
발전기는	발전기/NNG+는/JX
고장…	고장/NNG+…/SE
간부는	간부/NNG+는/JX
은폐…	은폐/NNG+…/SE
원전사고는	원전/NNG+사고/NNG+는/JX
人災	人災/SH
종합판	종합/NNG+판/NNG


# id : NWRW1800000033.165.2.1
■ 원자력안전위원회 ‘고리원전 1호기 사고’ 중간 조사결과 발표

■	■/SW
원자력안전위원회	원자력/NNG+안전/NNG+위원회/NNG
‘고리원전	‘/SS+고리원전/NNP
1호기	1/SN+호기/NNB
사고’	사고/NNG+’/SS
중간	중간/NNG
조사결과	조사/NNG+결과/NNG
발표	발표/NNG


# id : NWRW1800000033.165.3.1
2월 9일 고리원전 1호기의 전력공급 중단 사고는 직원 실수, 관리 소홀, 보고 은폐 등 온갖 부실이 빚어낸 ‘인재(人災)’였다.

2월	2/SN+월/NNB
9일	9/SN+일/NNB
고리원전	고리원전/NNP
1호기의	1호기/NNG+의/JKG
전력공급	전력/NNG+공급/NNG
중단	중단/NNG
사고는	사고/NNG+는/JX
직원	직원/NNG
실수,	실수/NNG+,/SP
관리	관리/NNG
소홀,	소홀/NNG+,/SP
보고	보고/NNG
은폐	은폐/NNG
등	등/NNB
온갖	온갖/MMN
부실이	부실/NNG+이/JKS
빚어낸	빚어내/VV+ㄴ/ETM
‘인재(人災)’였다.	‘/SS+인재/NNG+(/SS+人災/SH+)/SS+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.165.3.2
국민의 안전과 직결된 중요시설을 책임진 직원들의 행태라고는 보기 어려울 정도였다.

국민의	국민/NNG+의/JKG
안전과	안전/NNG+과/JKB
직결된	직결/NNG+되/XSV+ㄴ/ETM
중요시설을	중요/NNG+시설/NNG+을/JKO
책임진	책임지/VV+ㄴ/ETM
직원들의	직원/NNG+들/XSN+의/JKG
행태라고는	행태/NNG+이/VCP+라고/EC+는/JX
보기	보/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.165.4.1
21일 원자력안전위원회(안전위)는 사고 직후 회의를 열어 은폐를 주도한 한국수력원자력(한수원) 고리원자력본부의 문병위 전 제1발전소장 등 핵심 관계자들을 사법기관에 고발하기로 했다.

21일	21/SN+일/NNB
원자력안전위원회(안전위)는	원자력/NNG+안전/NNG+위원회/NNG+(/SS+안전위/NNG+)/SS+는/JX
사고	사고/NNG
직후	직후/NNG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
은폐를	은폐/NNG+를/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
한국수력원자력(한수원)	한국수력원자력/NNP+(/SS+한수원/NNP+)/SS
고리원자력본부의	고리원자력/NNP+본부/NNG+의/JKG
문병위	문병위/NNP
전	전/MMD
제1발전소장	제/XPN+1/SN+발전소장/NNG
등	등/NNB
핵심	핵심/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
사법기관에	사법/NNG+기관/NNG+에/JKB
고발하기로	고발/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.165.4.2
하지만 안전위는 “안전성을 점검한 뒤 문제가 없으면 고리 1호기를 재가동하겠다”고 밝혀 지은 지 34년 된 고리 1호기의 연장가동 여부를 놓고 논란이 일 것으로 예상된다.

하지만	하지만/MAJ
안전위는	안전위/NNG+는/JX
“안전성을	“/SS+안전/NNG+성/XSN+을/JKO
점검한	점검/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
문제가	문제/NNG+가/JKS
없으면	없/VA+으면/EC
고리	고리/NNP
1호기를	1호기/NNG+를/JKO
재가동하겠다”고	재/XPN+가동/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혀	밝히/VV+어/EC
지은	짓/VV+ㄴ/ETM
지	지/NNB
34년	34/SN+년/NNB
된	되/VV+ㄴ/ETM
1호기의	1호기/NNG+의/JKG
연장가동	연장/NNG+가동/NNG
여부를	여부/NNG+를/JKO
놓고	놓/VV+고/EC
