# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.437
metadata : {}


# id : NWRW1800000054.437.1.1
MB·朴정부때 사건만 19건… 정치보복 논란… 국정원이 의뢰, 검찰 총동원… 전례없는 일

MB·朴정부때	MB/SL+·/SP+朴/SH+정부/NNG+때/NNG
사건만	사건/NNG+만/JX
19건…	19/SN+건/NNB+…/SE
정치보복	정치/NNG+보복/NNG
논란…	논란/NNG+…/SE
국정원이	국정원/NNG+이/JKS
의뢰,	의뢰/NNG+,/SP
검찰	검찰/NNG
총동원…	총동원/NNG+…/SE
전례없는	전례/NNG+없/VA+는/ETM
일	일/NNG


# id : NWRW1800000054.437.2.1
4년前 국정원 관련 사건은 사건 당사자들이 수사하는 '모순'

4년前	4/SN+년/NNB+前/SH
국정원	국정원/NNG
관련	관련/NNG
사건은	사건/NNG+은/JX
사건	사건/NNG
당사자들이	당사자/NNG+들/XSN+이/JKS
수사하는	수사/NNG+하/XSV+는/ETM
'모순'	'/SS+모순/NNG+'/SS


# id : NWRW1800000054.437.3.1
서울중앙지검에선 이른바 '적폐 청산' 관련 수사 19건이 진행되고 있다.

서울중앙지검에선	서울중앙지검/NNP+에서/JKB+ㄴ/JX
이른바	이른바/MAG
'적폐	'/SS+적폐/NNG
청산'	청산/NNG+'/SS
관련	관련/NNG
수사	수사/NNG
19건이	19/SN+건/NNB+이/JKS
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.437.3.2
모두 이명박, 박근혜 정부에서 이뤄진 일들을 대상으로 한 것이다.

모두	모두/MAG
이명박,	이명박/NNP+,/SP
박근혜	박근혜/NNP
정부에서	정부/NNG+에서/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
일들을	일/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.437.3.3
지난 5월 윤석열 서울중앙지검장이 임명된 후 198일이 지나는 동안 검찰은 145일째 이 수사에 매달리고 있다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
윤석열	윤석열/NNP
서울중앙지검장이	서울중앙지검장/NNG+이/JKS
임명된	임명/NNG+되/XSV+ㄴ/ETM
후	후/NNG
198일이	198/SN+일/NNB+이/JKS
지나는	지나/VV+는/ETM
동안	동안/NNG
검찰은	검찰/NNG+은/JX
145일째	145/SN+일/NNB+째/XSN
이	이/MMD
수사에	수사/NNG+에/JKB
매달리고	매달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.437.3.4
30개 전체 부서 중 참여 부서만 11개, 전체 검사의 3분의 1인 87명의 검사가 이 수사에 투입돼 있다.

30개	30/SN+개/NNB
전체	전체/NNG
부서	부서/NNG
중	중/NNB
참여	참여/NNG
부서만	부서/NNG+만/JX
11개,	11/SN+개/NNB+,/SP
검사의	검사/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1인	1/SN+이/VCP+ㄴ/ETM
87명의	87/SN+명/NNB+의/JKG
검사가	검사/NNG+가/JKS
이	이/MMD
수사에	수사/NNG+에/JKB
투입돼	투입/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.437.3.5
주요 부서 검사가 사실상 대부분 동원돼 수사하고 있다.

주요	주요/NNG
부서	부서/NNG
검사가	검사/NNG+가/JKS
사실상	사실/NNG+상/XSN
대부분	대/XPN+부분/NNG
동원돼	동원/NNG+되/XSV+어/EC
수사하고	수사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.437.3.6
이 과정에서 38명에 대해 구속영장을 청구해 26명을 구속했다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
38명에	38/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
청구해	청구/NNG+하/XSV+아/EC
26명을	26/SN+명/NNB+을/JKO
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.437.4.1
그러나 이 수사는 진행 과정에서 여러 논란을 불러왔다.

그러나	그러나/MAJ
이	이/MMD
수사는	수사/NNG+는/JX
진행	진행/NNG
과정에서	과정/NNG+에서/JKB
여러	여러/MMN
논란을	논란/NNG+을/JKO
불러왔다.	불러오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.437.4.2
검찰 수사는 국정원 등 각 기관의 수사 의뢰나 고발로 이뤄지고 있다.

검찰	검찰/NNG
수사는	수사/NNG+는/JX
국정원	국정원/NNG
등	등/NNB
각	각/MMD
기관의	기관/NNG+의/JKG
수사	수사/NNG
의뢰나	의뢰/NNG+나/JC
고발로	고발/NNG+로/JKB
이뤄지고	이뤄지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.437.4.3
그러나 통상의 고발 사건에선 검사들을 이렇게 대거 동원하지 않는다.

그러나	그러나/MAJ
통상의	통상/NNG+의/JKG
고발	고발/NNG
사건에선	사건/NNG+에서/JKB+ㄴ/JX
검사들을	검사/NNG+들/XSN+을/JKO
이렇게	이렇/VA+게/EC
대거	대거/MAG
동원하지	동원/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000054.437.4.4
