# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.109
metadata : {}


# id : NWRW1800000045.109.1.1
[2016 대학가는 길]대부분 학부 수능 반영 비율 100%로 확대

[2016	[/SS+2016/SN
대학가는	대학/NNG+가/VV+는/ETM
길]대부분	길/NNG+]/SS+대/XPN+부분/NNG
학부	학부/NNG
수능	수능/NNG
반영	반영/NNG
비율	비율/NNG
100%로	100/SN+%/SW+로/JKB
확대	확대/NNG


# id : NWRW1800000045.109.2.1
한세대는 정시모집에서 정원 내 일반전형으로 291명, 정원 외 특성화고교 출신자 전형, 농·어촌학생 전형, 단원고 특별전형, 재외국민 전형, 특수교육대상자 전형으로 7명을 선발한다.

한세대는	한세대/NNP+는/JX
정시모집에서	정시/NNG+모집/NNG+에서/JKB
정원	정원/NNG
내	내/VV+어/EC
일반전형으로	일반/NNG+전형/NNG+으로/JKB
291명,	291/SN+명/NNB+,/SP
외	외/NNB
특성화고교	특성/NNG+화/XSN+고교/NNG
출신자	출신자/NNG
전형,	전형/NNG+,/SP
농·어촌학생	농·어촌/NNG+학생/NNG
단원고	단원고/NNP
특별전형,	특별/NNG+전형/NNG+,/SP
재외국민	재외/NNG+국민/NNG
특수교육대상자	특수/NNG+교육/NNG+대상자/NNG
전형으로	전형/NNG+으로/JKB
7명을	7/SN+명/NNB+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.109.3.1
전형요소별 반영 비율은 일반전형의 경우 수능 100%가 적용된다.

전형요소별	전형/NNG+요소/NNG+별/XSN
반영	반영/NNG
비율은	비율/NNG+은/JX
일반전형의	일반/NNG+전형/NNG+의/JKG
경우	경우/NNG
수능	수능/NNG
100%가	100/SN+%/SW+가/JKS
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.109.3.2
다만 신학부, 예술학부, 디자인학부는 다소 차이가 있다.

다만	다만/MAG
신학부,	신학부/NNG+,/SP
예술학부,	예술학부/NNG+,/SP
디자인학부는	디자인/NNG+학부/NNG+는/JX
다소	다소/MAG
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.109.3.3
△신학부는 수능 80%+면접 20% △예술학부는 수능 10%+학생부 10%+실기 80% △디자인학부는 수능 30%+실기 70%로 선발한다.

△신학부는	△/SW+신학부/NNG+는/JX
수능	수능/NNG
80%+면접	80/SN+%/SW++/SW+면접/NNG
20%	20/SN+%/SW
△예술학부는	△/SW+예술학부/NNG+는/JX
10%+학생부	10/SN+%/SW++/SW+학생부/NNG
10%+실기	10/SN+%/SW++/SW+실기/NNG
80%	80/SN+%/SW
△디자인학부는	△/SW+디자인/NNG+학부/NNG+는/JX
30%+실기	30/SN+%/SW++/SW+실기/NNG
70%로	70/SN+%/SW+로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.109.4.1
수능 성적은 국어 수학 영어 탐구영역 중 모집단위 계열에 따라 3개 영역을 반영하며, 점수 산정 방식은 백분위 점수를 적용한다.

수능	수능/NNG
성적은	성적/NNG+은/JX
국어	국어/NNG
수학	수학/NNG
영어	영어/NNP
탐구영역	탐구/NNG+영역/NNG
중	중/NNB
모집단위	모집/NNG+단위/NNG
계열에	계열/NNG+에/JKB
따라	따르/VV+아/EC
3개	3/SN+개/NNB
영역을	영역/NNG+을/JKO
반영하며,	반영/NNG+하/XSV+며/EC+,/SP
점수	점수/NNG
산정	산정/NNG
방식은	방식/NNG+은/JX
백분위	백분위/NNG
점수를	점수/NNG+를/JKO
적용한다.	적용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.109.4.2
단, 간호학과는 4개 영역을 모두 적용한다.

단,	단/MAJ+,/SP
간호학과는	간호학과/NNG+는/JX
4개	4/SN+개/NNB
영역을	영역/NNG+을/JKO
모두	모두/MAG
적용한다.	적용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.109.5.1
수능 과목별 반영 비율은 △인문사회 계열과 예능 계열은 국어 40%+영어 40%+탐구 20% △공학계열은 수학 40%+영어 40%+탐구 20% △간호학과는 국어 20%+수학 30%+영어 30%+탐구 20%를 반영한다.

수능	수능/NNG
과목별	과목/NNG+별/XSN
반영	반영/NNG
비율은	비율/NNG+은/JX
△인문사회	△/SW+인문/NNG+사회/NNG
계열과	계열/NNG+과/JC
예능	예능/NNG
계열은	계열/NNG+은/JX
국어	국어/NNG
40%+영어	40/SN+%/SW++/SW+영어/NNP
40%+탐구	40/SN+%/SW++/SW+탐구/NNG
20%	20/SN+%/SW
△공학계열은	△/SW+공학/NNG+계열/NNG+은/JX
수학	수학/NNG
△간호학과는	△/SW+간호학과/NNG+는/JX
20%+수학	20/SN+%/SW++/SW+수학/NNG
30%+영어	30/SN+%/SW++/SW+영어/NNP
30%+탐구	30/SN+%/SW++/SW+탐구/NNG
20%를	20/SN+%/SW+를/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.109.5.2
탐구영역은 최고점 두 과목의 평균을 반영한다.

탐구영역은	탐구/NNG+영역/NNG+은/JX
최고점	최고점/NNG
두	두/MMN
과목의	과목/NNG+의/JKG
평균을	평균/NNG+을/JKO
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.109.5.3
인문사회 계열과 예능 계열은 출신 계열과 관계없이 사회, 과학, 직업 과목의 반영이 가능하다.

인문사회	인문/NNG+사회/NNG
계열과	계열/NNG+과/JKB
예능	예능/NNG
계열은	계열/NNG+은/JX
출신	출신/NNG
관계없이	관계없이/MAG
사회,	사회/NNG+,/SP
과학,	과학/NNG+,/SP
직업	직업/NNG
과목의	과목/NNG+의/JKG
반영이	반영/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.109.5.4
공학 계열은 과학, 직업 과목만 반영하고, 간호학과는 사회, 과학 과목만 반영한다.

공학	공학/NNG
계열은	계열/NNG+은/JX
과학,	과학/NNG+,/SP
직업	직업/NNG
과목만	과목/NNG+만/JX
반영하고,	반영/NNG+하/XSV+고/EC+,/SP
간호학과는	간호학과/NNG+는/JX
사회,	사회/NNG+,/SP
과학	과학/NNG
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.109.6.1
학생부는 전 교과목을 적용하고, 석차 등급을 활용지표로 삼는다.

학생부는	학생부/NNG+는/JX
전	전/MMD
교과목을	교과목/NNG+을/JKO
적용하고,	적용/NNG+하/XSV+고/EC+,/SP
석차	석차/NNG
등급을	등급/NNG+을/JKO
활용지표로	활용/NNG+지표/NNG+로/JKB
삼는다.	삼/VV+는다/EF+./SF


# id : NWRW1800000045.109.6.2
학년별 반영 비율은 1학년 30%, 2학년 30%, 3학년 40%이다.

학년별	학년/NNG+별/XSN
반영	반영/NNG
비율은	비율/NNG+은/JX
1학년	1/SN+학년/NNG
30%,	30/SN+%/SW+,/SP
2학년	2/SN+학년/NNG
3학년	3/SN+학년/NNG
40%이다.	40/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000045.109.7.1
지난해 일반전형의 경우 수능 80%+학생부 20%로 적용하던 방식을 올해는 수능만 100% 적용하는 방식으로 변경했다.

지난해	지난해/NNG
일반전형의	일반/NNG+전형/NNG+의/JKG
경우	경우/NNG
수능	수능/NNG
80%+학생부	80/SN+%/SW++/SW+학생부/NNG
20%로	20/SN+%/SW+로/JKB
적용하던	적용/NNG+하/XSV+던/ETM
방식을	방식/NNG+을/JKO
올해는	올해/NNG+는/JX
수능만	수능/NNG+만/JX
100%	100/SN+%/SW
적용하는	적용/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
변경했다.	변경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.109.7.2
이로써 여러 전형 요소 중 특히 수능에서 좋은 성적을 거둔 학생들의 합격 기회를 확대했다.

이로써	이/NP+로써/JKB
여러	여러/MMN
전형	전형/NNG
요소	요소/NNG
중	중/NNB
특히	특히/MAG
수능에서	수능/NNG+에서/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
학생들의	학생/NNG+들/XSN+의/JKG
합격	합격/NNG
기회를	기회/NNG+를/JKO
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.109.8.1
백진아 입학홍보처장은 “2016학년도 정시모집에서 가장 큰 특징은 신학부와 예술학부, 디자인학부를 제외한 모든 학부에서 수능 반영 비율을 100%로 확대 적용한 것”이라며 “예술학부와 디자인학부는 실기고사의 비중이 높기 때문에 실기고사를 철저히 준비하는 것이 매우 중요하다”고 조언했다.

백진아	백진아/NNP
입학홍보처장은	입학/NNG+홍보처장/NNG+은/JX
“2016학년도	“/SS+2016/SN+학년도/NNG
정시모집에서	정시/NNG+모집/NNG+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
특징은	특징/NNG+은/JX
신학부와	신학부/NNG+와/JC
예술학부,	예술학부/NNG+,/SP
디자인학부를	디자인/NNG+학부/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
학부에서	학부/NNG+에서/JKB
수능	수능/NNG
반영	반영/NNG
비율을	비율/NNG+을/JKO
100%로	100/SN+%/SW+로/JKB
확대	확대/NNG
적용한	적용/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“예술학부와	“/SS+예술학부/NNG+와/JC
디자인학부는	디자인/NNG+학부/NNG+는/JX
실기고사의	실기/NNG+고사/NNG+의/JKG
비중이	비중/NNG+이/JKS
높기	높/VA+기/ETN
때문에	때문/NNB+에/JKB
실기고사를	실기/NNG+고사/NNG+를/JKO
철저히	철저히/MAG
준비하는	준비/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
매우	매우/MAG
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.109.9.1
학생들의 글로벌 경쟁력 강화를 강조하는 한세대는 ‘한세글로벌교육센터’를 통해 다양한 외국어 교육 프로그램은 개발하고 적용한다.

학생들의	학생/NNG+들/XSN+의/JKG
글로벌	글로벌/NNG
경쟁력	경쟁력/NNG
강화를	강화/NNG+를/JKO
강조하는	강조/NNG+하/XSV+는/ETM
한세대는	한세대/NNP+는/JX
‘한세글로벌교육센터’를	‘/SS+한세글로벌교육센터/NNP+’/SS+를/JKO
통해	통하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
외국어	외국어/NNG
교육	교육/NNG
프로그램은	프로그램/NNG+은/JX
개발하고	개발/NNG+하/XSV+고/EC
적용한다.	적용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.109.9.2
40명이 넘는 외국인 전임 교원이 영어와 중국어를 비롯한 외국어 교육을 하고 있다.

40명이	40/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
외국인	외국인/NNG
전임	전임/NNG
교원이	교원/NNG+이/JKS
영어와	영어/NNP+와/JC
중국어를	중국어/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
외국어	외국어/NNG
