# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.381
metadata : {}


# id : NWRW1800000038.381.1.1
朴대통령 "형식은 내용을 지배"… 北, 판문점 남북 직통 전화 끊어

朴대통령	朴/SH+대통령/NNG
"형식은	"/SS+형식/NNG+은/JX
내용을	내용/NNG+을/JKO
지배"…	지배/NNG+"/SS+…/SE
北,	北/SH+,/SP
판문점	판문점/NNP
남북	남북/NNP
직통	직통/NNG
전화	전화/NNG
끊어	끊/VV+어/EF


# id : NWRW1800000038.381.2.1
청와대 고위 관계자는 12일 남북당국회담이 무산된 것과 관련, "박근혜 대통령은 평소에도 '형식은 내용을 지배한다'고 했는데 이는 굉장히 일리 있는 말"이라고 했다.

청와대	청와대/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
12일	12/SN+일/NNB
남북당국회담이	남북/NNP+당국/NNG+회담/NNG+이/JKS
무산된	무산/NNG+되/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
관련,	관련/NNG+,/SP
"박근혜	"/SS+박근혜/NNP
대통령은	대통령/NNG+은/JX
평소에도	평소/NNG+에/JKB+도/JX
'형식은	'/SS+형식/NNG+은/JX
내용을	내용/NNG+을/JKO
지배한다'고	지배/NNG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
했는데	하/VV+았/EP+는데/EC
이는	이/NP+는/JX
굉장히	굉장히/MAG
일리	일리/NNG
있는	있/VA+는/ETM
말"이라고	말/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.381.2.2
과거 남북 회담에서 북측이 우리보다 낮은 직급의 대표를 보냈던 '형식'의 문제가 남북 관계에서 '내용'의 왜곡을 가져 왔으므로 이번에 정상적인 상황으로 바로잡겠다는 뜻으로 해석된다.

과거	과거/NNG
남북	남북/NNP
회담에서	회담/NNG+에서/JKB
북측이	북측/NNG+이/JKS
우리보다	우리/NP+보다/JKB
낮은	낮/VA+은/ETM
직급의	직급/NNG+의/JKG
대표를	대표/NNG+를/JKO
보냈던	보내/VV+었/EP+던/ETM
'형식'의	'/SS+형식/NNG+'/SS+의/JKG
문제가	문제/NNG+가/JKS
관계에서	관계/NNG+에서/JKB
'내용'의	'/SS+내용/NNG+'/SS+의/JKG
왜곡을	왜곡/NNG+을/JKO
가져	가지/VV+어/EC
왔으므로	오/VX+았/EP+으므로/EC
이번에	이번/NNG+에/JKB
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
상황으로	상황/NNG+으로/JKB
바로잡겠다는	바로잡/VV+겠/EP+다는/ETM
뜻으로	뜻/NNG+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.381.3.1
류길재 통일부 장관도 이날 "새로운 남북 관계로 가기 위한 하나의 진통이 아닌가 생각한다"며 "앞으로 북한도 새로운 남북 관계로 가려면 성의 있는 모습을 보여야 할 것"이라고 말했다.

류길재	류길재/NNP
통일부	통일부/NNG
장관도	장관/NNG+도/JX
이날	이날/NNG
"새로운	"/SS+새롭/VA+ㄴ/ETM
남북	남북/NNP
관계로	관계/NNG+로/JKB
가기	가/VV+기/ETN
위한	위하/VV+ㄴ/ETM
하나의	하나/NR+의/JKG
진통이	진통/NNG+이/JKC
아닌가	아니/VCN+ㄴ가/EF
생각한다"며	생각/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
북한도	북한/NNP+도/JX
새로운	새롭/VA+ㄴ/ETM
가려면	가/VV+려면/EC
성의	성의/NNG
있는	있/VA+는/ETM
모습을	모습/NNG+을/JKO
보여야	보이/VV+어야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.381.4.1
통일부 당국자는 이날 '북에 수정 제의를 할 계획이 있느냐'는 기자들의 질문에 "아니다. 북한이 성의 있는 입장 변화를 보여야 한다"고 말했다.

통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
이날	이날/NNG
'북에	'/SS+북/NNP+에/JKB
수정	수정/NNG
제의를	제의/NNG+를/JKO
할	하/VV+ㄹ/ETM
계획이	계획/NNG+이/JKS
있느냐'는	있/VA+느냐/EF+'/SS+는/ETM
