# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.257
metadata : {}


# id : NWRW1800000037.257.1.1
슈퍼매치 수원성, 지친 서울 가두다

슈퍼매치	슈퍼/NNG+매치/NNG
수원성,	수원성/NNG+,/SP
지친	지치/VV+ㄴ/ETM
서울	서울/NNP
가두다	가두/VV+다/EF


# id : NWRW1800000037.257.2.1
산토스 결승골, 정대세 쐐기골… 챔스리그로 힘빠진 맞수 완파

산토스	산토스/NNP
결승골,	결승/NNG+골/NNG+,/SP
정대세	정대세/NNP
쐐기골…	쐐기/NNG+골/NNG+…/SE
챔스리그로	챔스리그/NNG+로/JKB
힘빠진	힘/NNG+빠지/VV+ㄴ/ETM
맞수	맞수/NNG
완파	완파/NNG


# id : NWRW1800000037.257.3.1
프로축구 K리그 클래식 스플릿시스템 A그룹 수원과 서울의 경기가 열린 9일 수원월드컵경기장.

프로축구	프로/NNG+축구/NNG
K리그	K/SL+리그/NNG
클래식	클래식/NNG
스플릿시스템	스플릿시스템/NNG
A그룹	A/SL+그룹/NNG
수원과	수원/NNP+과/JC
서울의	서울/NNP+의/JKG
경기가	경기/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
9일	9/SN+일/NNB
수원월드컵경기장.	수원월드컵경기장/NNP+./SF


# id : NWRW1800000037.257.3.2
경기 시작 2시간 전부터 경기장 주변은 수원의 파란색과 서울의 붉은색 유니폼을 입은 팬들로 가득했다.

경기	경기/NNG
시작	시작/NNG
2시간	2/SN+시간/NNB
전부터	전/NNG+부터/JX
경기장	경기장/NNG
주변은	주변/NNG+은/JX
수원의	수원/NNP+의/JKG
파란색과	파란색/NNG+과/JC
서울의	서울/NNP+의/JKG
붉은색	붉은색/NNG
유니폼을	유니폼/NNG+을/JKO
입은	입/VV+은/ETM
팬들로	팬/NNG+들/XSN+로/JKB
가득했다.	가득/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000037.257.3.3
이날 경기장을 찾은 관중은 3만6476명.

이날	이날/NNG
경기장을	경기장/NNG+을/JKO
찾은	찾/VV+은/ETM
관중은	관중/NNG+은/JX
3만6476명.	3/SN+만/NR+6476/SN+명/NNB+./SF


# id : NWRW1800000037.257.3.4
8월 14일 같은 장소에서 열렸던 페루와의 국가대표 평가전 관중 3만6021명보다 많았다.

8월	8/SN+월/NNB
14일	14/SN+일/NNB
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
열렸던	열리/VV+었/EP+던/ETM
페루와의	페루/NNP+와/JKB+의/JKG
국가대표	국가/NNG+대표/NNG
평가전	평가전/NNG
관중	관중/NNG
3만6021명보다	3/SN+만/NR+6021/SN+명/NNB+보다/JKB
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.257.4.1
수원과 서울의 맞대결은 ‘슈퍼매치’라고 불리며 K리그를 대표하는 경기로 자리 잡았다.

수원과	수원/NNP+과/JC
서울의	서울/NNP+의/JKG
맞대결은	맞대결/NNG+은/JX
‘슈퍼매치’라고	‘/SS+슈퍼/NNG+매치/NNG+’/SS+라고/JKQ
불리며	불리/VV+며/EC
K리그를	K/SL+리그/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
경기로	경기/NNG+로/JKB
자리	자리/NNG
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.257.4.2
지난해 K리그 경기당 평균 관중은 7157명이다.

지난해	지난해/NNG
K리그	K/SL+리그/NNG
경기당	경기/NNG+당/XSN
평균	평균/NNG
관중은	관중/NNG+은/JX
7157명이다.	7157/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.257.4.3
수원-서울 경기 평균 관중은 이보다 5배 이상 많다.

수원-서울	수원/NNP+-/SO+서울/NNP
경기	경기/NNG
평균	평균/NNG
관중은	관중/NNG+은/JX
이보다	이/NP+보다/JKB
5배	5/SN+배/NNG
이상	이상/NNG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.257.4.4
8월 3일 서울월드컵경기장에서 열린 양 팀의 맞대결에는 4만3681명의 관중이 모였고, 4월 14일 수원월드컵경기장에서 열린 경기에는 3만789명이 입장했다.

8월	8/SN+월/NNB
3일	3/SN+일/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
양	양/MMN
팀의	팀/NNG+의/JKG
맞대결에는	맞대결/NNG+에/JKB+는/JX
4만3681명의	4/SN+만/NR+3681/SN+명/NNB+의/JKG
관중이	관중/NNG+이/JKS
모였고,	모이/VV+었/EP+고/EC+,/SP
