# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.245
metadata : {}


# id : NWRW1800000049.245.1.1
예년과 다르네… FA시장 나흘째 계약 0

예년과	예년/NNG+과/JKB
다르네…	다르/VA+네/EF+…/SE
FA시장	FA/SL+시장/NNG
나흘째	나흘/NNG+째/XSN
계약	계약/NNG
0	0/SN


# id : NWRW1800000049.245.2.1
“ML 실패후 돌아와도 100억 보장” 김광현 등 빅5 우선 해외 진출 노려 ML선 주전급 아니라 관심 후순위 빅5 행선지 정해져야 준척급 이동 구단들 “몸값 비싸… 해외 나갔으면”

“ML	“/SS+ML/SL
실패후	실패/NNG+후/NNG
돌아와도	돌아오/VV+아도/EC
100억	100/SN+억/NR
보장”	보장/NNG+”/SS
김광현	김광현/NNP
등	등/NNB
빅5	빅/NNG+5/SN
우선	우선/MAG
해외	해외/NNG
진출	진출/NNG
노려	노리/VV+어/EC
ML선	ML/SL+서/JKB+ㄴ/JX
주전급	주전급/NNG
아니라	아니/VCN+라/EC
관심	관심/NNG
후순위	후순위/NNG
행선지	행선지/NNG
정해져야	정하/VV+아/EC+지/VX+어야/EC
준척급	준척급/NNG
이동	이동/NNG
구단들	구단/NNG+들/XSN
“몸값	“/SS+몸값/NNG
비싸…	비싸/VA+아/EC+…/SE
나갔으면”	나가/VV+았/EP+으면/EC+”/SS


# id : NWRW1800000049.245.3.1
14일에도 계약 소식은 들리지 않았다.

14일에도	14/SN+일/NNB+에/JKB+도/JX
계약	계약/NNG
소식은	소식/NNG+은/JX
들리지	들리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.245.3.2
11일 프로야구 자유계약선수(FA) 시장이 문을 열었지만 나흘이 지나도록 아무 일도 일어나지 않았다.

11일	11/SN+일/NNB
프로야구	프로/NNG+야구/NNG
자유계약선수(FA)	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS
시장이	시장/NNG+이/JKS
문을	문/NNG+을/JKO
열었지만	열/VV+었/EP+지만/EC
나흘이	나흘/NNG+이/JKS
지나도록	지나/VV+도록/EC
아무	아무/MMD
일도	일/NNG+도/JX
일어나지	일어나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.245.3.3
올해부터 원 소속 구단과의 FA 우선 협상 기간이 없어졌다.

올해부터	올해/NNG+부터/JX
원	원/NA
소속	소속/NNG
구단과의	구단/NNG+과/JKB+의/JKG
FA	FA/SL
우선	우선/MAG
협상	협상/NNG
기간이	기간/NNG+이/JKS
없어졌다.	없어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.245.3.4
이에 따라 FA는 한국, 미국, 일본 등 어느 나라의 팀과도 계약이 가능하다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
FA는	FA/SL+는/JX
한국,	한국/NNP+,/SP
미국,	미국/NNP+,/SP
일본	일본/NNP
등	등/NNB
어느	어느/MMD
나라의	나라/NNG+의/JKG
팀과도	팀/NNG+과/JKB+도/JX
계약이	계약/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.245.3.5
그렇지만 15명의 FA도 10개 구단도 서로 눈치만 살필 뿐이다.

그렇지만	그렇지만/MAJ
15명의	15/SN+명/NNB+의/JKG
FA도	FA/SL+도/JX
10개	10/SN+개/NNB
구단도	구단/NNG+도/JX
서로	서로/MAG
눈치만	눈치/NNG+만/JX
살필	살피/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.245.3.6
