# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.132
metadata : {}


# id : NWRW1800000048.132.1.1
중, 미국 이어 스페인에서 도피사범 송환

중,	중/NNP+,/SP
미국	미국/NNP
이어	잇/VV+어/EC
스페인에서	스페인/NNP+에서/JKB
도피사범	도피/NNG+사범/NNG
송환	송환/NNG


# id : NWRW1800000048.132.2.1
‘여우사냥’ 활기…시진핑 방미 앞 성과

‘여우사냥’	‘/SS+여우/NNG+사냥/NNG+’/SS
활기…시진핑	활기/NNG+…/SE+시진핑/NNP
방미	방미/NNG
앞	앞/NNG
성과	성과/NNG


# id : NWRW1800000048.132.3.1
양국서 첫사례…외국과 소통 강화

양국서	양국/NNG+서/JKB
첫사례…외국과	첫/MMN+사례/NNG+…/SE+외국/NNG+과/JKB
소통	소통/NNG
강화	강화/NNG


# id : NWRW1800000048.132.4.1
중국 당국의 국외 도피 경제사범 검거작전인 ‘여우 사냥’이 활기를 띠고 있다.

중국	중국/NNP
당국의	당국/NNG+의/JKG
국외	국외/NNG
도피	도피/NNG
경제사범	경제/NNG+사범/NNG
검거작전인	검거/NNG+작전/NNG+이/VCP+ㄴ/ETM
‘여우	‘/SS+여우/NNG
사냥’이	사냥/NNG+’/SS+이/JKS
활기를	활기/NNG+를/JKO
띠고	띠/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.132.5.1
관영 <신화통신>은 21일 “저장성의 부동산 기업인 중강그룹 전 회장인 딩칭핑의 신병을 스페인으로부터 인도받았다”고 보도했다.

관영	관영/NNG
<신화통신>은	</SS+신화통신/NNP+>/SS+은/JX
21일	21/SN+일/NNB
“저장성의	“/SS+저장성/NNP+의/JKG
부동산	부동산/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
중강그룹	중강그룹/NNP
전	전/MMD
회장인	회장/NNG+이/VCP+ㄴ/ETM
딩칭핑의	딩칭핑/NNP+의/JKG
신병을	신병/NNG+을/JKO
스페인으로부터	스페인/NNP+으로부터/JKB
인도받았다”고	인도/NNG+받/XSV+았/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.132.5.2
딩 전 회장은 2007~2008년 공금 횡령, 자금세탁, 대출 사기 등을 통해 2억위안(367억원)을 챙긴 뒤 2008년 9월 부인과 함께 캐나다로 도피한 뒤 스페인으로 거처를 옮겨 생활해왔다.

딩	딩/NNP
전	전/MMD
회장은	회장/NNG+은/JX
2007~2008년	2007/SN+~/SO+2008/SN+년/NNB
공금	공금/NNG
횡령,	횡령/NNG+,/SP
자금세탁,	자금/NNG+세탁/NNG+,/SP
대출	대출/NNG
사기	사기/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
2억위안(367억원)을	2/SN+억/NR+위안/NNB+(/SS+367/SN+억/NR+원/NNB+)/SS+을/JKO
챙긴	챙기/VV+ㄴ/ETM
뒤	뒤/NNG
2008년	2008/SN+년/NNB
9월	9/SN+월/NNB
부인과	부인/NNG+과/JKB
함께	함께/MAG
캐나다로	캐나다/NNP+로/JKB
도피한	도피/NNG+하/XSV+ㄴ/ETM
스페인으로	스페인/NNP+으로/JKB
거처를	거처/NNG+를/JKO
옮겨	옮기/VV+어/EC
생활해왔다.	생활/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.132.5.3
그는 중국 당국이 여우 사냥 대상으로 올린 100명의 국외 도피사범 가운데 한명이며 국제형사경찰기구(인터폴)의 적색 수배대상이기도 했다.

그는	그/NP+는/JX
중국	중국/NNP
당국이	당국/NNG+이/JKS
여우	여우/NNG
사냥	사냥/NNG
대상으로	대상/NNG+으로/JKB
올린	올리/VV+ㄴ/ETM
100명의	100/SN+명/NNB+의/JKG
국외	국외/NNG
도피사범	도피/NNG+사범/NNG
가운데	가운데/NNG
한명이며	한/MMN+명/NNB+이/VCP+며/EC
국제형사경찰기구(인터폴)의	국제형사경찰기구/NNP+(/SS+인터폴/NNP+)/SS+의/JKG
적색	적색/NNG
수배대상이기도	수배/NNG+대상/NNG+이/VCP+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.132.5.4
<신화통신>은 “스페인에서 국외 도피사범을 인도받은 것은 이번이 처음”이라고 전했다.

<신화통신>은	</SS+신화통신/NNP+>/SS+은/JX
“스페인에서	“/SS+스페인/NNP+에서/JKB
국외	국외/NNG
도피사범을	도피/NNG+사범/NNG+을/JKO
인도받은	인도/NNG+받/XSV+은/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음”이라고	처음/NNG+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.132.6.1
중국은 앞서 18일에는 미국에서도 처음 경제사범을 인도받았다.

중국은	중국/NNP+은/JX
앞서	앞서/MAG
18일에는	18/SN+일/NNB+에/JKB+는/JX
미국에서도	미국/NNP+에서/JKB+도/JX
처음	처음/NNG
경제사범을	경제/NNG+사범/NNG+을/JKO
인도받았다.	인도/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.132.6.2
중앙기율검사위원회(기율위)는 “중-미 사법, 외교 당국 사이의 협력을 통해 14년째 미국에서 도피행각을 벌이던 양진쥔을 넘겨받았다”며 “미국에서 국외 도피 경제사범을 인도받은 첫 사례다”라고 밝혔다.

중앙기율검사위원회(기율위)는	중앙/NNG+기율/NNG+검사/NNG+위원회/NNG+(/SS+기율위/NNG+)/SS+는/JX
“중-미	“/SS+중/NNP+-/SO+미/NNP
사법,	사법/NNG+,/SP
외교	외교/NNG
당국	당국/NNG
사이의	사이/NNG+의/JKG
협력을	협력/NNG+을/JKO
통해	통하/VV+아/EC
14년째	14/SN+년/NNB+째/XSN
미국에서	미국/NNP+에서/JKB
도피행각을	도피/NNG+행각/NNG+을/JKO
벌이던	벌이/VV+던/ETM
양진쥔을	양진쥔/NNP+을/JKO
넘겨받았다”며	넘겨받/VV+았/EP+다/EF+”/SS+며/EC
“미국에서	“/SS+미국/NNP+에서/JKB
국외	국외/NNG
도피	도피/NNG
경제사범을	경제/NNG+사범/NNG+을/JKO
인도받은	인도/NNG+받/XSV+은/ETM
첫	첫/MMN
사례다”라고	사례/NNG+이/VCP+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.132.6.3
사업가 출신인 양진쥔은 1100만위안(20억원)의 돈을 가로채 2001년 미국으로 달아났다.

사업가	사업가/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
양진쥔은	양진쥔/NNP+은/JX
1100만위안(20억원)의	1100/SN+만/NR+위안/NNB+(/SS+20/SN+억/NR+원/NNB+)/SS+의/JKG
돈을	돈/NNG+을/JKO
가로채	가로채/VV+어/EC
2001년	2001/SN+년/NNB
미국으로	미국/NNP+으로/JKB
달아났다.	달아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.132.6.4
그도 딩 전 회장과 마찬가지로 100명의 주요 국외 도피사범 명단과 인터폴 수배 대상에 올라있었다.

그도	그/NP+도/JX
딩	딩/NNP
전	전/MMD
회장과	회장/NNG+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
100명의	100/SN+명/NNB+의/JKG
주요	주요/NNG
국외	국외/NNG
도피사범	도피/NNG+사범/NNG
명단과	명단/NNG+과/JC
인터폴	인터폴/NNP
수배	수배/NNG
대상에	대상/NNG+에/JKB
올라있었다.	오르/VV+아/EC+있/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.132.7.1
양진쥔의 인도는 22일 시진핑 중국 국가주석의 첫 미국 국빈 방문을 앞두고 이뤄져 관심을 모았다.

양진쥔의	양진쥔/NNP+의/JKG
인도는	인도/NNG+는/JX
22일	22/SN+일/NNB
시진핑	시진핑/NNP
중국	중국/NNP
국가주석의	국가주석/NNG+의/JKG
첫	첫/MMN
미국	미국/NNP
국빈	국빈/NNG
방문을	방문/NNG+을/JKO
앞두고	앞두/VV+고/EC
이뤄져	이뤄지/VV+어/EC
관심을	관심/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


