# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.358
metadata : {}


# id : NWRW1800000049.358.1.1
[단독]위험한 ‘아마추어 내진설계’

[단독]위험한	[/SS+단독/NNG+]/SS+위험/NNG+하/XSA+ㄴ/ETM
‘아마추어	‘/SS+아마추어/NNG
내진설계’	내진/NNG+설계/NNG+’/SS


# id : NWRW1800000049.358.2.1
저층건물은 非전문가인 건축사가 컴퓨터 프로그램에 의존해 설계 오류 발생땐 검증해낼 역량 부족… 시공과정도 무자격업체 참여 많아

저층건물은	저층/NNG+건물/NNG+은/JX
非전문가인	非/SH+전문가/NNG+이/VCP+ㄴ/ETM
건축사가	건축사/NNG+가/JKS
컴퓨터	컴퓨터/NNG
프로그램에	프로그램/NNG+에/JKB
의존해	의존/NNG+하/XSV+아/EC
설계	설계/NNG
오류	오류/NNG
발생땐	발생/NNG+때/NNG+ㄴ/JX
검증해낼	검증/NNG+해내/VV+ㄹ/ETM
역량	역량/NNG
부족…	부족/NNG+…/SE
시공과정도	시공/NNG+과정/NNG+도/JX
무자격업체	무/XPN+자격/NNG+업체/NNG
참여	참여/NNG
많아	많/VA+아/EF


# id : NWRW1800000049.358.3.1
경북 경주 지진으로 내진설계에 대한 관심이 커졌지만 실제 현장에서는 비전문가에게 내진설계를 맡기거나 설계대로 시공되지 않는 사례가 적잖은 것으로 드러났다.

경북	경북/NNP
경주	경주/NNP
지진으로	지진/NNG+으로/JKB
내진설계에	내진/NNG+설계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
커졌지만	커지/VV+었/EP+지만/EC
실제	실제/NNG
현장에서는	현장/NNG+에서/JKB+는/JX
비전문가에게	비/XPN+전문가/NNG+에게/JKB
내진설계를	내진/NNG+설계/NNG+를/JKO
맡기거나	맡기/VV+거나/EC
설계대로	설계/NNG+대로/JX
시공되지	시공/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
사례가	사례/NNG+가/JKS
