# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.289
metadata : {}


# id : NWRW1800000053.289.1.1
[오늘과 내일/배극인]말 따로, 행동 따로 기업정책

[오늘과	[/SS+오늘/NNG+과/JC
내일/배극인]말	내일/NNG+//SP+배극인/NNP+]/SS+말/NNG
따로,	따로/MAG+,/SP
행동	행동/NNG
따로	따로/MAG
기업정책	기업/NNG+정책/NNG


# id : NWRW1800000053.289.2.1
기업들에 12월은 또 다른 시작의 출발점이다.

기업들에	기업/NNG+들/XSN+에/JKB
12월은	12/SN+월/NNB+은/JX
또	또/MAG
다른	다른/MMD
시작의	시작/NNG+의/JKG
출발점이다.	출발점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.289.2.2
일찌감치 인사를 마무리하고 내년 경영계획을 한창 짜고 있을 시점이다.

일찌감치	일찌감치/MAG
인사를	인사/NNG+를/JKO
마무리하고	마무리/NNG+하/XSV+고/EC
내년	내년/NNG
경영계획을	경영/NNG+계획/NNG+을/JKO
한창	한창/MAG
짜고	짜/VV+고/EC
있을	있/VX+을/ETM
시점이다.	시점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.289.2.3
그런데 올해는 작은 기업일수록 엄두도 못 내고 있다고 한다.

그런데	그런데/MAJ
올해는	올해/NNG+는/JX
작은	작/VA+은/ETM
기업일수록	기업/NNG+이/VCP+ㄹ수록/EC
엄두도	엄두/NNG+도/JX
못	못/MAG
내고	내/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.289.2.4
경기도 안 좋은데 원가 상승 압력이 워낙 커서다.

경기도	경기/NNG+도/JX
안	안/MAG
좋은데	좋/VA+은데/EC
원가	원가/NNG
상승	상승/NNG
압력이	압력/NNG+이/JKS
워낙	워낙/MAG
커서다.	크/VA+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000053.289.2.5
중소기업 영업이익률이 3∼5%, 제조원가 중 인건비 비중이 10∼15%인 점을 감안하면 이들에게 급격한 최저임금 인상(16.4%)과 근로시간 단축(주당 최대 68시간→52시간)이 가져올 충격을 어렵잖게 짐작할 수 있다.

중소기업	중소기업/NNG
영업이익률이	영업/NNG+이익/NNG+률/XSN+이/JKS
3∼5%,	3/SN+∼/SO+5/SN+%/SW+,/SP
제조원가	제조/NNG+원가/NNG
중	중/NNB
인건비	인건비/NNG
비중이	비중/NNG+이/JKS
10∼15%인	10/SN+∼/SO+15/SN+%/SW+이/VCP+ㄴ/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
이들에게	이/NP+들/XSN+에게/JKB
급격한	급격하/VA+ㄴ/ETM
최저임금	최저/NNG+임금/NNG
인상(16.4%)과	인상/NNG+(/SS+16/SN+./SP+4/SN+%/SW+)/SS+과/JC
근로시간	근로/NNG+시간/NNG
단축(주당	단축/NNG+(/SS+주당/NNG
최대	최대/NNG
68시간→52시간)이	68/SN+시간/NNB+→/SW+52/SN+시간/NNB+)/SS+이/JKS
