# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.292
metadata : {}


# id : NWRW1800000026.292.1.1
복사·커피 심부름 등 잡일 행정인턴 내년부터 없앤다

복사·커피	복사/NNG+·/SP+커피/NNG
심부름	심부름/NNG
등	등/NNB
잡일	잡일/NNG
행정인턴	행정/NNG+인턴/NNG
내년부터	내년/NNG+부터/JX
없앤다	없애/VV+ㄴ다/EF


# id : NWRW1800000026.292.2.1
글로벌 금융위기 이후 일자리 나누기 대책의 일환으로 중앙정부와 지방자치단체를 중심으로 시행돼온 행정인턴제도가 내년부터 폐지될 전망이다.

글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
일자리	일자리/NNG
나누기	나누/VV+기/ETN
대책의	대책/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
중앙정부와	중앙/NNG+정부/NNG+와/JC
지방자치단체를	지방/NNG+자치/NNG+단체/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
시행돼온	시행/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
행정인턴제도가	행정/NNG+인턴/NNG+제도/NNG+가/JKS
내년부터	내년/NNG+부터/JX
폐지될	폐지/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.292.3.1
행정인턴제도는 취업 준비생들에게 수십만원씩 월급을 주고 미리 직장생활을 경험하게 한다는 목적으로 도입됐다.

행정인턴제도는	행정/NNG+인턴/NNG+제도/NNG+는/JX
취업	취업/NNG
준비생들에게	준비/NNG+생/XSN+들/XSN+에게/JKB
수십만원씩	수십만/NR+원/NNB+씩/XSN
월급을	월급/NNG+을/JKO
주고	주/VV+고/EC
미리	미리/MAG
직장생활을	직장/NNG+생활/NNG+을/JKO
경험하게	경험/NNG+하/XSV+게/EC
한다는	하/VX+ㄴ다는/ETM
목적으로	목적/NNG+으로/JKB
도입됐다.	도입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.292.3.2
하지만 행정인턴들이 담당하는 일이 대부분 복사 등 단순작업이나 커피 심부름 같은 잡일에 그쳐 실효성이 떨어진다는 지적이 많았다.

하지만	하지만/MAJ
행정인턴들이	행정/NNG+인턴/NNG+들/XSN+이/JKS
담당하는	담당/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
대부분	대/XPN+부분/NNG
복사	복사/NNG
등	등/NNB
단순작업이나	단순/NNG+작업/NNG+이나/JC
커피	커피/NNG
심부름	심부름/NNG
같은	같/VA+은/ETM
잡일에	잡일/NNG+에/JKB
그쳐	그치/VV+어/EC
실효성이	실효/NNG+성/XSN+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.292.4.1
이에 따라 중앙정부와 지방정부 행정인턴제를 없애는 대신 정부 산하 공공기관 인턴이나 대기업·중소기업 인턴이 정규직으로 전환할 수 있도록 지원하는 방안을 추진키로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
중앙정부와	중앙/NNG+정부/NNG+와/JC
지방정부	지방/NNG+정부/NNG
행정인턴제를	행정/NNG+인턴/NNG+제/XSN+를/JKO
없애는	없애/VV+는/ETM
대신	대신/NNG
정부	정부/NNG
산하	산하/NNG
공공기관	공공/NNG+기관/NNG
인턴이나	인턴/NNG+이나/JC
대기업·중소기업	대/XPN+기업/NNG+·/SP+중소기업/NNG
인턴이	인턴/NNG+이/JKS
정규직으로	정규직/NNG+으로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원하는	지원/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진키로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.292.5.1
기획재정부와 노동고용부 등은 조만간 이 같은 내용을 담은 청년실업 종합대책을 발표할 것으로 알려졌다.

기획재정부와	기획/NNG+재정부/NNG+와/JC
노동고용부	노동/NNG+고용부/NNG
등은	등/NNB+은/JX
조만간	조만간/MAG
이	이/MMD
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
청년실업	청년/NNG+실업/NNG
종합대책을	종합/NNG+대책/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.292.5.2
정부 관계자는 30일 "이번 종합대책은 그간 수차례 발표됐던 청년실업대책 중 취약했던 부분을 보완하고 교통정리를 하는 수준이 될 것"이라고 말했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
30일	30/SN+일/NNB
"이번	"/SS+이번/NNG
종합대책은	종합/NNG+대책/NNG+은/JX
그간	그/NP+간/XSN
수차례	수차례/NNG
발표됐던	발표/NNG+되/XSV+었/EP+던/ETM
청년실업대책	청년/NNG+실업/NNG+대책/NNG
중	중/NNB
취약했던	취약/NNG+하/XSA+았/EP+던/ETM
부분을	부분/NNG+을/JKO
보완하고	보완/NNG+하/XSV+고/EC
교통정리를	교통정리/NNG+를/JKO
하는	하/VV+는/ETM
수준이	수준/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.292.5.3
현행 국가공무원법상 행정인턴을 정부의 정규직으로 전환할 수 있는 법적 근거는 없다.

현행	현행/NNG
국가공무원법상	국가/NNG+공무원법/NNG+상/XSN
행정인턴을	행정/NNG+인턴/NNG+을/JKO
정부의	정부/NNG+의/JKG
정규직으로	정규직/NNG+으로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
법적	법/NNG+적/XSN
근거는	근거/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.292.6.1
이미 올해 행정인턴 채용 규모도 작년에 비해 10%가량 줄었다.

이미	이미/MAG
올해	올해/NNG
행정인턴	행정/NNG+인턴/NNG
채용	채용/NNG
규모도	규모/NNG+도/JX
작년에	작년/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
10%가량	10/SN+%/SW+가량/XSN
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.292.6.2
작년에는 중앙부처와 지자체를 통틀어 1만5904명을 채용했지만 올해는 1만3360명으로 축소됐다.

작년에는	작년/NNG+에/JKB+는/JX
중앙부처와	중앙/NNG+부처/NNG+와/JC
지자체를	지자체/NNG+를/JKO
통틀어	통틀어/MAG
1만5904명을	1/SN+만/NR+5904/SN+명/NNB+을/JKO
채용했지만	채용/NNG+하/XSV+았/EP+지만/EC
올해는	올해/NNG+는/JX
1만3360명으로	1/SN+만/NR+3360/SN+명/NNB+으로/JKB
축소됐다.	축소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.292.6.3
계약기간도 11개월에서 5개월로 단축했고 급여는 월 98만원에서 70만원으로 줄였다.

계약기간도	계약/NNG+기간/NNG+도/JX
11개월에서	11/SN+개월/NNB+에서/JKB
5개월로	5/SN+개월/NNB+로/JKB
단축했고	단축/NNG+하/XSV+았/EP+고/EC
급여는	급여/NNG+는/JX
월	월/NNG
98만원에서	98/SN+만/NR+원/NNB+에서/JKB
70만원으로	70/SN+만/NR+원/NNB+으로/JKB
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.292.6.4
대신 공공기관 및 민간기업 인턴이 정규직으로 고용될 수 있도록 각종 지원을 하기로 했다.

대신	대신/NNG
공공기관	공공/NNG+기관/NNG
및	및/MAG
민간기업	민간/NNG+기업/NNG
인턴이	인턴/NNG+이/JKS
정규직으로	정규직/NNG+으로/JKB
고용될	고용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
각종	각종/NNG
지원을	지원/NNG+을/JKO
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.292.7.1
정부 관계자는 "중소기업이 인턴을 정규직으로 채용할 때 자금을 지원해주는 제도가 잘 시행되고 있다"면서 "앞으로 대기업에 대해서도 세금 감면이나 지원금을 통해 정규직 전환을 유도할 계획"이라고 말했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"중소기업이	"/SS+중소기업/NNG+이/JKS
인턴을	인턴/NNG+을/JKO
정규직으로	정규직/NNG+으로/JKB
채용할	채용/NNG+하/XSV+ㄹ/ETM
때	때/NNG
자금을	자금/NNG+을/JKO
지원해주는	지원/NNG+하/XSV+아/EC+주/VX+는/ETM
제도가	제도/NNG+가/JKS
잘	잘/MAG
시행되고	시행/NNG+되/XSV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"앞으로	"/SS+앞/NNG+으로/JKB
대기업에	대/XPN+기업/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
세금	세금/NNG
감면이나	감면/NNG+이나/JC
지원금을	지원금/NNG+을/JKO
통해	통하/VV+아/EC
정규직	정규직/NNG
전환을	전환/NNG+을/JKO
유도할	유도/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.292.8.1
그러나 공공기관 청년고용의무제는 부처 간 이견이 크고 공공기관 선진화 방안에 배치된다는 지적이 많아 이번 종합대책에서 빠질 것으로 보인다.

그러나	그러나/MAJ
공공기관	공공/NNG+기관/NNG
청년고용의무제는	청년/NNG+고용/NNG+의무/NNG+제/XSN+는/JX
부처	부처/NNG
간	간/NNB
이견이	이견/NNG+이/JKS
크고	크/VA+고/EC
선진화	선진/NNG+화/XSN
방안에	방안/NNG+에/JKB
배치된다는	배치/NNG+되/XSV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
많아	많/VA+아/EC
이번	이번/NNG
종합대책에서	종합/NNG+대책/NNG+에서/JKB
빠질	빠지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


