# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.171
metadata : {}


# id : NWRW1800000038.171.1.1
바다 메운 새만금 간척지, 오늘 짜릿한 질주 스타트

바다	바다/NNG
메운	메우/VV+ㄴ/ETM
새만금	새만금/NNP
간척지,	간척지/NNG+,/SP
오늘	오늘/MAG
짜릿한	짜릿하/VA+ㄴ/ETM
질주	질주/NNG
스타트	스타트/NNG


# id : NWRW1800000038.171.2.1
5일까지 새만금에서 '전국승마·모터사이클 대회'

5일까지	5/SN+일/NNB+까지/JX
새만금에서	새만금/NNP+에서/JKB
'전국승마·모터사이클	'/SS+전국/NNG+승마/NNG+·/SP+모터사이클/NNG
대회'	대회/NNG+'/SS


# id : NWRW1800000038.171.3.1
"새만금이 더는 바다가 아닙니다."

"새만금이	"/SS+새만금/NNP+이/JKS
더는	더/MAG+는/JX
바다가	바다/NNG+가/JKC
아닙니다."	아니/VCN+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.171.4.1
한국농어촌공사가 2011년부터 새만금호 수위를 ―1.6m로 관리하면서 뭍으로 드러난 간석지는 183.7㎢.

한국농어촌공사가	한국농어촌공사/NNP+가/JKS
2011년부터	2011/SN+년/NNB+부터/JX
새만금호	새만금호/NNP
수위를	수위/NNG+를/JKO
―1.6m로	―/SS+1/SN+./SP+6/SN+m/SW+로/JKB
관리하면서	관리/NNG+하/XSV+면서/EC
뭍으로	뭍/NNG+으로/JKB
드러난	드러나/VV+ㄴ/ETM
간석지는	간석지/NNG+는/JX
183.7㎢.	183/SN+./SP+7/SN+㎢/SW+./SF


# id : NWRW1800000038.171.4.2
여의도(2.9㎢)의 63배에 이른다.

여의도(2.9㎢)의	여의도/NNP+(/SS+2/SN+./SP+9/SN+㎢/SW+)/SS+의/JKG
63배에	63/SN+배/NNG+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.171.4.3
5월 첫 주말 새만금 남쪽 게이트웨이 부지(99만㎡)에서 제1회 새만금 전국승마대회와 전북도지사배 전국모터사이클대회가 열린다.

5월	5/SN+월/NNB
첫	첫/MMN
주말	주말/NNG
새만금	새만금/NNP
남쪽	남쪽/NNG
게이트웨이	게이트웨이/NNG
부지(99만㎡)에서	부지/NNG+(/SS+99/SN+만/NR+㎡/SW+)/SS+에서/JKB
제1회	제/XPN+1/SN+회/NNB
전국승마대회와	전국/NNG+승마/NNG+대회/NNG+와/JC
전북도지사배	전북/NNP+도지사/NNG+배/NNB
전국모터사이클대회가	전국/NNG+모터사이클/NNG+대회/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.171.5.1
총리실과 전북도는 "오는 9월 새만금개발청 발족을 앞두고 이곳 놀리는 땅을 새 트렌드의 국민 레저 공간으로 제공하면서 무한한 가능성의 신천지에 투자가 이목을 끌어모으려 한다"고 말했다.

총리실과	총리실/NNG+과/JC
전북도는	전북도/NNP+는/JX
"오는	"/SS+오/VV+는/ETM
9월	9/SN+월/NNB
새만금개발청	새만금개발청/NNP
발족을	발족/NNG+을/JKO
앞두고	앞두/VV+고/EC
이곳	이곳/NP
놀리는	놀리/VV+는/ETM
땅을	땅/NNG+을/JKO
새	새/MMA
트렌드의	트렌드/NNG+의/JKG
국민	국민/NNG
레저	레저/NNG
공간으로	공간/NNG+으로/JKB
제공하면서	제공/NNG+하/XSV+면서/EC
무한한	무한/NNG+하/XSA+ㄴ/ETM
가능성의	가능/NNG+성/XSN+의/JKG
신천지에	신/XPN+천지/NNG+에/JKB
투자가	투자가/NNG
이목을	이목/NNG+을/JKO
끌어모으려	끌어모으/VV+려/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.171.5.2
국산 말 200여필과 모터사이클 220여대가 지축을 흔들 두 행사는 전국승마연합회와 대한모터사이클연맹이 주관한다.

국산	국산/NNG
말	말/NNG
200여필과	200/SN+여/XSN+필/NNB+과/JC
모터사이클	모터사이클/NNG
220여대가	220/SN+여/XSN+대/NNB+가/JKS
지축을	지축/NNG+을/JKO
흔들	흔들/VV+ㄹ/ETM
두	두/MMN
행사는	행사/NNG+는/JX
전국승마연합회와	전국승마연합회/NNP+와/JC
대한모터사이클연맹이	대한모터사이클연맹/NNP+이/JKS
주관한다.	주관/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.171.5.3
승마대회는 장애물과 릴레이 경기로 3일 개막, 4~5일 10-20-40㎞ 말 마라톤으로 이어진다.

승마대회는	승마/NNG+대회/NNG+는/JX
장애물과	장애물/NNG+과/JC
릴레이	릴레이/NNG
경기로	경기/NNG+로/JKB
3일	3/SN+일/NNB
개막,	개막/NNG+,/SP
4~5일	4/SN+~/SO+5/SN+일/NNB
10-20-40㎞	10/SN+-/SO+20/SN+-/SO+40/SN+㎞/SW
말	말/NNG
마라톤으로	마라톤/NNG+으로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.171.5.4
마장마술, 무료승마체험 등 관람객 참여 이벤트도 준비됐다.

마장마술,	마장/NNG+마술/NNG+,/SP
무료승마체험	무료/NNG+승마/NNG+체험/NNG
등	등/NNB
관람객	관람객/NNG
참여	참여/NNG
이벤트도	이벤트/NNG+도/JX
준비됐다.	준비/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.171.6.1
모터사이클대회는 묘기 만발할 스턴트바이크(4일)와 모토크로스·엔듀로(5일) 두 종목으로 엮인다.

모터사이클대회는	모터사이클/NNG+대회/NNG+는/JX
묘기	묘기/NNG
만발할	만발/NNG+하/XSV+ㄹ/ETM
스턴트바이크(4일)와	스턴트/NNG+바이크/NNG+(/SS+4/SN+일/NNB+)/SS+와/JC
모토크로스·엔듀로(5일)	모토크로스/NNG+·/SP+엔듀로/NNG+(/SS+5/SN+일/NNB+)/SS
두	두/MMN
종목으로	종목/NNG+으로/JKB
엮인다.	엮이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.171.6.2
모토크로스는 비포장 트랙(2㎞) 언덕과 벙커들을 돌파하는 경기다.

모토크로스는	모토크로스/NNG+는/JX
비포장	비/XPN+포장/NNG
트랙(2㎞)	트랙/NNG+(/SS+2/SN+㎞/SW+)/SS
언덕과	언덕/NNG+과/JC
