# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.349
metadata : {}


# id : NWRW1800000030.349.1.1
[포스트 김정일 시대] "20대 청년과 한반도 미래 논의하기는…"

[포스트	[/SS+포스트/NNG
김정일	김정일/NNP
시대]	시대/NNG+]/SS
"20대	"/SS+20/SN+대/NNB
청년과	청년/NNG+과/JC
한반도	한반도/NNP
미래	미래/NNG
논의하기는…"	논의/NNG+하/XSV+기/ETN+는/JX+…/SE+"/SS


# id : NWRW1800000030.349.2.1
?김정은과 남북정상회담, 現정부서 열리긴 힘들 듯

?김정은과	?/SF+김정은/NNP+과/JC
남북정상회담,	남북/NNP+정상/NNG+회담/NNG+,/SP
現정부서	現/SH+정부/NNG+서/JKB
열리긴	열리/VV+기/ETN+ㄴ/JX
힘들	힘들/VA+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000030.349.3.1
정부 고위 관계자들은 김정일 사망으로 이명박 정부에서 남북 정상회담 가능성은 크게 낮아진 것으로 보고 있다.

정부	정부/NNG
고위	고위/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
김정일	김정일/NNP
사망으로	사망/NNG+으로/JKB
이명박	이명박/NNP
정부에서	정부/NNG+에서/JKB
남북	남북/NNP
정상회담	정상/NNG+회담/NNG
가능성은	가능/NNG+성/XSN+은/JX
크게	크/VA+게/EC
낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.349.3.2
이와 함께 외교가에선 아직 20대 후반인 김정은의 나이가 정상적인 정상(頂上) 외교에 걸림돌이 될 것이란 이야기가 나오고 있다.

이와	이/NP+와/JKB
함께	함께/MAG
외교가에선	외교가/NNG+에서/JKB+ㄴ/JX
아직	아직/MAG
20대	20/SN+대/NNB
후반인	후반/NNG+이/VCP+ㄴ/ETM
김정은의	김정은/NNP+의/JKG
나이가	나이/NNG+가/JKS
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
정상(頂上)	정상/NNG+(/SS+頂上/SH+)/SS
외교에	외교/NNG+에/JKB
걸림돌이	걸림돌/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
이야기가	이야기/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.349.4.1
◇이 대통령과 40살 차이

◇이	◇/SW+이/NNP
대통령과	대통령/NNG+과/JKB
40살	40/SN+살/NNB
차이	차이/NNG


