# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.347
metadata : {}


# id : NWRW1800000054.347.1.1
리정철, 위장 취업

리정철,	리정철/NNP+,/SP
위장	위장/NNG
취업	취업/NNG


# id : NWRW1800000054.347.2.1
말레이 건강식품 수입 회사… 사장 "취업비자 도와줬을뿐"

말레이	말레이/NNP
건강식품	건강식품/NNG
수입	수입/NNG
회사…	회사/NNG+…/SE
사장	사장/NNG
"취업비자	"/SS+취업/NNG+비자/NNG
도와줬을뿐"	도와주/VV+었/EP+을/ETM+뿐/NNB+"/SS


# id : NWRW1800000054.347.3.1
김정남 암살 용의자로 체포된 리정철이 말레이시아 회사에 '위장 취업'했던 것으로 20일 확인됐다.

김정남	김정남/NNP
암살	암살/NNG
용의자로	용의자/NNG+로/JKB
체포된	체포/NNG+되/XSV+ㄴ/ETM
리정철이	리정철/NNP+이/JKS
말레이시아	말레이시아/NNP
회사에	회사/NNG+에/JKB
'위장	'/SS+위장/NNG
취업'했던	취업/NNG+'/SS+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
20일	20/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.347.3.2
현지 경찰이 리정철 직장으로 지목한 톰보 엔터프라이즈의 총칭치 사장은 이날 기자들과 만나 "서류상으로는 우리 회사 IT(정보기술) 부서 직원으로 돼 있지만, 말레이시아 체류를 위한 취업 비자가 필요하다고 해서 호의로 비자 발급을 도와줬을 뿐"이라고 말했다.

현지	현지/NNG
경찰이	경찰/NNG+이/JKS
리정철	리정철/NNP
직장으로	직장/NNG+으로/JKB
지목한	지목/NNG+하/XSV+ㄴ/ETM
톰보	톰보/NNP
엔터프라이즈의	엔터프라이즈/NNG+의/JKG
총칭치	총칭치/NNP
사장은	사장/NNG+은/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"서류상으로는	"/SS+서류/NNG+상/XSN+으로/JKB+는/JX
우리	우리/NP
회사	회사/NNG
IT(정보기술)	IT/SL+(/SS+정보/NNG+기술/NNG+)/SS
부서	부서/NNG
직원으로	직원/NNG+으로/JKB
돼	되/VV+어/EC
