# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.256
metadata : {}


# id : NWRW1800000033.256.1.1
“한국의 메시 키우자” 17년 찰떡콤비

“한국의	“/SS+한국/NNP+의/JKG
메시	메시/NNP
키우자”	키우/VV+자/EF+”/SS
17년	17/SN+년/NNB
찰떡콤비	찰떡/NNG+콤비/NNG


# id : NWRW1800000033.256.2.1
유소년축구연맹 김휘 회장 - 김영균 부회장

유소년축구연맹	유소년/NNG+축구/NNG+연맹/NNG
김휘	김휘/NNP
회장	회장/NNG
-	-/SO
김영균	김영균/NNP
부회장	부회장/NNG


# id : NWRW1800000033.256.3.1
17년간 보여준 유소년축구 사랑이 한결같다.

17년간	17/SN+년/NNB+간/XSN
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
유소년축구	유소년/NNG+축구/NNG
사랑이	사랑/NNG+이/JKS
한결같다.	한결같/VA+다/EF+./SF


# id : NWRW1800000033.256.4.1
1996년 한국초등(현 유소년)축구연맹 창설 때부터 수장을 맡고 있는 김휘 회장(68)과 함께 이사와 전무이사를 거쳐 행정을 실질적으로 책임지고 있는 김영균 부회장(63).

1996년	1996/SN+년/NNB
한국초등(현	한국/NNP+초등/NNG+(/SS+현/MMD
유소년)축구연맹	유소년/NNG+)/SS+축구/NNG+연맹/NNG
창설	창설/NNG
때부터	때/NNG+부터/JX
수장을	수장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
김휘	김휘/NNP
회장(68)과	회장/NNG+(/SS+68/SN+)/SS+과/JKB
함께	함께/MAG
이사와	이사/NNG+와/JC
전무이사를	전무/NNG+이사/NNG+를/JKO
거쳐	거치/VV+어/EC
행정을	행정/NNG+을/JKO
실질적으로	실질/NNG+적/XSN+으로/JKB
책임지고	책임지/VV+고/EC
김영균	김영균/NNP
부회장(63).	부회장/NNG+(/SS+63/SN+)/SS+./SF


# id : NWRW1800000033.256.4.2
축구발전을 위해 해야 한다면 회장은 든든한 후원자로, 부회장은 뚝심 있게 밀어붙이는 실무 브레인으로 ‘찰떡궁합’을 과시하고 있다.

축구발전을	축구/NNG+발전/NNG+을/JKO
위해	위하/VV+아/EC
해야	하/VV+아야/EC
한다면	하/VX+ㄴ다면/EC
회장은	회장/NNG+은/JX
든든한	든든하/VA+ㄴ/ETM
후원자로,	후원자/NNG+로/JKB+,/SP
부회장은	부회장/NNG+은/JX
뚝심	뚝심/NNG
있게	있/VV+게/EC
밀어붙이는	밀어붙이/VV+는/ETM
실무	실무/NNG
브레인으로	브레인/NNG+으로/JKB
‘찰떡궁합’을	‘/SS+찰떡궁합/NNG+’/SS+을/JKO
과시하고	과시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.256.5.1
초창기만 해도 국내에서는 6학년인 12세부터 본격적으로 축구를 시작했다.

초창기만	초창기/NNG+만/JX
해도	하/VV+아도/EC
국내에서는	국내/NNG+에서/JKB+는/JX
6학년인	6/SN+학년/NNG+이/VCP+ㄴ/ETM
12세부터	12/SN+세/NNB+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
축구를	축구/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.256.5.2
브라질과 스페인 등 축구 선진국이 5세부터 볼을 차니 7년의 차이가 생기고 결국 국가대표 성적으로 직결되고 있었다.

브라질과	브라질/NNP+과/JC
스페인	스페인/NNP
등	등/NNB
축구	축구/NNG
선진국이	선진국/NNG+이/JKS
5세부터	5/SN+세/NNB+부터/JX
볼을	볼/NNG+을/JKO
차니	차/VV+니/EC
7년의	7/SN+년/NNB+의/JKG
차이가	차이/NNG+가/JKS
생기고	생기/VV+고/EC
결국	결국/MAG
국가대표	국가/NNG+대표/NNG
성적으로	성적/NNG+으로/JKB
직결되고	직결/NNG+되/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.256.5.3
그래서 저학년도 참여시키기 위해 1998년부터 팀당 7명씩 하는 7 대 7 축구를 만들어 보급했다.

그래서	그래서/MAJ
저학년도	저/XPN+학년/NNG+도/JX
참여시키기	참여/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
1998년부터	1998/SN+년/NNB+부터/JX
팀당	팀/NNG+당/XSN
7명씩	7/SN+명/NNB+씩/XSN
하는	하/VV+는/ETM
7	7/SN
대	대/NNB
축구를	축구/NNG+를/JKO
만들어	만들/VV+어/EC
보급했다.	보급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.256.5.4
2000년에는 경남 남해스포츠파크에서 전국 300여 팀이 참여하는 화랑대기를 만들었다.

2000년에는	2000/SN+년/NNB+에/JKB+는/JX
경남	경남/NNP
남해스포츠파크에서	남해스포츠파크/NNP+에서/JKB
전국	전국/NNG
300여	300/SN+여/XSN
팀이	팀/NNG+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
화랑대기를	화랑대기/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.256.5.5
선수들이 천연잔디에서 본격적으로 뛴 첫 대회였다.

선수들이	선수/NNG+들/XSN+이/JKS
천연잔디에서	천연/NNG+잔디/NNG+에서/JKB
본격적으로	본격/NNG+적/XSN+으로/JKB
뛴	뛰/VV+ㄴ/ETM
첫	첫/MMN
대회였다.	대회/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.256.5.6
그동안 6학년만 출전하던 것을 5, 6학년을 나눠 대회를 치렀고 2002년부터 경북 경주로 옮겨 치러진 화랑대기 ‘경주 1세대’인 김영권(광저우)과 백성동(주빌로 이와타), 지동원(선덜랜드) 등은 2012년 런던 올림픽 동메달의 주역으로 활약했다.

그동안	그동안/NNG
6학년만	6/SN+학년/NNG+만/JX
출전하던	출전/NNG+하/XSV+던/ETM
것을	것/NNB+을/JKO
5,	5/SN+,/SP
6학년을	6/SN+학년/NNG+을/JKO
나눠	나누/VV+어/EC
대회를	대회/NNG+를/JKO
치렀고	치르/VV+었/EP+고/EC
2002년부터	2002/SN+년/NNB+부터/JX
경북	경북/NNP
경주로	경주/NNP+로/JKB
옮겨	옮기/VV+어/EC
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
화랑대기	화랑대기/NNG
‘경주	‘/SS+경주/NNP
1세대’인	1/SN+세대/NNG+’/SS+이/VCP+ㄴ/ETM
김영권(광저우)과	김영권/NNP+(/SS+광저우/NNP+)/SS+과/JC
백성동(주빌로	백성동/NNP+(/SS+주빌로/NNP
이와타),	이와타/NNP+)/SS+,/SP
지동원(선덜랜드)	지동원/NNP+(/SS+선덜랜드/NNP+)/SS
등은	등/NNB+은/JX
2012년	2012/SN+년/NNB
런던	런던/NNP
올림픽	올림픽/NNG
동메달의	동메달/NNG+의/JKG
주역으로	주역/NNG+으로/JKB
활약했다.	활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.256.6.1
1998년부터 매년 20∼30명의 지도자를 브라질과 독일, 스페인 등에 연수를 보냈고 유망주의 해외진출도 추진했다.

1998년부터	1998/SN+년/NNB+부터/JX
매년	매년/MAG
20∼30명의	20/SN+∼/SO+30/SN+명/NNB+의/JKG
지도자를	지도자/NNG+를/JKO
브라질과	브라질/NNP+과/JC
독일,	독일/NNP+,/SP
스페인	스페인/NNP
등에	등/NNB+에/JKB
연수를	연수/NNG+를/JKO
보냈고	보내/VV+었/EP+고/EC
유망주의	유망주/NNG+의/JKG
해외진출도	해외/NNG+진출/NNG+도/JX
추진했다.	추진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.256.6.2
2009년부터 스페인의 명문 바르셀로나(바르사)가 있는 카탈루냐 지역 대회에 3개 팀을 파견했다.

2009년부터	2009/SN+년/NNB+부터/JX
스페인의	스페인/NNP+의/JKG
명문	명문/NNG
바르셀로나(바르사)가	바르셀로나/NNP+(/SS+바르사/NNP+)/SS+가/JKS
있는	있/VA+는/ETM
카탈루냐	카탈루냐/NNP
지역	지역/NNG
대회에	대회/NNG+에/JKB
3개	3/SN+개/NNB
팀을	팀/NNG+을/JKO
파견했다.	파견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.256.6.3
그 결과 백승호(15)와 이승우(14), 장결희(14)가 바르사 유소년팀에 입단했다.

그	그/MMD
결과	결과/NNG
백승호(15)와	백승호/NNP+(/SS+15/SN+)/SS+와/JC
이승우(14),	이승우/NNP+(/SS+14/SN+)/SS+,/SP
장결희(14)가	장결희/NNP+(/SS+14/SN+)/SS+가/JKS
바르사	바르사/NNP
유소년팀에	유소년/NNG+팀/NNG+에/JKB
입단했다.	입단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.256.6.4
17년간 한국 유소년축구에 엄청난 변화를 이끈 것이다.

17년간	17/SN+년/NNB+간/XSN
한국	한국/NNP
유소년축구에	유소년/NNG+축구/NNG+에/JKB
엄청난	엄청나/VA+ㄴ/ETM
변화를	변화/NNG+를/JKO
이끈	이끌/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.256.7.1
김 회장은 “저변 확대와 지도자 질 향상에 더 집중하며 유망주를 조기 발굴해 기술축구를 전수하는 데 힘을 쏟겠다.

김	김/NNP
