# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.394
metadata : {}


# id : NWRW1800000032.394.1.1
뜨거운탐색전

뜨거운탐색전	뜨겁/VA+ㄴ/ETM+탐색전/NNG


# id : NWRW1800000032.394.2.1
민주당 서울시장 후보 첫 TV토론

민주당	민주당/NNP
서울시장	서울시장/NNG
후보	후보/NNG
첫	첫/MMN
TV토론	TV/SL+토론/NNG


# id : NWRW1800000032.394.3.1
FTA 전력·반값등록금 등 놓고 열띤 공방

FTA	FTA/SL
전력·반값등록금	전력/NNG+·/SP+반값/NNG+등록금/NNG
등	등/NNB
놓고	놓/VV+고/EC
열띤	열띠/VA+ㄴ/ETM
공방	공방/NNG


# id : NWRW1800000032.394.4.1
민주당 서울시장 경선에 출마한 4명의 후보가 20일 첫 생방송 텔레비전 토론회에서 상대의 약점을 파고들며 탐색전을 펼쳤다.

민주당	민주당/NNP
서울시장	서울시장/NNG
경선에	경선/NNG+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
4명의	4/SN+명/NNB+의/JKG
후보가	후보/NNG+가/JKS
20일	20/SN+일/NNB
첫	첫/MMN
생방송	생/XPN+방송/NNG
텔레비전	텔레비전/NNG
토론회에서	토론회/NNG+에서/JKB
상대의	상대/NNG+의/JKG
약점을	약점/NNG+을/JKO
파고들며	파고들/VV+며/EC
탐색전을	탐색전/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.394.5.1
박영선 후보는 한-미 자유무역협정(FTA) 관련 ‘전력’이 도마에 올랐다.

박영선	박영선/NNP
후보는	후보/NNG+는/JX
한-미	한-미/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
관련	관련/NNG
‘전력’이	‘/SS+전력/NNG+’/SS+이/JKS
도마에	도마/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.394.5.2
천정배 후보는 이날 박 후보에게 “2007년에 미국을 방문해 (한-미 에프티에이의) 조기 비준을 촉구한 적이 있다”고 지적했다.

천정배	천정배/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
박	박/NNP
후보에게	후보/NNG+에게/JKB
“2007년에	“/SS+2007/SN+년/NNB+에/JKB
미국을	미국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
(한-미	(/SS+한-미/NNP
에프티에이의)	에프티에이/NNG+의/JKG+)/SS
조기	조기/NNG
비준을	비준/NNG+을/JKO
촉구한	촉구/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.394.5.3
그해 7월 박 후보가 ‘국회 에프티에이 포럼’ 소속 의원으로 미국을 방문해 한-미 의원 에프티에이 세미나에 참석한 데 대한 추궁이었다.

그해	그해/NNG
7월	7/SN+월/NNB
박	박/NNP
후보가	후보/NNG+가/JKS
‘국회	‘/SS+국회/NNG
에프티에이	에프티에이/NNG
포럼’	포럼/NNG+’/SS
