# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.25
metadata : {}


# id : NWRW1800000045.25.1.1
[사회공헌 Together]재난 사고 예방법, 재미있는 인형극으로 배우자

[사회공헌	[/SS+사회/NNG+공헌/NNG
Together]재난	Together/SL+]/SS+재난/NNG
사고	사고/NNG
예방법,	예방법/NNG+,/SP
재미있는	재미있/VA+는/ETM
인형극으로	인형극/NNG+으로/JKB
배우자	배우/VV+자/EF


# id : NWRW1800000045.25.2.1
글로벌 종합물류유통기업 현대글로비스(대표이사 김경배)는 안전 최우선의 경영방침과 물류사업의 특성을 연계한 ‘안전공감 캠페인’을 통해 사회공헌 활동을 펼치고 있다.

글로벌	글로벌/NNG
종합물류유통기업	종합/NNG+물류/NNG+유통/NNG+기업/NNG
현대글로비스(대표이사	현대글로비스/NNP+(/SS+대표/NNG+이사/NNG
김경배)는	김경배/NNP+)/SS+는/JX
안전	안전/NNG
최우선의	최/XPN+우선/NNG+의/JKG
경영방침과	경영/NNG+방침/NNG+과/JC
물류사업의	물류/NNG+사업/NNG+의/JKG
특성을	특성/NNG+을/JKO
연계한	연계/NNG+하/XSV+ㄴ/ETM
‘안전공감	‘/SS+안전/NNG+공감/NNG
캠페인’을	캠페인/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
사회공헌	사회/NNG+공헌/NNG
활동을	활동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.25.2.2
안전을 강조하는 사회적 분위기를 조성하고 ‘재난재해 예방’과 ‘도로교통 안전’에 기여하기 위해서다.

안전을	안전/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
사회적	사회/NNG+적/XSN
분위기를	분위기/NNG+를/JKO
조성하고	조성/NNG+하/XSV+고/EC
‘재난재해	‘/SS+재난/NNG+재해/NNG
예방’과	예방/NNG+’/SS+과/JC
‘도로교통	‘/SS+도로/NNG+교통/NNG
안전’에	안전/NNG+’/SS+에/JKB
기여하기	기여/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000045.25.3.1
현대글로비스는 그 일환으로 4월부터 초등학교 100곳을 대상으로 재난재해 사고 예방 및 대처를 위한 교육을 실시하고 있다.

현대글로비스는	현대글로비스/NNP+는/JX
그	그/MMD
일환으로	일환/NNG+으로/JKB
4월부터	4/SN+월/NNB+부터/JX
초등학교	초등학교/NNG
100곳을	100/SN+곳/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
재난재해	재난/NNG+재해/NNG
사고	사고/NNG
예방	예방/NNG
및	및/MAG
대처를	대처/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
교육을	교육/NNG+을/JKO
실시하고	실시/NNG+하/XSV+고/EC
