# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.233
metadata : {}


# id : NWRW1800000053.233.1.1
이동국 통산 199골… 전북, 우승도 예약

이동국	이동국/NNP
통산	통산/NNG
199골…	199/SN+골/NNG+…/SE
전북,	전북/NNP+,/SP
우승도	우승/NNG+도/JX
예약	예약/NNG


# id : NWRW1800000053.233.2.1
강원 대파… 29일 제주 이기면 확정

강원	강원/NNP
대파…	대파/NNG+…/SE
29일	29/SN+일/NNB
제주	제주/NNP
이기면	이기/VV+면/EC
확정	확정/NNG


# id : NWRW1800000053.233.3.1
‘닥공(닥치고 공격)’ 전북이 강원을 꺾고 프로축구 K리그 클래식(1부 리그) 우승에 한발 더 다가섰다.

‘닥공(닥치고	‘/SS+닥공/NNG+(/SS+닥치/VV+고/EC
공격)’	공격/NNG+)/SS+’/SS
전북이	전북/NNP+이/JKS
강원을	강원/NNP+을/JKO
꺾고	꺾/VV+고/EC
프로축구	프로/NNG+축구/NNG
K리그	K/SL+리그/NNG
클래식(1부	클래식/NNG+(/SS+1/SN+부/NNB
리그)	리그/NNG+)/SS
우승에	우승/NNG+에/JKB
한발	한발/MAG
더	더/MAG
다가섰다.	다가서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.233.4.1
전북은 22일 춘천에서 열린 강원과의 2017 KEB하나은행 클래식 35라운드 방문경기에서 4-0으로 대승을 거뒀다.

전북은	전북/NNP+은/JX
22일	22/SN+일/NNB
춘천에서	춘천/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
강원과의	강원/NNP+과/JKB+의/JKG
2017	2017/SN
KEB하나은행	KEB하나은행/NNP
클래식	클래식/NNG
35라운드	35/SN+라운드/NNG
방문경기에서	방문/NNG+경기/NNG+에서/JKB
4-0으로	4/SN+-/SO+0/SN+으로/JKB
대승을	대승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.233.4.2
에두와 로페즈 등 외국인 공격수들을 선발로 내세운 전북은 경기 초반부터 강원을 몰아붙였다.

에두와	에두/NNP+와/JC
로페즈	로페즈/NNP
등	등/NNB
