# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.196
metadata : {}


# id : NWRW1800000026.196.1.1
[SOUTH AFRICA 2010][가라앉은 대한민국] 허정무 "나도 예상하지 못한 점수";"실점수로 평가는 부적절" 이청용 "16강 지장 없어"

[SOUTH	[/SS+SOUTH/SL
AFRICA	AFRICA/SL
2010][가라앉은	2010/SN+]/SS+[/SS+가라앉/VV+은/ETM
대한민국]	대한민국/NNP+]/SS
허정무	허정무/NNP
"나도	"/SS+나/NP+도/JX
예상하지	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
점수";"실점수로	점수/NNG+"/SS+;/SW+"/SS+실점/NNG+수/NNG+로/JKB
평가는	평가/NNG+는/JX
부적절"	부적절/XR+"/SS
이청용	이청용/NNP
"16강	"/SS+16/SN+강/NNB
지장	지장/NNG
없어"	없/VA+어/EF+"/SS


# id : NWRW1800000026.196.2.1
허정무 한국 축구 대표팀 감독은 17일 아르헨티나전이 끝나자 그라운드로 걸어나가 선수들의 등을 두드리며 다독거렸다.

허정무	허정무/NNP
한국	한국/NNP
축구	축구/NNG
대표팀	대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
17일	17/SN+일/NNB
아르헨티나전이	아르헨티나전/NNG+이/JKS
끝나자	끝나/VV+자/EC
그라운드로	그라운드/NNG+로/JKB
걸어나가	걷/VV+어/EC+나가/VV+아/EC
선수들의	선수/NNG+들/XSN+의/JKG
등을	등/NNG+을/JKO
두드리며	두드리/VV+며/EC
다독거렸다.	다독거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.196.2.2
예상보다 실점이 많았던 탓에 선수단 분위기가 가라앉는 것이 걱정됐기 때문이었다.

예상보다	예상/NNG+보다/JKB
실점이	실점/NNG+이/JKS
많았던	많/VA+았/EP+던/ETM
탓에	탓/NNG+에/JKB
선수단	선수단/NNG
분위기가	분위기/NNG+가/JKS
가라앉는	가라앉/VV+는/ETM
것이	것/NNB+이/JKS
걱정됐기	걱정/NNG+되/XSV+었/EP+기/ETN
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.196.2.3
라커룸에서 허 감독이 선수들에게 맨 먼저 꺼낸 말은 "오늘 결과는 빨리 잊자"는 주문이었다.

라커룸에서	라커룸/NNG+에서/JKB
허	허/NNP
감독이	감독/NNG+이/JKS
선수들에게	선수/NNG+들/XSN+에게/JKB
맨	맨/MMA
먼저	먼저/MAG
꺼낸	꺼내/VV+ㄴ/ETM
말은	말/NNG+은/JX
"오늘	"/SS+오늘/NNG
결과는	결과/NNG+는/JX
빨리	빨리/MAG
잊자"는	잊/VV+자/EF+"/SS+는/ETM
주문이었다.	주문/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.196.3.1
공식 기자회견장에 모습을 드러낸 허 감독은 "선수들이 열심히 싸웠지만 경기 흐름을 타지 못했다"며 "나이지리아와의 3차전에 모든 것을 걸고 최선을 다하겠다"고 말했다.

공식	공식/NNG
기자회견장에	기자/NNG+회견장/NNG+에/JKB
모습을	모습/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
허	허/NNP
감독은	감독/NNG+은/JX
"선수들이	"/SS+선수/NNG+들/XSN+이/JKS
열심히	열심히/MAG
싸웠지만	싸우/VV+었/EP+지만/EC
경기	경기/NNG
흐름을	흐름/NNG+을/JKO
타지	타/VV+지/EC
못했다"며	못하/VX+았/EP+다/EF+"/SS+며/EC
"나이지리아와의	"/SS+나이지리아/NNP+와/JKB+의/JKG
3차전에	3/SN+차전/NNB+에/JKB
모든	모든/MMN
것을	것/NNB+을/JKO
걸고	걸/VV+고/EC
최선을	최선/NNG+을/JKO
다하겠다"고	다/MAG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.3.2
허 감독은 1대4라는 점수 차에 대해 "나 역시 예상하지 못한 점수 차이다. 그러나 몇 골을 먹었느냐로 경기 내용을 평가하는 것은 적절하지 않다"고 말했다.

허	허/NNP
감독은	감독/NNG+은/JX
1대4라는	1/SN+대/NNB+4/SN+이/VCP+라는/ETM
점수	점수/NNG
차에	차/NNG+에/JKB
대해	대하/VV+아/EC
"나	"/SS+나/NP
역시	역시/MAG
예상하지	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
차이다.	차이/NNG+이/VCP+다/EF+./SF
그러나	그러나/MAJ
몇	몇/NR
골을	골/NNG+을/JKO
먹었느냐로	먹/VV+었/EP+느냐/EF+로/JKB
경기	경기/NNG
내용을	내용/NNG+을/JKO
평가하는	평가/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
적절하지	적절하/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.4.1
허 감독의 표정은 딱딱하게 굳어 있었고 회견 후 경기장을 빠져나가는 뒷모습은 싸늘하게 느껴질 정도였다.

허	허/NNP
감독의	감독/NNG+의/JKG
표정은	표정/NNG+은/JX
딱딱하게	딱딱하/VA+게/EC
굳어	굳/VV+어/EC
있었고	있/VX+었/EP+고/EC
회견	회견/NNG
후	후/NNG
경기장을	경기장/NNG+을/JKO
빠져나가는	빠져나가/VV+는/ETM
뒷모습은	뒷모습/NNG+은/JX
싸늘하게	싸늘하/VA+게/EC
느껴질	느끼/VV+어/EC+지/VX+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.196.5.1
선수들의 분위기도 마찬가지였다.

선수들의	선수/NNG+들/XSN+의/JKG
분위기도	분위기/NNG+도/JX
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.196.5.2
주장 박지성은 "결과가 결과인 만큼 (선수단) 분위기가 좋지는 않다"고 말했다.

주장	주장/NNG
박지성은	박지성/NNP+은/JX
"결과가	"/SS+결과/NNG+가/JKS
결과인	결과/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
(선수단)	(/SS+선수단/NNG+)/SS
분위기가	분위기/NNG+가/JKS
좋지는	좋/VA+지/EC+는/JX
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.5.3
박지성은 "점수 차이가 많이 났지만 후반 초반에 공격적으로 밀어붙인 부분은 나쁘지 않았다. 나이지리아전을 대비하는 데 도움이 될 것"이라고 했다.

박지성은	박지성/NNP+은/JX
"점수	"/SS+점수/NNG
차이가	차이/NNG+가/JKS
많이	많이/MAG
났지만	나/VV+았/EP+지만/EC
후반	후반/NNG
초반에	초반/NNG+에/JKB
공격적으로	공격/NNG+적/XSN+으로/JKB
밀어붙인	밀어붙이/VV+ㄴ/ETM
부분은	부분/NNG+은/JX
나쁘지	나쁘/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF
나이지리아전을	나이지리아전/NNG+을/JKO
대비하는	대비/NNG+하/XSV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.6.1
한국 선수들은 아르헨티나의 개인기와 패스 플레이에 고전했음을 인정했다.

한국	한국/NNP
선수들은	선수/NNG+들/XSN+은/JX
아르헨티나의	아르헨티나/NNP+의/JKG
개인기와	개인기/NNG+와/JC
패스	패스/NNG
플레이에	플레이/NNG+에/JKB
고전했음을	고전/NNG+하/XSV+았/EP+음/ETN+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.6.2
염기훈은 "수비수 한두 명을 쉽게 제쳐버리는 기술이 대단했다"고 말했다.

염기훈은	염기훈/NNP+은/JX
"수비수	"/SS+수비수/NNG
한두	한두/MMN
명을	명/NNB+을/JKO
쉽게	쉽/VA+게/EC
제쳐버리는	제치/VV+어/EC+버리/VX+는/ETM
기술이	기술/NNG+이/JKS
대단했다"고	대단하/VA+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.196.6.3
전반 종료 1골을 넣은 이청용은 "우리는 계속 뛰어야 했고, 상대는 손쉬운 패스 연결로 찬스를 만들었다. 힘든 경기였다"고 털어놓았다.

전반	전반/NNG
종료	종료/NNG
1골을	1/SN+골/NNG+을/JKO
넣은	넣/VV+은/ETM
이청용은	이청용/NNP+은/JX
"우리는	"/SS+우리/NP+는/JX
계속	계속/MAG
뛰어야	뛰/VV+어야/EC
했고,	하/VX+았/EP+고/EC+,/SP
상대는	상대/NNG+는/JX
손쉬운	손쉽/VA+ㄴ/ETM
패스	패스/NNG
연결로	연결/NNG+로/JKB
찬스를	찬스/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF
힘든	힘들/VA+ㄴ/ETM
