# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.29
metadata : {}


# id : NWRW1800000025.29.1.1
금호산업-타이어에 3800억 지원

금호산업-타이어에	금호산업/NNP+-/SO+타이어/NNG+에/JKB
3800억	3800/SN+억/NR
지원	지원/NNG


# id : NWRW1800000025.29.2.1
채권단이 금호산업과 금호타이어에 신규 자금 3800억 원을 지원하기로 했다.

채권단이	채권단/NNG+이/JKS
금호산업과	금호산업/NNP+과/JC
금호타이어에	금호타이어/NNP+에/JKB
신규	신규/NNG
자금	자금/NNG
3800억	3800/SN+억/NR
원을	원/NNB+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.29.2.2
채권단 관계자는 “워크아웃(기업개선작업)을 추진 중인 금호산업과 금호타이어의 협력업체들을 돕기 위해 자금을 지원하기로 했다”고 2일 밝혔다.

채권단	채권단/NNG
관계자는	관계자/NNG+는/JX
“워크아웃(기업개선작업)을	“/SS+워크아웃/NNG+(/SS+기업/NNG+개선/NNG+작업/NNG+)/SS+을/JKO
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
금호산업과	금호산업/NNP+과/JC
금호타이어의	금호타이어/NNP+의/JKG
협력업체들을	협력/NNG+업체/NNG+들/XSN+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
자금을	자금/NNG+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
2일	2/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.29.2.3
채권단은 3일 회의를 열어 금호산업에 2800억 원의 긴급 자금을 지원하고 9일에는 금호타이어에 1000억 원을 지원하기로 했다.

채권단은	채권단/NNG+은/JX
3일	3/SN+일/NNB
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
금호산업에	금호산업/NNP+에/JKB
2800억	2800/SN+억/NR
원의	원/NNB+의/JKG
긴급	긴급/NNG
자금을	자금/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
9일에는	9/SN+일/NNB+에/JKB+는/JX
