# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.293
metadata : {}


# id : NWRW1800000044.293.1.1
[아침 햇발] 벼랑에 선 MBC, 위기의 한국 언론 / 김이택

[아침	[/SS+아침/NNG
햇발]	햇발/NNG+]/SS
벼랑에	벼랑/NNG+에/JKB
선	서/VV+ㄴ/ETM
MBC,	MBC/SL+,/SP
위기의	위기/NNG+의/JKG
한국	한국/NNP
언론	언론/NNG
/	//SP
김이택	김이택/NNP


# id : NWRW1800000044.293.2.1
[한겨레] 최근 법원이 문화방송(이하 엠비시) 파업 참가자 44명에 대한 해고·정직 등 징계가 “무효”라고 판결한 뒤 회사 쪽의 반발이 거칠다.

[한겨레]	[/SS+한겨레/NNP+]/SS
최근	최근/NNG
법원이	법원/NNG+이/JKS
문화방송(이하	문화방송/NNP+(/SS+이하/NNG
엠비시)	엠비시/NNP+)/SS
파업	파업/NNG
참가자	참가자/NNG
44명에	44/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
해고·정직	해고/NNG+·/SP+정직/NNG
등	등/NNB
징계가	징계/NNG+가/JKS
“무효”라고	“/SS+무효/NNG+”/SS+라고/JKQ
판결한	판결/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
회사	회사/NNG
쪽의	쪽/NNB+의/JKG
반발이	반발/NNG+이/JKS
거칠다.	거칠/VA+다/EF+./SF


# id : NWRW1800000044.293.2.2
이례적으로 반박 광고까지 내면서 ‘방송의 공정성은 노동조합이 독점하는 권리가 아니다’라고 주장하고 나섰다.

이례적으로	이례/NNG+적/XSN+으로/JKB
반박	반박/NNG
광고까지	광고/NNG+까지/JX
내면서	내/VV+면서/EC
‘방송의	‘/SS+방송/NNG+의/JKG
공정성은	공정/NNG+성/XSN+은/JX
노동조합이	노동조합/NNG+이/JKS
독점하는	독점/NNG+하/XSV+는/ETM
권리가	권리/NNG+가/JKC
아니다’라고	아니/VCN+다/EF+’/SS+라고/JKQ
주장하고	주장/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.293.2.3
아마도 판결문을 제대로 읽어보지 못한 모양이다.

아마도	아마도/MAG
판결문을	판결문/NNG+을/JKO
제대로	제대로/MAG
읽어보지	읽/VV+어/EC+보/VX+지/EC
못한	못하/VX+ㄴ/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.293.2.4
“공정방송 의무는 노사 양쪽에 요구”되는데도 회사가 “공정성 보장을 위한 여러 절차 규정을 위반하고 인사권을 남용”했다는 게 판결 요지다.

“공정방송	“/SS+공정/NNG+방송/NNG
의무는	의무/NNG+는/JX
노사	노사/NNG
양쪽에	양쪽/NNG+에/JKB
요구”되는데도	요구/NNG+”/SS+되/VV+는데/EC+도/JX
회사가	회사/NNG+가/JKS
“공정성	“/SS+공정/NNG+성/XSN
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
여러	여러/MMN
절차	절차/NNG
규정을	규정/NNG+을/JKO
