# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.129
metadata : {}


# id : NWRW1800000026.129.1.1
[천안함 피폭 침몰] "가영아, 아빠는… 못올 것 같아";'돌아오지 못한 8인' 가족들 "수색 중단" 또 눈물의 결단

[천안함	[/SS+천안함/NNP
피폭	피폭/NNG
침몰]	침몰/NNG+]/SS
"가영아,	"/SS+가영/NNP+아/JKV+,/SP
아빠는…	아빠/NNG+는/JX+…/SE
못올	못/MAG+오/VV+ㄹ/ETM
것	것/NNB
같아";'돌아오지	같/VA+아/EF+"/SS+;/SW+'/SS+돌아오/VV+지/EC
못한	못하/VX+ㄴ/ETM
8인'	8/SN+인/NNG+'/SS
가족들	가족/NNG+들/XSN
"수색	"/SS+수색/NNG
중단"	중단/NNG+"/SS
또	또/MAG
눈물의	눈물/NNG+의/JKG
결단	결단/NNG


# id : NWRW1800000026.129.2.1
천안함 침몰 희생자 가족들이 또 한 번 중대 결단을 했다.

천안함	천안함/NNP
침몰	침몰/NNG
희생자	희생자/NNG
가족들이	가족/NNG+들/XSN+이/JKS
또	또/MAG
한	한/MMN
번	번/NNB
중대	중대/NNG
결단을	결단/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.129.2.2
16일 천안함 실종자 가족협의회는 천안함 함미(艦尾)에서 실종된 승조원 가족들의 동의를 얻어 군(軍)에 대해 함미 현장수색 중단을 요청했다.

16일	16/SN+일/NNB
천안함	천안함/NNP
실종자	실종자/NNG
가족협의회는	가족/NNG+협의회/NNG+는/JX
함미(艦尾)에서	함미/NNG+(/SS+艦尾/SH+)/SS+에서/JKB
실종된	실종/NNG+되/XSV+ㄴ/ETM
승조원	승조원/NNG
가족들의	가족/NNG+들/XSN+의/JKG
동의를	동의/NNG+를/JKO
얻어	얻/VV+어/EC
군(軍)에	군/NNG+(/SS+軍/SH+)/SS+에/JKB
대해	대하/VV+아/EC
함미	함미/NNG
현장수색	현장/NNG+수색/NNG
중단을	중단/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.129.2.3
함미에서 발견되지 않으면 시신조차 찾기 어렵다는 현실을 알고도 실종자 가족들이 함미 추가 수색을 포기하겠다고 한 것이다.

함미에서	함미/NNG+에서/JKB
발견되지	발견/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
시신조차	시신/NNG+조차/JX
찾기	찾/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
현실을	현실/NNG+을/JKO
알고도	알/VV+고/EC+도/JX
실종자	실종자/NNG
가족들이	가족/NNG+들/XSN+이/JKS
함미	함미/NNG
추가	추가/NNG
수색을	수색/NNG+을/JKO
포기하겠다고	포기/NNG+하/XSV+겠/EP+다고/EC
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.129.2.4
