# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.300
metadata : {}


# id : NWRW1800000054.300.1.1
[트렌드 돋보기] 넷플릭스로 곧장 가는 영화

[트렌드	[/SS+트렌드/NNG
돋보기]	돋보기/NNG+]/SS
넷플릭스로	넷플릭스/NNP+로/JKB
곧장	곧장/MAG
가는	가/VV+는/ETM
영화	영화/NNG


# id : NWRW1800000054.300.2.1
올해 한국 영화계에서 초미의 관심사는 6월 개봉 예정인 봉준호 감독의 '옥자'다.

올해	올해/NNG
한국	한국/NNP
영화계에서	영화/NNG+계/XSN+에서/JKB
초미의	초미/NNG+의/JKG
관심사는	관심사/NNG+는/JX
6월	6/SN+월/NNB
개봉	개봉/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
봉준호	봉준호/NNP
감독의	감독/NNG+의/JKG
'옥자'다.	'/SS+옥자/NNP+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.300.2.2
'살인의 추억'과 '괴물' 같은 작품들로 대중성과 작품성에서 호평을 받은 봉 감독의 차기작이라는 점 때문만은 아니다.

'살인의	'/SS+살인/NNG+의/JKG
추억'과	추억/NNG+'/SS+과/JC
'괴물'	'/SS+괴물/NNG+'/SS
같은	같/VA+은/ETM
작품들로	작품/NNG+들/XSN+로/JKB
대중성과	대중/NNG+성/XSN+과/JC
작품성에서	작품/NNG+성/XSN+에서/JKB
호평을	호평/NNG+을/JKO
받은	받/VV+은/ETM
봉	봉/NNP
감독의	감독/NNG+의/JKG
차기작이라는	차기작/NNG+이/VCP+라는/ETM
점	점/NNG
때문만은	때문/NNB+만/JX+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000054.300.2.3
'옥자'는 세계 최대의 동영상 서비스 업체인 넷플릭스로부터 제작비 570억원을 투자받아서 제작 단계부터 화제를 모았다.

'옥자'는	'/SS+옥자/NNP+'/SS+는/JX
세계	세계/NNG
최대의	최대/NNG+의/JKG
동영상	동영상/NNG
서비스	서비스/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
넷플릭스로부터	넷플릭스/NNP+로부터/JKB
제작비	제작비/NNG
570억원을	570/SN+억/NR+원/NNB+을/JKO
투자받아서	투자/NNG+받/XSV+아서/EC
제작	제작/NNG
단계부터	단계/NNG+부터/JX
화제를	화제/NNG+를/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.300.2.4
넷플릭스는 섹스 스캔들과 음모 등 미국 정치의 추악한 이면을 다뤘던 인기 드라마 '하우스 오브 카드'를 만든 회사다.

넷플릭스는	넷플릭스/NNP+는/JX
섹스	섹스/NNG
스캔들과	스캔들/NNG+과/JC
음모	음모/NNG
등	등/NNB
미국	미국/NNP
정치의	정치/NNG+의/JKG
추악한	추악하/VA+ㄴ/ETM
이면을	이면/NNG+을/JKO
다뤘던	다루/VV+었/EP+던/ETM
인기	인기/NNG
드라마	드라마/NNG
'하우스	'/SS+하우스/NNP
오브	오브/NNP
카드'를	카드/NNP+'/SS+를/JKO
만든	만들/VV+ㄴ/ETM
회사다.	회사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.300.3.1
20세기폭스코리아와 워너브러더스코리아 같은 외국 직배사들이 최근 한국 영화에 직접 투자하는 경우도 크게 늘었다.

20세기폭스코리아와	20세기폭스코리아/NNP+와/JC
워너브러더스코리아	워너브러더스코리아/NNP
같은	같/VA+은/ETM
외국	외국/NNG
직배사들이	직배사/NNG+들/XSN+이/JKS
최근	최근/NNG
한국	한국/NNP
영화에	영화/NNG+에/JKB
직접	직접/MAG
투자하는	투자/NNG+하/XSV+는/ETM
경우도	경우/NNG+도/JX
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.300.3.2
지난해 '밀정'과 '곡성', 올해 '싱글라이더' 같은 영화가 대표적이다.

지난해	지난해/NNG
'밀정'과	'/SS+밀정/NNP+'/SS+과/JC
'곡성',	'/SS+곡성/NNP+'/SS+,/SP
올해	올해/NNG
'싱글라이더'	'/SS+싱글/NNG+라이더/NNG+'/SS
같은	같/VA+은/ETM
