# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.24
metadata : {}


# id : NWRW1800000052.24.1.1
거꾸로 움직이는 수도권-지방 아파트값

거꾸로	거꾸로/MAG
움직이는	움직이/VV+는/ETM
수도권-지방	수도/NNG+권/XSN+-/SO+지방/NNG
아파트값	아파트값/NNG


# id : NWRW1800000052.24.2.1
올해 수도권 0.2%↑…지방 0.2%↓

올해	올해/NNG
수도권	수도/NNG+권/XSN
0.2%↑…지방	0/SN+./SP+2/SN+%/SW+↑/SW+…/SE+지방/NNG
0.2%↓	0/SN+./SP+2/SN+%/SW+↓/SW


# id : NWRW1800000052.24.3.1
지난 2년간은 값 동시에 올라

지난	지나/VV+ㄴ/ETM
2년간은	2/SN+년/NNB+간/XSN+은/JX
값	값/NNG
동시에	동시/NNG+에/JKB
올라	오르/VV+아/EF


# id : NWRW1800000052.24.4.1
“수도권 내년 이후 조정” 예측도

“수도권	“/SS+수도/NNG+권/XSN
내년	내년/NNG
이후	이후/NNG
조정”	조정/NNG+”/SS
예측도	예측/NNG+도/JX


# id : NWRW1800000052.24.5.1
올해 들어 수도권과 지방의 아파트시장이 서로 반대로 움직이는 ‘디커플링’(탈동조화) 현상이 다시 나타나고 있다.

올해	올해/NNG
들어	들/VV+어/EC
수도권과	수도/NNG+권/XSN+과/JC
지방의	지방/NNG+의/JKG
아파트시장이	아파트/NNG+시장/NNG+이/JKS
서로	서로/MAG
반대로	반대/NNG+로/JKB
움직이는	움직이/VV+는/ETM
‘디커플링’(탈동조화)	‘/SS+디커플링/NNG+’/SS+(/SS+탈/XPN+동조/NNG+화/XSN+)/SS
현상이	현상/NNG+이/JKS
다시	다시/MAG
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.24.5.2
금융위기 직후에는 지방이 강세, 수도권은 약세를 보였던 것과 달리 최근에는 수도권이 강세, 지방이 약세를 보이고 있다.

금융위기	금융/NNG+위기/NNG
직후에는	직후/NNG+에/JKB+는/JX
지방이	지방/NNG+이/JKS
강세,	강세/NNG+,/SP
수도권은	수도/NNG+권/XSN+은/JX
약세를	약세/NNG+를/JKO
보였던	보이/VV+었/EP+던/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
최근에는	최근/NNG+에/JKB+는/JX
수도권이	수도/NNG+권/XSN+이/JKS
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.24.6.1
7일 한국감정원 주택가격 통계를 보면, 올 들어 5월까지 수도권 아파트 매매가는 0.20% 상승한 반면 지방 아파트 매매가는 0.20% 떨어졌다.

7일	7/SN+일/NNB
한국감정원	한국감정원/NNP
주택가격	주택/NNG+가격/NNG
통계를	통계/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
올	올/NNG
들어	들/VV+어/EC
5월까지	5/SN+월/NNB+까지/JX
수도권	수도/NNG+권/XSN
아파트	아파트/NNG
매매가는	매매/NNG+가/XSN+는/JX
0.20%	0/SN+./SP+20/SN+%/SW
상승한	상승/NNG+하/XSV+ㄴ/ETM
반면	반면/NNG
지방	지방/NNG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.24.6.2
수도권에서는 서울이 0.35% 올라 아파트값 상승세를 견인했고 지방에서는 대구(-1.49%), 경북(-1.46%), 충북(-0.45%) 등의 아파트값이 내렸다.

수도권에서는	수도/NNG+권/XSN+에서/JKB+는/JX
서울이	서울/NNP+이/JKS
0.35%	0/SN+./SP+35/SN+%/SW
올라	오르/VV+아/EC
아파트값	아파트값/NNG
상승세를	상승세/NNG+를/JKO
견인했고	견인/NNG+하/XSV+았/EP+고/EC
지방에서는	지방/NNG+에서/JKB+는/JX
대구(-1.49%),	대구/NNP+(/SS+-/SW+1/SN+./SP+49/SN+%/SW+)/SS+,/SP
경북(-1.46%),	경북/NNP+(/SS+-/SW+1/SN+./SP+46/SN+%/SW+)/SS+,/SP
충북(-0.45%)	충북/NNP+(/SS+-/SW+0/SN+./SP+45/SN+%/SW+)/SS
등의	등/NNB+의/JKG
아파트값이	아파트값/NNG+이/JKS
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.24.7.1
이런 수도권과 지방 아파트시장의 ‘디커플링’ 현상은 2008년 금융위기 이후 나타난 바 있다.

이런	이런/MMD
수도권과	수도/NNG+권/XSN+과/JC
지방	지방/NNG
아파트시장의	아파트/NNG+시장/NNG+의/JKG
‘디커플링’	‘/SS+디커플링/NNG+’/SS
현상은	현상/NNG+은/JX
2008년	2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
나타난	나타나/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.24.7.2
이후 2014년부터 지난해까지는 ‘9·1 대책’ 등 정부의 적극적인 주택시장 활성화 정책으로 수도권과 지방 아파트값이 동시에 오르는 ‘동조화’ 현상을 보였다.

이후	이후/NNG
2014년부터	2014/SN+년/NNB+부터/JX
지난해까지는	지난해/NNG+까지/JX+는/JX
‘9·1	‘/SS+9/SN+·/SP+1/SN
대책’	대책/NNG+’/SS
등	등/NNB
정부의	정부/NNG+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
주택시장	주택/NNG+시장/NNG
활성화	활성/NNG+화/XSN
정책으로	정책/NNG+으로/JKB
수도권과	수도/NNG+권/XSN+과/JC
지방	지방/NNG
아파트값이	아파트값/NNG+이/JKS
동시에	동시/NNG+에/JKB
오르는	오르/VV+는/ETM
‘동조화’	‘/SS+동조/NNG+화/XSN+’/SS
현상을	현상/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.24.7.3
특히 지난해 수도권은 6.19%, 지방은 3.64% 상승해 2008년 이후 7년 만에 수도권 아파트값 상승 폭이 지방을 앞질렀다.

특히	특히/MAG
지난해	지난해/NNG
수도권은	수도/NNG+권/XSN+은/JX
6.19%,	6/SN+./SP+19/SN+%/SW+,/SP
지방은	지방/NNG+은/JX
3.64%	3/SN+./SP+64/SN+%/SW
상승해	상승/NNG+하/XSV+아/EC
2008년	2008/SN+년/NNB
이후	이후/NNG
7년	7/SN+년/NNB
만에	만/NNB+에/JKB
수도권	수도/NNG+권/XSN
아파트값	아파트값/NNG
상승	상승/NNG
폭이	폭/NNG+이/JKS
지방을	지방/NNG+을/JKO
앞질렀다.	앞지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.24.8.1
올해 들어서는 지방 아파트시장이 뚜렷한 조정 국면에 접어들었다.

올해	올해/NNG
들어서는	들어서/VV+는/ETM
지방	지방/NNG
아파트시장이	아파트/NNG+시장/NNG+이/JKS
뚜렷한	뚜렷하/VA+ㄴ/ETM
조정	조정/NNG
국면에	국면/NNG+에/JKB
접어들었다.	접어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.24.8.2
주택담보대출 여신심사 강화 조처가 5월부터 지방으로 확대 시행된 데다, 지방 아파트 입주 물량도 3년째 16만가구를 넘어서며 포화 상태에 이르렀기 때문으로 분석된다.

주택담보대출	주택/NNG+담보/NNG+대출/NNG
여신심사	여신/NNG+심사/NNG
강화	강화/NNG
