# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.38
metadata : {}


# id : NWRW1800000032.38.1.1
한국 ‘삶의 질’ 39개국 중 27위

한국	한국/NNP
‘삶의	‘/SS+삶/NNG+의/JKG
질’	질/NNG+’/SS
39개국	39/SN+개국/NNB
중	중/NNB
27위	27/SN+위/NNB


# id : NWRW1800000032.38.2.1
KDI 국가경쟁력 보고서 2000년·08년 모두 하위권 분배상황 8년새 11단계↓

KDI	KDI/SL
국가경쟁력	국가/NNG+경쟁력/NNG
보고서	보고서/NNG
2000년·08년	2000/SN+년/NNB+·/SP+08/SN+년/NNB
모두	모두/MAG
하위권	하위/NNG+권/XSN
분배상황	분배/NNG+상황/NNG
8년새	8/SN+년/NNB+새/NNG
11단계↓	11/SN+단계/NNG+↓/SW


# id : NWRW1800000032.38.3.1
우리나라의 ‘삶의 질’ 지표가 경제협력개발기구(OECD)와 주요 20개국(G20)에 포함된 세계 39개 나라 가운데 27위 수준인 것으로 나타났다.

우리나라의	우리나라/NNG+의/JKG
‘삶의	‘/SS+삶/NNG+의/JKG
질’	질/NNG+’/SS
지표가	지표/NNG+가/JKS
경제협력개발기구(OECD)와	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS+와/JC
주요	주요/NNG
20개국(G20)에	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
세계	세계/NNG
39개	39/SN+개/NNB
나라	나라/NNG
가운데	가운데/NNG
27위	27/SN+위/NNB
수준인	수준/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.38.4.1
21일 기획재정부가 의뢰해 한국개발연구원(KDI)이 작성한 ‘우리나라의 국가경쟁력 분석체계 개발’ 보고서를 보면, 우리나라의 삶의 질 지표는 세계 39개 나라 중 27위, 인프라와 성장동력은 각각 19위와 18위인 것으로 조사됐다.

21일	21/SN+일/NNB
기획재정부가	기획/NNG+재정부/NNG+가/JKS
의뢰해	의뢰/NNG+하/XSV+아/EC
한국개발연구원(KDI)이	한국개발연구원/NNP+(/SS+KDI/SL+)/SS+이/JKS
작성한	작성/NNG+하/XSV+ㄴ/ETM
‘우리나라의	‘/SS+우리나라/NNG+의/JKG
국가경쟁력	국가/NNG+경쟁력/NNG
분석체계	분석/NNG+체계/NNG
개발’	개발/NNG+’/SS
보고서를	보고서/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
우리나라의	우리나라/NNG+의/JKG
삶의	삶/NNG+의/JKG
질	질/NNG
지표는	지표/NNG+는/JX
세계	세계/NNG
39개	39/SN+개/NNB
나라	나라/NNG
중	중/NNB
27위,	27/SN+위/NNB+,/SP
인프라와	인프라/NNG+와/JC
성장동력은	성장/NNG+동력/NNG+은/JX
각각	각각/MAG
19위와	19/SN+위/NNB+와/JC
18위인	18/SN+위/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.38.4.2
그동안 세계경제포럼(WEF)과 국제경영개발원(IMD) 등의 국제기구에서 국가경쟁력 보고서를 내 왔으나, 우리나라가 자체적으로 국가경쟁력을 분석한 것은 이번이 처음이다.

