# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.415
metadata : {}


# id : NWRW1800000028.415.1.1
“이란·시리아, 비밀 핵계획 계속 추진”

“이란·시리아,	“/SS+이란/NNP+·/SP+시리아/NNP+,/SP
비밀	비밀/NNG
핵계획	핵/NNG+계획/NNG
계속	계속/MAG
추진”	추진/NNG+”/SS


# id : NWRW1800000028.415.2.1
이란과 시리아가 국제원자력기구(IEA)와의 협력을 거부하고 우라늄 농축 및 비밀 핵계획을 계속 추진중이라고 <로이터> 통신이 기구의 최근 내부 기밀 보고서를 인용해 23일 보도했다.

이란과	이란/NNP+과/JC
시리아가	시리아/NNP+가/JKS
국제원자력기구(IEA)와의	국제원자력기구/NNP+(/SS+IEA/SL+)/SS+와/JKB+의/JKG
협력을	협력/NNG+을/JKO
거부하고	거부/NNG+하/XSV+고/EC
우라늄	우라늄/NNG
농축	농축/NNG
및	및/MAG
비밀	비밀/NNG
핵계획을	핵/NNG+계획/NNG+을/JKO
계속	계속/MAG
추진중이라고	추진/NNG+중/NNB+이/VCP+라고/EC
<로이터>	</SS+로이터/NNP+>/SS
통신이	통신/NNG+이/JKS
기구의	기구/NNG+의/JKG
최근	최근/MAG
내부	내부/NNG
기밀	기밀/NNG
보고서를	보고서/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
23일	23/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.415.2.2
이란은 북한처럼 우라늄 농축을 강행하고 있고, 시리아는 북한과 핵협력이 의심되는 국가이다.

이란은	이란/NNP+은/JX
북한처럼	북한/NNP+처럼/JKB
우라늄	우라늄/NNG
농축을	농축/NNG+을/JKO
강행하고	강행/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
시리아는	시리아/NNP+는/JX
북한과	북한/NNP+과/JKB
핵협력이	핵/NNG+협력/NNG+이/JKS
의심되는	의심/NNG+되/XSV+는/ETM
국가이다.	국가/NNG+이/VCP+다/EF+./SF


