# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.426
metadata : {}


# id : NWRW1800000032.426.1.1
“세대변수가 지역변수 압도할 것”

“세대변수가	“/SS+세대/NNG+변수/NNG+가/JKS
지역변수	지역/NNG+변수/NNG
압도할	압도/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000032.426.2.1
[선택 2012 전문가 조사] 10·26선거때 2040반란 총선서 재현 전망

[선택	[/SS+선택/NNG
2012	2012/SN
전문가	전문가/NNG
조사]	조사/NNG+]/SS
10·26선거때	10/SN+·/SP+26/SN+선거/NNG+때/NNG
2040반란	2040/SN+반란/NNG
총선서	총선/NNG+서/JKB
재현	재현/NNG
전망	전망/NNG


# id : NWRW1800000032.426.3.1
“전국선거는 지역요소 영향받아” 반론도

“전국선거는	“/SS+전국/NNG+선거/NNG+는/JX
지역요소	지역/NNG+요소/NNG
영향받아”	영향/NNG+받/XSV+아/EF+”/SS
반론도	반론/NNG+도/JX


# id : NWRW1800000032.426.4.1
전문가들은 내년 총선과 대선에서 세대변수가 지역변수를 압도할 것으로 내다봤다.

전문가들은	전문가/NNG+들/XSN+은/JX
내년	내년/NNG
총선과	총선/NNG+과/JC
대선에서	대선/NNG+에서/JKB
세대변수가	세대/NNG+변수/NNG+가/JKS
지역변수를	지역/NNG+변수/NNG+를/JKO
압도할	압도/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.4.2
내년 양대 선거의 주요 변수로 ‘세대 변수’를 가장 많이 꼽았다.

내년	내년/NNG
양대	양대/MMA
선거의	선거/NNG+의/JKG
주요	주요/NNG
변수로	변수/NNG+로/JKB
‘세대	‘/SS+세대/NNG
변수’를	변수/NNG+’/SS+를/JKO
가장	가장/MAG
많이	많이/MAG
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.4.3
‘한겨레 총선·대선 전문가 조사’ 30명 가운데 지역 변수가 우세할 것으로 예측하는 이는 한 명도 없었다.

‘한겨레	‘/SS+한겨레/NNP
총선·대선	총선/NNG+·/SP+대선/NNG
전문가	전문가/NNG
조사’	조사/NNG+’/SS
30명	30/SN+명/NNB
가운데	가운데/NNG
지역	지역/NNG
변수가	변수/NNG+가/JKS
우세할	우세/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측하는	예측/NNG+하/XSV+는/ETM
이는	이/NP+는/JX
한	한/MMN
명도	명/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.426.5.1
다수의 전문가는 특히 2040세대의 향방에 주목했다.

다수의	다수/NNG+의/JKG
전문가는	전문가/NNG+는/JX
특히	특히/MAG
2040세대의	2040/SN+세대/NNG+의/JKG
향방에	향방/NNG+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.5.2
목진휴 국민대 교수는 “누가 이들을 잡느냐가 결정적일 것”이라고 진단했다.

목진휴	목진휴/NNP
국민대	국민대/NNP
교수는	교수/NNG+는/JX
“누가	“/SS+누구/NP+가/JKS
이들을	이/NP+들/XSN+을/JKO
잡느냐가	잡/VV+느냐/EF+가/JKS
결정적일	결정/NNG+적/XSN+이/VCP+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.5.3
이미 지난해 6·2 지방선거에서 세대변수가 주요하게 작용했다는 분석도 나왔다.

이미	이미/MAG
지난해	지난해/NNG
6·2	6/SN+·/SP+2/SN
지방선거에서	지방/NNG+선거/NNG+에서/JKB
세대변수가	세대/NNG+변수/NNG+가/JKS
주요하게	주요/NNG+하/XSA+게/EC
작용했다는	작용/NNG+하/XSV+았/EP+다는/ETM
분석도	분석/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.426.5.4
