# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.158
metadata : {}


# id : NWRW1800000054.158.1.1
학종 전형 대학생이 학점 가장 높아

학종	학종/NNG
전형	전형/NNG
대학생이	대학/NNG+생/XSN+이/JKS
학점	학점/NNG
가장	가장/MAG
높아	높/VA+아/EF


# id : NWRW1800000054.158.2.1
학생부종합전형으로 대학에 입학한 학생들이 다른 전형으로 입학한 경우보다 대학 학점을 더 높게 받고, 전과(轉科) 비율이 낮은 등 학교 생활에도 잘 적응하는 것으로 나타났다.

학생부종합전형으로	학생부/NNG+종합/NNG+전형/NNG+으로/JKB
대학에	대학/NNG+에/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
다른	다른/MMD
전형으로	전형/NNG+으로/JKB
경우보다	경우/NNG+보다/JKB
대학	대학/NNG
학점을	학점/NNG+을/JKO
더	더/MAG
높게	높/VA+게/EC
받고,	받/VV+고/EC+,/SP
전과(轉科)	전과/NNG+(/SS+轉科/SH+)/SS
비율이	비율/NNG+이/JKS
낮은	낮/VA+은/ETM
등	등/NNB
학교	학교/NNG
생활에도	생활/NNG+에/JKB+도/JX
잘	잘/MAG
적응하는	적응/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.158.2.2
건국대·대진대·동국대·서울시립대·전북대·한림대 등 6개 대학은 2일 서울 광진구 건국대에서 개최한 '학생부종합전형 운영 성과 및 발전 방향' 콘퍼런스에서 이 같은 조사 결과를 발표했다.

건국대·대진대·동국대·서울시립대·전북대·한림대	건국대/NNP+·/SP+대진대/NNP+·/SP+동국대/NNP+·/SP+서울시립대/NNP+·/SP+전북대/NNP+·/SP+한림대/NNP
등	등/NNB
6개	6/SN+개/NNB
대학은	대학/NNG+은/JX
2일	2/SN+일/NNB
서울	서울/NNP
광진구	광진구/NNP
건국대에서	건국대/NNP+에서/JKB
개최한	개최/NNG+하/XSV+ㄴ/ETM
'학생부종합전형	'/SS+학생부/NNG+종합/NNG+전형/NNG
운영	운영/NNG
성과	성과/NNG
및	및/MAG
발전	발전/NNG
방향'	방향/NNG+'/SS
콘퍼런스에서	콘퍼런스/NNG+에서/JKB
이	이/NP
같은	같/VA+은/ETM
조사	조사/NNG
결과를	결과/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.158.3.1
이 대학들은 우선 6개 대학 재학생 5500여명의 학점을 분석했다.

이	이/MMD
대학들은	대학/NNG+들/XSN+은/JX
우선	우선/MAG
6개	6/SN+개/NNB
대학	대학/NNG
재학생	재학/NNG+생/XSN
5500여명의	5500/SN+여/XSN+명/NNB+의/JKG
학점을	학점/NNG+을/JKO
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.158.3.2
그 결과 학생부종합전형으로 입학한 학생들의 평균 학점이 3.19점으로 가장 높았고, 논술전형(3.10점), 정시전형(3.07점), 교과전형(3.06) 등 순이었다.

그	그/MMD
결과	결과/NNG
학생부종합전형으로	학생부/NNG+종합/NNG+전형/NNG+으로/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
학생들의	학생/NNG+들/XSN+의/JKG
평균	평균/NNG
학점이	학점/NNG+이/JKS
3.19점으로	3/SN+./SP+19/SN+점/NNB+으로/JKB
가장	가장/MAG
높았고,	높/VA+았/EP+고/EC+,/SP
