# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.228
metadata : {}


# id : NWRW1800000037.228.1.1
대한민국 ‘허리’가 얇아졌다

대한민국	대한민국/NNP
‘허리’가	‘/SS+허리/NNG+’/SS+가/JKS
얇아졌다	얇아지/VV+었/EP+다/EF


# id : NWRW1800000037.228.2.1
중산층 20년새 74%→67%… 50만명 저소득층 추락 저소득 60대이상은 5배로 뛰어 40%

중산층	중산/NNG+층/XSN
20년새	20/SN+년/NNB+새/NNG
74%→67%…	74/SN+%/SW+→/SW+67/SN+%/SW+…/SE
50만명	50/SN+만/NR+명/NNB
저소득층	저/XPN+소득/NNG+층/XSN
추락	추락/NNG
저소득	저/XPN+소득/NNG
60대이상은	60/SN+대/NNB+이상/NNG+은/JX
5배로	5/SN+배/NNG+로/JKB
뛰어	뛰/VV+어/EC
40%	40/SN+%/SW


# id : NWRW1800000037.228.3.1
최근 20년간 우리 사회 중산층 중 약 50만여 명이 저소득층으로 전락했다는 연구 결과가 나왔다.

최근	최근/MAG
20년간	20/SN+년/NNB+간/XSN
우리	우리/NP
사회	사회/NNG
중산층	중산/NNG+층/XSN
중	중/NNB
약	약/MMA
50만여	50/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
저소득층으로	저/XPN+소득/NNG+층/XSN+으로/JKB
전락했다는	전락/NNG+하/XSV+았/EP+다는/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.228.4.1
30일 한국보건사회연구원의 ‘중산층 구성의 변화와 소득공제에 의한 중산층 복원 정책의 효과성 평가’ 보고서에 따르면 우리나라 중산층은 1990년 국민 100명 중 75명 수준이었으나, 2010년에는 67명 선까지 감소했다.

30일	30/SN+일/NNB
한국보건사회연구원의	한국보건사회연구원/NNP+의/JKG
‘중산층	‘/SS+중산/NNG+층/XSN
구성의	구성/NNG+의/JKG
변화와	변화/NNG+와/JC
소득공제에	소득/NNG+공제/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
중산층	중산/NNG+층/XSN
복원	복원/NNG
정책의	정책/NNG+의/JKG
효과성	효과/NNG+성/XSN
평가’	평가/NNG+’/SS
보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
우리나라	우리나라/NNG
중산층은	중산/NNG+층/XSN+은/JX
1990년	1990/SN+년/NNB
국민	국민/NNG
100명	100/SN+명/NNB
중	중/NNB
75명	75/SN+명/NNB
수준이었으나,	수준/NNG+이/VCP+었/EP+으나/EC+,/SP
2010년에는	2010/SN+년/NNB+에/JKB+는/JX
67명	67/SN+명/NNB
선까지	선/NNG+까지/JX
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.228.4.2
2010년도 기준으로 중산층은 소득이 월평균 89만∼269만 원대인 가구를 의미한다.

2010년도	2010/SN+년도/NNB
기준으로	기준/NNG+으로/JKB
중산층은	중산/NNG+층/XSN+은/JX
소득이	소득/NNG+이/JKS
월평균	월평균/NNG
89만∼269만	89/SN+만/NR+∼/SO+269/SN+만/NR
원대인	원/NNB+대/XSN+이/VCP+ㄴ/ETM
가구를	가구/NNG+를/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.228.4.3
269만 원 이상은 가구는 고소득층, 89만 원 미만은 저소득층으로 분류된다.

269만	269/SN+만/NR
원	원/NNB
이상은	이상/NNG+은/JX
가구는	가구/NNG+는/JX
고소득층,	고/XPN+소득/NNG+층/XSN+,/SP
89만	89/SN+만/NR
미만은	미만/NNG+은/JX
저소득층으로	저/XPN+소득/NNG+층/XSN+으로/JKB
분류된다.	분류/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.228.5.1
전체 가구 중 중산층은 1990년 74.5%였으나 2000년 70.9%, 2010년 67.3%로 줄었다.

전체	전체/NNG
가구	가구/NNG
중	중/NNB
중산층은	중산/NNG+층/XSN+은/JX
1990년	1990/SN+년/NNB
74.5%였으나	74/SN+./SP+5/SN+%/SW+이/VCP+었/EP+으나/EC
2000년	2000/SN+년/NNB
70.9%,	70/SN+./SP+9/SN+%/SW+,/SP
2010년	2010/SN+년/NNB
67.3%로	67/SN+./SP+3/SN+%/SW+로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.228.5.2
반면 저소득층은 1990년 7.3%에서 2010년 12.2%로, 고소득층은 1990년 18.2%에서 2010년 20.4%로 늘었다.

반면	반면/NNG
저소득층은	저/XPN+소득/NNG+층/XSN+은/JX
1990년	1990/SN+년/NNB
7.3%에서	7/SN+./SP+3/SN+%/SW+에서/JKB
2010년	2010/SN+년/NNB
12.2%로,	12/SN+./SP+2/SN+%/SW+로/JKB+,/SP
고소득층은	고/XPN+소득/NNG+층/XSN+은/JX
18.2%에서	18/SN+./SP+2/SN+%/SW+에서/JKB
20.4%로	20/SN+./SP+4/SN+%/SW+로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.228.6.1
이는 경제난으로 비정규직 종사자, 자영업자 등의 소득이 준 데다 저소득 고령층이 늘어났기 때문인 것으로 풀이된다.

이는	이/NP+는/JX
경제난으로	경제난/NNG+으로/JKB
비정규직	비/XPN+정규직/NNG
종사자,	종사자/NNG+,/SP
자영업자	자영업자/NNG
등의	등/NNB+의/JKG
소득이	소득/NNG+이/JKS
준	줄/VV+ㄴ/ETM
데다	데/NNB+다/JX
저소득	저/XPN+소득/NNG
고령층이	고령/NNG+층/XSN+이/JKS
늘어났기	늘어나/VV+았/EP+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.228.6.2
1990년 저소득층 중 8.0%대였던 60대 이상의 비율은 2010년 40.6%로 늘었다.

1990년	1990/SN+년/NNB
저소득층	저/XPN+소득/NNG+층/XSN
중	중/NNB
8.0%대였던	8/SN+./SP+0/SN+%/SW+대/XSN+이/VCP+었/EP+던/ETM
60대	60/SN+대/NNB
이상의	이상/NNG+의/JKG
비율은	비율/NNG+은/JX
2010년	2010/SN+년/NNB
40.6%로	40/SN+./SP+6/SN+%/SW+로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.228.6.3
또 양극화가 심화되면서 경쟁에서 탈락한 자영업자, 대기업 하청업체의 비정규직 근로자 등의 소득이 줄어든 것도 원인으로 꼽았다.

또	또/MAG
양극화가	양극/NNG+화/XSN+가/JKS
심화되면서	심화/NNG+되/XSV+면서/EC
경쟁에서	경쟁/NNG+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
자영업자,	자영업자/NNG+,/SP
대기업	대/XPN+기업/NNG
하청업체의	하청/NNG+업체/NNG+의/JKG
비정규직	비/XPN+정규직/NNG
근로자	근로자/NNG
등의	등/NNB+의/JKG
소득이	소득/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
것도	것/NNB+도/JX
원인으로	원인/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.228.7.1
김연명 중앙대 사회복지학과 교수는 “노인 인구는 늘어났지만 저소득층 은퇴 노인에 대한 제대로 된 소득 보장이 이뤄지지 않아 나타난 결과로 보인다”며 “노인 빈곤 확산을 막기 위해 최소한의 생활을 보장하는 방향으로 공적 연금제도를 개선해야 한다”고 주문했다.

김연명	김연명/NNP
중앙대	중앙대/NNP
사회복지학과	사회/NNG+복지학과/NNG
교수는	교수/NNG+는/JX
“노인	“/SS+노인/NNG
인구는	인구/NNG+는/JX
늘어났지만	늘어나/VV+았/EP+지만/EC
저소득층	저/XPN+소득/NNG+층/XSN
은퇴	은퇴/NNG
노인에	노인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
소득	소득/NNG
보장이	보장/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않아	않/VX+아/EC
나타난	나타나/VV+ㄴ/ETM
결과로	결과/NNG+로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
빈곤	빈곤/NNG
확산을	확산/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
최소한의	최소한/NNG+의/JKG
생활을	생활/NNG+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
공적	공/NNG+적/XSN
연금제도를	연금/NNG+제도/NNG+를/JKO
개선해야	개선/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


