# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.347
metadata : {}


# id : NWRW1800000038.347.1.1
"北이 NLL남쪽 해역에 미사일 쏘면, 피해 없어도 상응 조치"

"北이	"/SS+北/SH+이/JKS
NLL남쪽	NLL/SL+남쪽/NNG
해역에	해역/NNG+에/JKB
미사일	미사일/NNG
쏘면,	쏘/VV+면/EC+,/SP
피해	피해/NNG
없어도	없/VA+어도/EC
상응	상응/NNG
조치"	조치/NNG+"/SS


# id : NWRW1800000038.347.2.1
청와대 관계자 밝혀 "지금 朴대통령은 단호"

청와대	청와대/NNP
관계자	관계자/NNG
밝혀	밝히/VV+어/EC
"지금	"/SS+지금/MAG
朴대통령은	朴/SH+대통령/NNG+은/JX
단호"	단호/XR+"/SS


# id : NWRW1800000038.347.3.1
청와대는 북한이 서해 북방한계선(NLL)인근의 남쪽 해역에 미사일을 발사할 경우 피해가 발생하지 않더라도 상응하는 조치를 취할 것으로 전해졌다.

청와대는	청와대/NNP+는/JX
북한이	북한/NNP+이/JKS
서해	서해/NNP
북방한계선(NLL)인근의	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS+인근/NNG+의/JKG
남쪽	남쪽/NNG
해역에	해역/NNG+에/JKB
미사일을	미사일/NNG+을/JKO
발사할	발사/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
피해가	피해/NNG+가/JKS
발생하지	발생/NNG+하/XSV+지/EC
않더라도	않/VX+더라도/EC
상응하는	상응/NNG+하/XSV+는/ETM
조치를	조치/NNG+를/JKO
취할	취하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.347.4.1
청와대 관계자는 10일 "북한이 무력 도발을 일으킨다면 서해 NLL 일대가 될 가능성이 커 보인다"며 "연평도 포격과 같은 도발이라면 당연히 원점 타격을 할 것이고, NLL인근의 남쪽 해상에 미사일을 발사한다면 희생자가 발생하지 않아도 그에 걸맞은 조치를 취할 것"이라고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
10일	10/SN+일/NNB
"북한이	"/SS+북한/NNP+이/JKS
무력	무력/NNG
도발을	도발/NNG+을/JKO
일으킨다면	일으키/VV+ㄴ다면/EC
서해	서해/NNP
NLL	NLL/SL
일대가	일대/NNG+가/JKS
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커	크/VA+어/EC
보인다"며	보이/VV+ㄴ다/EF+"/SS+며/EC
"연평도	"/SS+연평도/NNP
포격과	포격/NNG+과/JKB
같은	같/VA+은/ETM
도발이라면	도발/NNG+이/VCP+라면/EC
당연히	당연히/MAG
원점	원점/NNG
타격을	타격/NNG+을/JKO
할	하/VV+ㄹ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
NLL인근의	NLL/SL+인근/NNG+의/JKG
남쪽	남쪽/NNG
해상에	해상/NNG+에/JKB
미사일을	미사일/NNG+을/JKO
발사한다면	발사/NNG+하/XSV+ㄴ다면/EC
희생자가	희생자/NNG+가/JKS
발생하지	발생/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
그에	그/NP+에/JKB
걸맞은	걸맞/VA+은/ETM
조치를	조치/NNG+를/JKO
취할	취하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.347.5.1
이 관계자는 "이전 정부 때는 전면전 가능성 때문에 연평도 도발에 대해서도 북한 해안포 진지에 대한 정밀 타격(공습)을 못 했지만 박근혜 대통령은 다를 것"이라며 "상황이 발생하면 다시 한 번 결단을 해야겠지만 지금 박 대통령은 단호하다"고 말했다.

이	이/MMD
관계자는	관계자/NNG+는/JX
"이전	"/SS+이전/NNG
정부	정부/NNG
때는	때/NNG+는/JX
전면전	전면전/NNG
가능성	가능/NNG+성/XSN
때문에	때문/NNB+에/JKB
연평도	연평도/NNP
도발에	도발/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
북한	북한/NNP
해안포	해안포/NNG
진지에	진지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정밀	정밀/NNG
타격(공습)을	타격/NNG+(/SS+공습/NNG+)/SS+을/JKO
못	못/MAG
했지만	하/VV+았/EP+지만/EC
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
다를	다르/VA+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"상황이	"/SS+상황/NNG+이/JKS
발생하면	발생/NNG+하/XSV+면/EC
다시	다시/MAG
한	한/MMN
번	번/NNB
결단을	결단/NNG+을/JKO
해야겠지만	하/VV+아야/EC+하/VX+겠/EP+지만/EC
지금	지금/MAG
박	박/NNP
단호하다"고	단호하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.347.6.1
북한은 현재 1000문이 넘는 해안포 외에도 샘릿·실크웜 지대함 미사일을 NLL 북쪽 해안가에 다수 배치해 놓고 있다.

북한은	북한/NNP+은/JX
현재	현재/MAG
1000문이	1000/SN+문/NNB+이/JKS
넘는	넘/VV+는/ETM
해안포	해안포/NNG
외에도	외/NNB+에/JKB+도/JX
샘릿·실크웜	샘릿/NNP+·/SP+실크웜/NNP
지대함	지대함/NNG
미사일을	미사일/NNG+을/JKO
NLL	NLL/SL
북쪽	북쪽/NNG
해안가에	해안가/NNG+에/JKB
다수	다수/NNG
배치해	배치/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.347.6.2
군사 전문가들은 "현재로선 해안포 도발 가능성이 크다"면서도 "북한이 NLL 남쪽으로 미사일을 발사할 경우 해안가에 배치된 지대함 미사일이 사용될 것"이라고 했다.

군사	군사/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
"현재로선	"/SS+현재/NNG+로서/JKB+ㄴ/JX
해안포	해안포/NNG
도발	도발/NNG
가능성이	가능/NNG+성/XSN+이/JKS
크다"면서도	크/VA+다/EF+"/SS+면서/EC+도/JX
"북한이	"/SS+북한/NNP+이/JKS
NLL	NLL/SL
남쪽으로	남쪽/NNG+으로/JKB
미사일을	미사일/NNG+을/JKO
발사할	발사/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
해안가에	해안가/NNG+에/JKB
배치된	배치/NNG+되/XSV+ㄴ/ETM
지대함	지대함/NNG
미사일이	미사일/NNG+이/JKS
사용될	사용/NNG+되/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.347.7.1
청와대 관계자는 "과거 북한은 군사적 긴장도를 높이기 위해 NLL 남쪽 해상에 해안포 사격을 한 적은 있다"며 "하지만 미사일 발사는 앞으로도 우리 함정에 심각한 위협이 되기 때문에 피해가 없더라도 대응을 할 것"이라고 했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"과거	"/SS+과거/NNG
북한은	북한/NNP+은/JX
군사적	군사/NNG+적/XSN
긴장도를	긴장도/NNG+를/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
NLL	NLL/SL
남쪽	남쪽/NNG
해상에	해상/NNG+에/JKB
해안포	해안포/NNG
사격을	사격/NNG+을/JKO
한	하/VV+ㄴ/ETM
적은	적/NNB+은/JX
있다"며	있/VA+다/EF+"/SS+며/EC
"하지만	"/SS+하지만/MAJ
미사일	미사일/NNG
발사는	발사/NNG+는/JX
앞으로도	앞/NNG+으로/JKB+도/JX
우리	우리/NP
함정에	함정/NNG+에/JKB
심각한	심각하/VA+ㄴ/ETM
위협이	위협/NNG+이/JKC
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
피해가	피해/NNG+가/JKS
없더라도	없/VA+더라도/EC
대응을	대응/NNG+을/JKO
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


