# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.116
metadata : {}


# id : NWRW1800000040.116.1.1
새차 주행중 시동 꺼져도 교환 꿈도 꾸지마?

새차	새/MMA+차/NNG
주행중	주행/NNG+중/NNB
시동	시동/NNG
꺼져도	꺼지/VV+어도/EC
교환	교환/NNG
꿈도	꿈/NNG+도/JX
꾸지마?	꾸/VV+지/EC+말/VX+아/EF+?/SF


# id : NWRW1800000040.116.2.1
‘중대결함’ 명시 안돼 규정 있으나마나

‘중대결함’	‘/SS+중대/NNG+결함/NNG+’/SS
명시	명시/NNG
안돼	안/MAG+되/XSV+어/EC
규정	규정/NNG
있으나마나	있/VA+으나마/EC+나/JX


# id : NWRW1800000040.116.3.1
강제성 없어 결함차 교환·환불 5%뿐

강제성	강제/NNG+성/XSN
없어	없/VA+어/EC
결함차	결함/NNG+차/NNG
교환·환불	교환/NNG+·/SP+환불/NNG
5%뿐	5/SN+%/SW+뿐/JX


# id : NWRW1800000040.116.4.1
지난해 12월 대형 승용차를 구입한 이아무개(남)씨는 구입 다음날부터 차량 이상 증상으로 시달렸다.

지난해	지난해/NNG
12월	12/SN+월/NNB
대형	대형/NNG
승용차를	승용차/NNG+를/JKO
구입한	구입/NNG+하/XSV+ㄴ/ETM
이아무개(남)씨는	이/NNP+아무개/NP+(/SS+남/NNP+)/SS+씨/NNB+는/JX
구입	구입/NNG
다음날부터	다음날/NNG+부터/JX
차량	차량/NNG
이상	이상/NNG
증상으로	증상/NNG+으로/JKB
시달렸다.	시달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.116.4.2
차량 제어장치들이 오작동을 일으키다가 급기야 고속도로 주행 중 전조등과 계기판이 꺼지는 바람에 큰 사고를 당할 뻔했다.

차량	차량/NNG
제어장치들이	제어/NNG+장치/NNG+들/XSN+이/JKS
오작동을	오작동/NNG+을/JKO
일으키다가	일으키/VV+다가/EC
급기야	급기야/MAG
고속도로	고속/NNG+도로/NNG
주행	주행/NNG
중	중/NNB
전조등과	전조등/NNG+과/JC
계기판이	계기판/NNG+이/JKS
꺼지는	꺼지/VV+는/ETM
바람에	바람/NNB+에/JKB
큰	크/VA+ㄴ/ETM
사고를	사고/NNG+를/JKO
당할	당하/VV+ㄹ/ETM
뻔했다.	뻔/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000040.116.4.3
휴게소에 들러 차량을 점검한 뒤 시동을 걸자 이번에는 아르피엠(RPM)이 2500 넘게 치솟고 심한 소음이 발생했다.

휴게소에	휴게소/NNG+에/JKB
들러	들르/VV+어/EC
차량을	차량/NNG+을/JKO
점검한	점검/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
시동을	시동/NNG+을/JKO
걸자	걸/VV+자/EC
이번에는	이번/NNG+에/JKB+는/JX
아르피엠(RPM)이	아르피엠/NNG+(/SS+RPM/SL+)/SS+이/JKS
2500	2500/SN
넘게	넘/VV+게/EC
치솟고	치솟/VV+고/EC
심한	심하/VA+ㄴ/ETM
소음이	소음/NNG+이/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.116.4.4
5차례 수리를 받았지만 증상이 반복되자 이씨는 차량 교환을 요구했다.

5차례	5/SN+차례/NNG
수리를	수리/NNG+를/JKO
받았지만	받/VV+았/EP+지만/EC
증상이	증상/NNG+이/JKS
반복되자	반복/NNG+되/XSV+자/EC
이씨는	이/NNP+씨/NNB+는/JX
차량	차량/NNG
교환을	교환/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.116.4.5
하지만 제조사는 “수리는 가능하지만 교환은 안 된다”고 고개를 저었다.

하지만	하지만/MAJ
제조사는	제조사/NNG+는/JX
“수리는	“/SS+수리/NNG+는/JX
가능하지만	가능/NNG+하/XSA+지만/EC
교환은	교환/NNG+은/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
고개를	고개/NNG+를/JKO
저었다.	젓/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.116.5.1
소비자 문제 연구소 ‘컨슈머리서치’ 조사 결과, 이씨 경우처럼 신차에 중대한 결함이 있어도 교환 및 환불 규정이 모호해 소비자 안전에 큰 구멍이 뚫린 것으로 나타났다.

소비자	소비자/NNG
문제	문제/NNG
연구소	연구소/NNG
‘컨슈머리서치’	‘/SS+컨슈머/NNG+리서치/NNG+’/SS
조사	조사/NNG
결과,	결과/NNG+,/SP
이씨	이/NNP+씨/NNB
경우처럼	경우/NNG+처럼/JKB
신차에	신차/NNG+에/JKB
중대한	중대/NNG+하/XSA+ㄴ/ETM
결함이	결함/NNG+이/JKS
있어도	있/VA+어도/EC
교환	교환/NNG
및	및/MAG
환불	환불/NNG
규정이	규정/NNG+이/JKS
모호해	모호하/VA+아/EC
안전에	안전/NNG+에/JKB
큰	크/VA+ㄴ/ETM
구멍이	구멍/NNG+이/JKS
뚫린	뚫리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.116.6.1
컨슈머리서치는 20일 지난해 접수된 자동차 상담 제보 1252건을 분석한 결과, 10.4%인 131건이 신차와 관련된 불만이었다고 밝혔다.

컨슈머리서치는	컨슈머/NNG+리서치/NNG+는/JX
20일	20/SN+일/NNB
지난해	지난해/NNG
접수된	접수/NNG+되/XSV+ㄴ/ETM
자동차	자동차/NNG
상담	상담/NNG
제보	제보/NNG
1252건을	1252/SN+건/NNB+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
10.4%인	10/SN+./SP+4/SN+%/SW+이/VCP+ㄴ/ETM
131건이	131/SN+건/NNB+이/JKS
신차와	신차/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
불만이었다고	불만/NNG+이/VCP+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.116.6.2
주된 내용을 보면, 도로 주행 중 시동이 꺼지거나 걸리지 않는 경우, 주행 중 핸들 잠김, 치솟는 아르피엠(RPM)과 소음 등이었다.

주된	주/NNG+되/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
도로	도로/NNG
주행	주행/NNG
중	중/NNB
시동이	시동/NNG+이/JKS
꺼지거나	꺼지/VV+거나/EC
걸리지	걸리/VV+지/EC
않는	않/VX+는/ETM
