# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.18
metadata : {}


# id : NWRW1800000026.18.1.1
[아이티 지진 참사] 초등생 400명… 해군 함대 장병들… 국내 온정의 손길 이어져;개인 4957명 등 5억여원

[아이티	[/SS+아이티/NNP
지진	지진/NNG
참사]	참사/NNG+]/SS
초등생	초등/NNG+생/XSN
400명…	400/SN+명/NNB+…/SE
해군	해군/NNG
함대	함대/NNG
장병들…	장병/NNG+들/XSN+…/SE
국내	국내/NNG
온정의	온정/NNG+의/JKG
손길	손길/NNG
이어져;개인	이어지/VV+어/EC+;/SW+개인/NNG
4957명	4957/SN+명/NNB
등	등/NNB
5억여원	5/SN+억/NR+여/XSN+원/NNB


# id : NWRW1800000026.18.2.1
아이티를 돕는 온정의 손길이 주말에도 이어졌다.

아이티를	아이티/NNP+를/JKO
돕는	돕/VV+는/ETM
온정의	온정/NNG+의/JKG
손길이	손길/NNG+이/JKS
주말에도	주말/NNG+에/JKB+도/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.18.2.2
조선일보와 국제구호개발 NGO 굿네이버스가 벌이고 있는 아이티 돕기 운동에 17일(오후 9시)까지 개인 4957명과 기업 4곳이 동참해 5억703만원가량의 금품을 기부했다.

조선일보와	조선일보/NNP+와/JC
국제구호개발	국제/NNG+구호/NNG+개발/NNG
NGO	NGO/SL
굿네이버스가	굿네이버스/NNP+가/JKS
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
아이티	아이티/NNP
돕기	돕/VV+기/ETN
운동에	운동/NNG+에/JKB
17일(오후	17/SN+일/NNB+(/SS+오후/NNG
9시)까지	9/SN+시/NNB+)/SS+까지/JX
개인	개인/NNG
4957명과	4957/SN+명/NNB+과/JC
기업	기업/NNG
4곳이	4/SN+곳/NNG+이/JKS
동참해	동참/NNG+하/XSV+아/EC
5억703만원가량의	5/SN+억/NR+703/SN+만/NR+원/NNB+가량/XSN+의/JKG
금품을	금품/NNG+을/JKO
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.18.3.1
서울 서초구 'S.E.A 영어학원'은 유치부·초등학교 원생 400여명이 18일부터 21일까지 모금 운동을 벌인다.

서울	서울/NNP
서초구	서초구/NNP
'S.E.A	'/SS+S/SL+./SP+E/SL+./SP+A/SL
영어학원'은	영어/NNP+학원/NNG+'/SS+은/JX
유치부·초등학교	유치부/NNG+·/SP+초등학교/NNG
원생	원생/NNG
400여명이	400/SN+여/XSN+명/NNB+이/JKS
18일부터	18/SN+일/NNB+부터/JX
21일까지	21/SN+일/NNB+까지/JX
모금	모금/NNG
운동을	운동/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.18.3.2
이 학원은 "원생 어린이들이 먼저 '아이티 친구들을 돕고 싶다'고 나섰고 학부모들도 찬성했다"고 했다.

이	이/MMD
학원은	학원/NNG+은/JX
"원생	"/SS+원생/NNG
어린이들이	어린이/NNG+들/XSN+이/JKS
먼저	먼저/MAG
'아이티	'/SS+아이티/NNP
친구들을	친구/NNG+들/XSN+을/JKO
돕고	돕/VV+고/EC
싶다'고	싶/VX+다/EF+'/SS+고/JKQ
나섰고	나서/VV+었/EP+고/EC
학부모들도	학부모/NNG+들/XSN+도/JX
찬성했다"고	찬성/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.18.3.3
해군 제3함대 강릉함 소속 대원 106명은 주말 아이티 돕기 모금운동을 벌여 18일 전달한다.

해군	해군/NNG
제3함대	제/XPN+3/SN+함대/NNG
강릉함	강릉함/NNP
소속	소속/NNG
대원	대원/NNG
106명은	106/SN+명/NNB+은/JX
주말	주말/NNG
아이티	아이티/NNP
돕기	돕/VV+기/ETN
모금운동을	모금/NNG+운동/NNG+을/JKO
벌여	벌이/VV+어/EC
18일	18/SN+일/NNB
전달한다.	전달/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.18.4.1
코오롱 그룹은 거처를 잃은 이재민들을 위해 1억8000만원 상당의 텐트 150여동(7~8인용)을 긴급 지원한다.

코오롱	코오롱/NNP
그룹은	그룹/NNG+은/JX
거처를	거처/NNG+를/JKO
잃은	잃/VV+은/ETM
이재민들을	이재민/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
1억8000만원	1/SN+억/NR+8000/SN+만/NR+원/NNB
