# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.320
metadata : {}


# id : NWRW1800000033.320.1.1
[4·11총선 D-11]오리무중 표심 30%, 與로?

[4·11총선	[/SS+4/SN+·/SP+11/SN+총선/NNG
D-11]오리무중	D/SL+-/SO+11/SN+]/SS+오리무중/NNG
표심	표심/NNG
30%,	30/SN+%/SW+,/SP
與로?	與/SH+로/JKB+?/SF


# id : NWRW1800000033.320.1.2
野로?

野로?	野/SH+로/JKB+?/SF


# id : NWRW1800000033.320.2.1
수도권 2040 부동층 총선판세 결정적 변수

수도권	수도/NNG+권/XSN
2040	2040/SN
부동층	부동/NNG+층/XSN
총선판세	총선/NNG+판세/NNG
결정적	결정/NNG+적/XSN
변수	변수/NNG


# id : NWRW1800000033.320.3.1
4·11총선이 12일 앞으로 다가온 30일 부동층은 30% 안팎에 머물면서 총선 판세는 여전히 안갯속이다.

4·11총선이	4/SN+·/SP+11/SN+총선/NNG+이/JKS
12일	12/SN+일/NNB
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
30일	30/SN+일/NNB
부동층은	부동/NNG+층/XSN+은/JX
30%	30/SN+%/SW
안팎에	안팎/NNG+에/JKB
머물면서	머물/VV+면서/EC
총선	총선/NNG
판세는	판세/NNG+는/JX
여전히	여전히/MAG
안갯속이다.	안갯속/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.320.3.2
이들 부동층의 표심이 어디로 움직이느냐에 따라 접전지역 수십 곳의 당락이 결정될 것으로 보여 여야가 촉각을 곤두세우고 있다.

이들	이/NP+들/XSN
부동층의	부동/NNG+층/XSN+의/JKG
표심이	표심/NNG+이/JKS
어디로	어디/NP+로/JKB
움직이느냐에	움직이/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
접전지역	접전/NNG+지역/NNG
수십	수십/NR
곳의	곳/NNG+의/JKG
당락이	당락/NNG+이/JKS
결정될	결정/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보여	보이/VV+어/EC
여야가	여야/NNG+가/JKS
촉각을	촉각/NNG+을/JKO
곤두세우고	곤두세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.320.3.3
동아일보와 리서치앤리서치(R&R)의 28일 여론조사에서 부동층은 26.8%로 나왔다.

동아일보와	동아일보/NNP+와/JC
리서치앤리서치(R&R)의	리서치앤리서치/NNP+(/SS+R/SL+&/SW+R/SL+)/SS+의/JKG
28일	28/SN+일/NNB
여론조사에서	여론/NNG+조사/NNG+에서/JKB
부동층은	부동/NNG+층/XSN+은/JX
26.8%로	26/SN+./SP+8/SN+%/SW+로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.320.4.1
부동층이 30% 안팎에 머무는 이유는 다양하다.

부동층이	부동/NNG+층/XSN+이/JKS
30%	30/SN+%/SW
안팎에	안팎/NNG+에/JKB
머무는	머물/VV+는/ETM
이유는	이유/NNG+는/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.320.4.2
