# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.153
metadata : {}


# id : NWRW1800000038.153.1.1
한부모·祖孫가정 소년범, 가족없는 아이들보다 재범률 낮아

한부모·祖孫가정	한/MMN+부모/NNG+·/SP+祖孫/SH+가정/NNG
소년범,	소년범/NNG+,/SP
가족없는	가족/NNG+없/VA+는/ETM
아이들보다	아이/NNG+들/XSN+보다/JKB
재범률	재범/NNG+률/XSN
낮아	낮/VA+아/EF


# id : NWRW1800000038.153.2.1
서울소년원 관계자는 "소년원에 들어오는 아이들은 대체로 비슷하지만, 나갈 때 모습은 저마다 다르다"고 말했다.

서울소년원	서울소년원/NNP
관계자는	관계자/NNG+는/JX
"소년원에	"/SS+소년원/NNG+에/JKB
들어오는	들어오/VV+는/ETM
아이들은	아이/NNG+들/XSN+은/JX
대체로	대체로/MAG
비슷하지만,	비슷하/VA+지만/EC+,/SP
나갈	나가/VV+ㄹ/ETM
때	때/NNG
모습은	모습/NNG+은/JX
저마다	저마다/MAG
다르다"고	다르/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.153.2.2
그는 "여러 요인이 있겠지만 그중 하나는 아이들에게 지속적으로 관심을 가져 주는 가족이 있느냐 없느냐"라고 말했다.

그는	그/NP+는/JX
"여러	"/SS+여러/MMN
요인이	요인/NNG+이/JKS
있겠지만	있/VA+겠/EP+지만/EC
그중	그중/NNG
하나는	하나/NR+는/JX
아이들에게	아이/NNG+들/XSN+에게/JKB
지속적으로	지속/NNG+적/XSN+으로/JKB
관심을	관심/NNG+을/JKO
가져	가지/VV+어/EC
주는	주/VX+는/ETM
가족이	가족/NNG+이/JKS
있느냐	있/VA+느냐/EF
없느냐"라고	없/VA+느냐/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.153.3.1
소년범의 가족 상당수는 겉으로 보기에 이미 해체되고 붕괴한 가족이 많다.

소년범의	소년범/NNG+의/JKG
가족	가족/NNG
상당수는	상당수/NNG+는/JX
겉으로	겉/NNG+으로/JKB
보기에	보/VV+기에/EC
이미	이미/MAG
해체되고	해체/NNG+되/XSV+고/EC
붕괴한	붕괴/NNG+하/XSV+ㄴ/ETM
가족이	가족/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.153.3.2
그러나 미성숙하고, 정서적으로도 혼란스러운 아이들에게 가족은 그 존재 자체로 큰 영향력을 갖는다고 전문가들은 말한다.

그러나	그러나/MAJ
미성숙하고,	미/XPN+성숙/NNG+하/XSA+고/EC+,/SP
정서적으로도	정서/NNG+적/XSN+으로/JKB+도/JX
혼란스러운	혼란/NNG+스럽/XSA+ㄴ/ETM
아이들에게	아이/NNG+들/XSN+에게/JKB
가족은	가족/NNG+은/JX
그	그/MMD
존재	존재/NNG
자체로	자체/NNG+로/JKB
큰	크/VA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
갖는다고	갖/VV+는다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.153.3.3
대구소년원의 한 상담사는 "여기 있는 학생 70~80%의 가정이 한 부모이거나 조손(祖孫) 가정이지만, 그래도 가족이 있는 아이들의 재범률이 가족 없는 아이들보다 낮다"고 말했다.

대구소년원의	대구소년원/NNP+의/JKG
한	한/MMN
상담사는	상담사/NNG+는/JX
"여기	"/SS+여기/NP
있는	있/VA+는/ETM
학생	학생/NNG
70~80%의	70/SN+~/SO+80/SN+%/SW+의/JKG
가정이	가정/NNG+이/JKS
부모이거나	부모/NNG+이/VCP+거나/EC
조손(祖孫)	조손/NNG+(/SS+祖孫/SH+)/SS
가정이지만,	가정/NNG+이/VCP+지만/EC+,/SP
그래도	그러/VV+어도/EC
가족이	가족/NNG+이/JKS
아이들의	아이/NNG+들/XSN+의/JKG
재범률이	재범/NNG+률/XSN+이/JKS
가족	가족/NNG
없는	없/VA+는/ETM
아이들보다	아이/NNG+들/XSN+보다/JKB
낮다"고	낮/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.153.3.4
가족이 편지를 보내고 면회도 오며 관심을 가져 주는 아이는 교화가 수월하고, 스스로 변하려는 의지도 갖는다는 것이다.

가족이	가족/NNG+이/JKS
편지를	편지/NNG+를/JKO
보내고	보내/VV+고/EC
면회도	면회/NNG+도/JX
오며	오/VV+며/EC
관심을	관심/NNG+을/JKO
가져	가지/VV+어/EC
주는	주/VX+는/ETM
아이는	아이/NNG+는/JX
교화가	교화/NNG+가/JKS
수월하고,	수월하/VA+고/EC+,/SP
스스로	스스로/MAG
변하려는	변하/VV+려는/ETM
의지도	의지/NNG+도/JX
갖는다는	갖/VV+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.153.4.1
청소년 상담복지개발원 전연진 상담 교수는 "가족이 없는 청소년은 또래들과 유대감을 갖기 위해 집단화되어 범죄를 저지르는 특성이 있다"며 "그렇기 때문에 성장기 동안 지속적으로 관심을 가져 주고 사회와 유대 관계를 맺도록 해야 한다"고 말했다.

청소년	청소년/NNG
상담복지개발원	상담/NNG+복지/NNG+개발원/NNG
