# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.291
metadata : {}


# id : NWRW1800000029.291.1.1
[라커룸]감독 믿음 보답한 ‘이대호의 한방’

[라커룸]감독	[/SS+라커룸/NNG+]/SS+감독/NNG
믿음	믿음/NNG
보답한	보답/NNG+하/XSV+ㄴ/ETM
‘이대호의	‘/SS+이대호/NNP+의/JKG
한방’	한/MMN+방/NNB+’/SS


# id : NWRW1800000029.291.2.1
양승호 롯데 감독의 ‘믿음의 야구’가 결국 답을 얻었다.

양승호	양승호/NNP
롯데	롯데/NNP
감독의	감독/NNG+의/JKG
‘믿음의	‘/SS+믿음/NNG+의/JKG
야구’가	야구/NNG+’/SS+가/JKS
결국	결국/MAG
답을	답/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.291.3.1
양 감독은 20일 플레이오프 4차전을 앞두고 “중심 타순 조정이 없느냐”는 기자들의 질문에 “우리는 죽으나 사나 이대호입니다”라며 이대호에 대한 강한 믿음을 나타냈다.

양	양/NNP
감독은	감독/NNG+은/JX
20일	20/SN+일/NNB
플레이오프	플레이오프/NNG
4차전을	4/SN+차전/NNB+을/JKO
앞두고	앞두/VV+고/EC
“중심	“/SS+중심/NNG
타순	타순/NNG
조정이	조정/NNG+이/JKS
없느냐”는	없/VA+느냐/EF+”/SS+는/ETM
기자들의	기자/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
“우리는	“/SS+우리/NP+는/JX
죽으나	죽/VV+으나/EC
사나	살/VV+나/EC
이대호입니다”라며	이대호/NNP+이/VCP+ㅂ니다/EF+”/SS+라며/EC
이대호에	이대호/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
믿음을	믿음/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.291.3.2
