# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.198
metadata : {}


# id : NWRW1800000024.198.1.1
보 설치·바닥 준설로 뱃길 만들기 “위장된 운하사업”

보	보/NNG
설치·바닥	설치/NNG+·/SP+바닥/NNG
준설로	준설/NNG+로/JKB
뱃길	뱃길/NNG
만들기	만들/VV+기/ETN
“위장된	“/SS+위장/NNG+되/XSV+ㄴ/ETM
운하사업”	운하/NNG+사업/NNG+”/SS


# id : NWRW1800000024.198.2.1
정부의 4대강 살리기 사업의 마스터플랜이 확정돼 8일 공개됐음에도 이를 대운하 사업의 싹으로 보는 시각은 잦아들지 않고 있다.

정부의	정부/NNG+의/JKG
4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업의	사업/NNG+의/JKG
마스터플랜이	마스터플랜/NNG+이/JKS
확정돼	확정/NNG+되/XSV+어/EC
8일	8/SN+일/NNB
공개됐음에도	공개/NNG+되/XSV+었/EP+음/ETN+에/JKB+도/JX
이를	이/NP+를/JKO
대운하	대/XPN+운하/NNG
싹으로	싹/NNG+으로/JKB
보는	보/VV+는/ETM
시각은	시각/NNG+은/JX
잦아들지	잦아들/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.198.2.2
4대강 사업의 보(댐)는 간단한 설계 변경으로 대운하의 갑문으로 둔갑할 수 있다는 점에서다.

4대강	4/SN+대/NNG+강/NNG
사업의	사업/NNG+의/JKG
보(댐)는	보/NNG+(/SS+댐/NNG+)/SS+는/JX
간단한	간단하/VA+ㄴ/ETM
설계	설계/NNG
변경으로	변경/NNG+으로/JKB
대운하의	대/XPN+운하/NNG+의/JKG
갑문으로	갑문/NNG+으로/JKB
둔갑할	둔갑/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서다.	점/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000024.198.2.3
또 강 바닥 준설은 운하의 뱃길을 만드는 것이란 분석도 집중 제기되고 있다.

또	또/MAG
강	강/NNG
바닥	바닥/NNG
준설은	준설/NNG+은/JX
운하의	운하/NNG+의/JKG
뱃길을	뱃길/NNG+을/JKO
만드는	만들/VV+는/ETM
것이란	것/NNB+이/VCP+란/ETM
분석도	분석/NNG+도/JX
집중	집중/NNG
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.198.2.4
심명필 4대강살리기추진본부장이 이날 기자브리핑에서 “4대강 살리기 사업은 물 부족과 홍수 피해를 근본적으로 해결하는 것으로 운하와는 관계가 없다”고 거듭 밝혔지만, 관련 시민·환경단체와 전문가들은 대운하 사업과 연결지어 해석하고 있다.

심명필	심명필/NNP
4대강살리기추진본부장이	4/SN+대/NNG+강/NNG+살리/VV+기/ETN+추진/NNG+본부장/NNG+이/JKS
이날	이날/NNG
기자브리핑에서	기자/NNG+브리핑/NNG+에서/JKB
“4대강	“/SS+4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업은	사업/NNG+은/JX
물	물/NNG
부족과	부족/NNG+과/JC
홍수	홍수/NNG
피해를	피해/NNG+를/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
해결하는	해결/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
운하와는	운하/NNG+와/JKB+는/JX
관계가	관계/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
거듭	거듭/MAG
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
관련	관련/NNG
시민·환경단체와	시민/NNG+·/SP+환경/NNG+단체/NNG+와/JC
전문가들은	전문가/NNG+들/XSN+은/JX
대운하	대/XPN+운하/NNG
사업과	사업/NNG+과/JKB
연결지어	연결/NNG+짓/VV+어/EC
해석하고	해석/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.198.2.5
■ “4대강 정비 사업은 운하의 1단계”=운하가 아니라는 정부의 거듭된 발표와 해명에도 불구하고 환경단체와 전문가들의 운하 주장은 더욱 거세지고 있다.

■	■/SW
“4대강	“/SS+4/SN+대/NNG+강/NNG
정비	정비/NNG
사업은	사업/NNG+은/JX
운하의	운하/NNG+의/JKG
1단계”=운하가	1/SN+단계/NNG+”/SS+=/SW+운하/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
정부의	정부/NNG+의/JKG
거듭된	거듭/MAG+되/XSV+ㄴ/ETM
발표와	발표/NNG+와/JC
해명에도	해명/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
환경단체와	환경/NNG+단체/NNG+와/JC
전문가들의	전문가/NNG+들/XSN+의/JKG
운하	운하/NNG
주장은	주장/NNG+은/JX
더욱	더욱/MAG
거세지고	거세/VA+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.198.2.6
박창근 관동대 교수(토목과)는 “전체적으로 봐서 4대강 정비사업은 운하의 1단계로 단정할 수 있다”며 “가동보를 갑문으로 전환하는 건 그렇게 힘든 게 아니다.

박창근	박창근/NNP
관동대	관동대/NNP
교수(토목과)는	교수/NNG+(/SS+토목과/NNG+)/SS+는/JX
“전체적으로	“/SS+전체/NNG+적/XSN+으로/JKB
봐서	보/VV+아서/EC
4대강	4/SN+대/NNG+강/NNG
정비사업은	정비/NNG+사업/NNG+은/JX
운하의	운하/NNG+의/JKG
1단계로	1/SN+단계/NNG+로/JKB
단정할	단정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“가동보를	“/SS+가동보/NNG+를/JKO
갑문으로	갑문/NNG+으로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
