# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.336
metadata : {}


# id : NWRW1800000044.336.1.1
민주 지방의원후보 선출방식 진통‘100% 당원투표’ - ‘100% 시민경선’

민주	민주/NNP
지방의원후보	지방/NNG+의원/NNG+후보/NNG
선출방식	선출/NNG+방식/NNG
진통‘100%	진통/NNG+‘/SS+100/SN+%/SW
당원투표’	당원/NNG+투표/NNG+’/SS
-	-/SO
‘100%	‘/SS+100/SN+%/SW
시민경선’	시민/NNG+경선/NNG+’/SS


# id : NWRW1800000044.336.2.1
[한겨레] 김한길 대표쪽 “당원투표만”

[한겨레]	[/SS+한겨레/NNP+]/SS
김한길	김한길/NNP
대표쪽	대표/NNG+쪽/NNB
“당원투표만”	“/SS+당원/NNG+투표/NNG+만/JX+”/SS


# id : NWRW1800000044.336.3.1
의원 35명 “시민이 선출” 성명

의원	의원/NNG
35명	35/SN+명/NNB
“시민이	“/SS+시민/NNG+이/JKS
선출”	선출/NNG+”/SS
성명	성명/NNG


# id : NWRW1800000044.336.4.1
김한길 민주당 대표가 6·4 지방선거에서 광역·기초의원 후보자를 100% 당원투표로 뽑는 당원 중심 상향식 공천을 실시하는 쪽으로 가닥을 잡았다.

김한길	김한길/NNP
민주당	민주당/NNP
대표가	대표/NNG+가/JKS
6·4	6/SN+·/SP+4/SN
지방선거에서	지방/NNG+선거/NNG+에서/JKB
광역·기초의원	광역/NNG+·/SP+기초/NNG+의원/NNG
후보자를	후보자/NNG+를/JKO
100%	100/SN+%/SW
당원투표로	당원/NNG+투표/NNG+로/JKB
뽑는	뽑/VV+는/ETM
당원	당원/NNG
중심	중심/NNG
상향식	상향식/NNG
공천을	공천/NNG+을/JKO
실시하는	실시/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
가닥을	가닥/NNG+을/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.336.4.2
그러나 당 일각에서 시민참여 경선을 요구하고 있어 당론 확정 과정에서 진통이 예상된다.

그러나	그러나/MAJ
당	당/NNG
일각에서	일각/NNG+에서/JKB
시민참여	시민/NNG+참여/NNG
경선을	경선/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있어	있/VX+어/EC
당론	당론/NNG
확정	확정/NNG
과정에서	과정/NNG+에서/JKB
진통이	진통/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.336.5.1
민주당 전략기획위원장인 최원식 의원은 14일 <한겨레>와 한 통화에서 “광역자치단체장 후보선출은 당원투표와 여론조사 등을 포함한 국민참여 투표를 50%씩 반영하는 것으로 하고, 광역의원 후보는 국민들이 잘 모르니 당원 투표만 해서 선출하는 쪽으로 의견을 모았다”고 밝혔다.

민주당	민주당/NNP
전략기획위원장인	전략/NNG+기획/NNG+위원장/NNG+이/VCP+ㄴ/ETM
최원식	최원식/NNP
의원은	의원/NNG+은/JX
14일	14/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
통화에서	통화/NNG+에서/JKB
“광역자치단체장	“/SS+광역/NNG+자치/NNG+단체장/NNG
후보선출은	후보/NNG+선출/NNG+은/JX
당원투표와	당원/NNG+투표/NNG+와/JC
여론조사	여론/NNG+조사/NNG
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
국민참여	국민/NNG+참여/NNG
투표를	투표/NNG+를/JKO
50%씩	50/SN+%/SW+씩/XSN
반영하는	반영/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
하고,	하/VV+고/EC+,/SP
광역의원	광역/NNG+의원/NNG
후보는	후보/NNG+는/JX
국민들이	국민/NNG+들/XSN+이/JKS
잘	잘/MAG
모르니	모르/VV+니/EC
당원	당원/NNG
투표만	투표/NNG+만/JX
해서	하/VV+아서/EC
선출하는	선출/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
의견을	의견/NNG+을/JKO
모았다”고	모으/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.336.6.1
그는 또 “새누리당이 기초선거 공천을 할 경우 민주당은 어떻게 할지 정해지지 않았지만, 민주당도 공천을 한다면 기초단체장 후보선출은 여론조사 방식 등을 포함시킬 수 있겠으나, 기초의원 후보는 당원투표로만 선출해야 할 것 같다”고 말했다.

그는	그/NP+는/JX
또	또/MAG
“새누리당이	“/SS+새누리당/NNP+이/JKS
기초선거	기초/NNG+선거/NNG
공천을	공천/NNG+을/JKO
할	하/VX+ㄹ/ETM
경우	경우/NNG
민주당은	민주당/NNP+은/JX
어떻게	어떻/VA+게/EC
할지	하/VV+ㄹ지/EF
정해지지	정하/VV+아/EC+지/VX+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
민주당도	민주당/NNP+도/JX
한다면	하/VV+ㄴ다면/EC
기초단체장	기초/NNG+단체장/NNG
후보선출은	후보/NNG+선출/NNG+은/JX
여론조사	여론/NNG+조사/NNG
방식	방식/NNG
등을	등/NNB+을/JKO
포함시킬	포함/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있겠으나,	있/VA+겠/EP+으나/EC+,/SP
기초의원	기초/NNG+의원/NNG
후보는	후보/NNG+는/JX
당원투표로만	당원/NNG+투표/NNG+로/JKB+만/JX
선출해야	선출/NNG+하/XSV+아야/EC
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.336.7.1
공천권을 당원에게 대폭 돌려줌으로써, 김 대표가 강조한 ‘당원 주권’을 실천하겠다는 뜻이다.

공천권을	공천/NNG+권/XSN+을/JKO
당원에게	당원/NNG+에게/JKB
대폭	대폭/MAG
돌려줌으로써,	돌려주/VV+ㅁ/ETN+으로써/JKB+,/SP
김	김/NNP
대표가	대표/NNG+가/JKS
강조한	강조/NNG+하/XSV+ㄴ/ETM
‘당원	‘/SS+당원/NNG
주권’을	주권/NNG+’/SS+을/JKO
실천하겠다는	실천/NNG+하/XSV+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.336.7.2
김 대표는 그동안 공천제와 관련해 이종걸 당 정치혁신실행위원장, 최재천 전략홍보본부장, 최원식 의원 등과 논의해 이렇게 의견을 모은 것으로 알려졌다.

김	김/NNP
대표는	대표/NNG+는/JX
그동안	그동안/NNG
공천제와	공천/NNG+제/XSN+와/JKB
관련해	관련/NNG+하/XSV+아/EC
이종걸	이종걸/NNP
당	당/NNG
정치혁신실행위원장,	정치/NNG+혁신/NNG+실행/NNG+위원장/NNG+,/SP
최재천	최재천/NNP
전략홍보본부장,	전략/NNG+홍보/NNG+본부장/NNG+,/SP
최원식	최원식/NNP
의원	의원/NNG
등과	등/NNB+과/JKB
논의해	논의/NNG+하/XSV+아/EC
이렇게	이렇/VA+게/EC
의견을	의견/NNG+을/JKO
모은	모으/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.336.8.1
