# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.307
metadata : {}


# id : NWRW1800000038.307.1.1
[이지훈의 경제포커스] 버냉키, 당신마저도…

[이지훈의	[/SS+이지훈/NNP+의/JKG
경제포커스]	경제/NNG+포커스/NNG+]/SS
버냉키,	버냉키/NNP+,/SP
당신마저도…	당신/NP+마저/JX+도/JX+…/SE


# id : NWRW1800000038.307.2.1
아버지가 위대한 것은 어려운 순간에 결단을 내리기 때문이다.

아버지가	아버지/NNG+가/JKS
위대한	위대하/VA+ㄴ/ETM
것은	것/NNB+은/JX
어려운	어렵/VA+ㄴ/ETM
순간에	순간/NNG+에/JKB
결단을	결단/NNG+을/JKO
내리기	내리/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.307.2.2
며칠 전 벤 버냉키 미 연준 의장은 어렵지만 피할 수 없는 결정을 뒤로 미룸으로써 그에게 아버지의 역할을 기대했던 많은 사람의 환상을 깨뜨렸다.

며칠	며칠/NNG
전	전/NNG
벤	벤/NNP
버냉키	버냉키/NNP
미	미/NNP
연준	연준/NNP
의장은	의장/NNG+은/JX
어렵지만	어렵/VA+지만/EC
피할	피하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
결정을	결정/NNG+을/JKO
뒤로	뒤/NNG+로/JKB
미룸으로써	미루/VV+ㅁ/ETN+으로써/JKB
그에게	그/NP+에게/JKB
아버지의	아버지/NNG+의/JKG
역할을	역할/NNG+을/JKO
기대했던	기대/NNG+하/XSV+았/EP+던/ETM
많은	많/VA+은/ETM
사람의	사람/NNG+의/JKG
환상을	환상/NNG+을/JKO
깨뜨렸다.	깨뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.307.2.3
시장의 예상을 깨고 양적 완화 축소 대신 현상 유지를 택한 것이다.

시장의	시장/NNG+의/JKG
예상을	예상/NNG+을/JKO
깨고	깨/VV+고/EC
양적	양/NNG+적/XSN
완화	완화/NNG
축소	축소/NNG
대신	대신/NNG
현상	현상/NNG
유지를	유지/NNG+를/JKO
택한	택하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.307.3.1
