# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.93
metadata : {}


# id : NWRW1800000040.93.1.1
트랜스젠더에게 ‘화장실 선택권’ 인정 미국 캘리포니아주 공립학교 적용

트랜스젠더에게	트랜스젠더/NNG+에게/JKB
‘화장실	‘/SS+화장실/NNG
선택권’	선택/NNG+권/XSN+’/SS
인정	인정/NNG
미국	미국/NNP
캘리포니아주	캘리포니아주/NNP
공립학교	공립/NNG+학교/NNG
적용	적용/NNG


# id : NWRW1800000040.93.2.1
“차별 줄어들 것” VS “프라이버시 침해” 찬반 팽팽

“차별	“/SS+차별/NNG
줄어들	줄어들/VV+ㄹ/ETM
것”	것/NNB+”/SS
VS	VS/SL
“프라이버시	“/SS+프라이버시/NNG
침해”	침해/NNG+”/SS
찬반	찬반/NNG
팽팽	팽팽/XR


# id : NWRW1800000040.93.3.1
“캘리포니아주의 공립학교에 다니는 모든 트랜스젠더(성전환자) 학생들은 스스로 선택한 성에 따라 화장실 등을 이용할 수 있고, 성별이 분리된 스포츠팀에도 가입할 수 있다.”

“캘리포니아주의	“/SS+캘리포니아주/NNP+의/JKG
공립학교에	공립/NNG+학교/NNG+에/JKB
다니는	다니/VV+는/ETM
모든	모든/MMN
트랜스젠더(성전환자)	트랜스젠더/NNG+(/SS+성전환자/NNG+)/SS
학생들은	학생/NNG+들/XSN+은/JX
스스로	스스로/MAG
선택한	선택/NNG+하/XSV+ㄴ/ETM
성에	성/NNG+에/JKB
따라	따르/VV+아/EC
화장실	화장실/NNG
등을	등/NNB+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
성별이	성별/NNG+이/JKS
분리된	분리/NNG+되/XSV+ㄴ/ETM
스포츠팀에도	스포츠/NNG+팀/NNG+에/JKB+도/JX
가입할	가입/NNG+하/XSV+ㄹ/ETM
있다.”	있/VA+다/EF+./SF+”/SS


# id : NWRW1800000040.93.4.1
캘리포니아주가 미국 50개주 가운데 처음으로 성전환자 학생들에게 ‘생물학적 성별’이 아닌 ‘자아 인식에 따른 성별’을 기준으로 화장실과 샤워실, 탈의실을 선택할 수 있도록 하는 주법(AB 1266)을 발효했다.

캘리포니아주가	캘리포니아주/NNP+가/JKS
미국	미국/NNP
50개주	50/SN+개/NNB+주/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
성전환자	성전환자/NNG
학생들에게	학생/NNG+들/XSN+에게/JKB
‘생물학적	‘/SS+생물학/NNG+적/XSN
성별’이	성별/NNG+’/SS+이/JKC
아닌	아니/VCN+ㄴ/ETM
‘자아	‘/SS+자아/NNG
인식에	인식/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
성별’을	성별/NNG+’/SS+을/JKO
기준으로	기준/NNG+으로/JKB
화장실과	화장실/NNG+과/JC
샤워실,	샤워실/NNG+,/SP
탈의실을	탈의실/NNG+을/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VV+는/ETM
주법(AB	주법/NNG+(/SS+AB/SL
1266)을	1266/SN+)/SS+을/JKO
발효했다.	발효/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.93.4.2
남성으로 태어났으나 스스로를 여성으로 인식하고 있을 경우, 여성 전용 편의시설을 이용할 수 있다.

남성으로	남성/NNG+으로/JKB
태어났으나	태어나/VV+았/EP+으나/EC
스스로를	스스로/NNG+를/JKO
여성으로	여성/NNG+으로/JKB
인식하고	인식/NNG+하/XSV+고/EC
있을	있/VX+을/ETM
경우,	경우/NNG+,/SP
여성	여성/NNG
전용	전용/NNG
편의시설을	편의/NNG+시설/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.93.4.3
물론 여성으로 태어났으나 스스로를 남성으로 인식하는 경우엔 남성 전용 시설을 이용할 수 있다.

물론	물론/MAG
여성으로	여성/NNG+으로/JKB
태어났으나	태어나/VV+았/EP+으나/EC
스스로를	스스로/NNG+를/JKO
남성으로	남성/NNG+으로/JKB
인식하는	인식/NNG+하/XSV+는/ETM
경우엔	경우/NNG+에/JKB+ㄴ/JX
남성	남성/NNG
전용	전용/NNG
시설을	시설/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.93.4.4
뿐만 아니라 남녀 성별이 분리된 스포츠팀에도 ‘자아인식에 따른 성별’을 기준으로 가입할 수 있게 된다.

뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
남녀	남녀/NNG
성별이	성별/NNG+이/JKS
분리된	분리/NNG+되/XSV+ㄴ/ETM
스포츠팀에도	스포츠/NNG+팀/NNG+에/JKB+도/JX
‘자아인식에	‘/SS+자아/NNG+인식/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
성별’을	성별/NNG+’/SS+을/JKO
기준으로	기준/NNG+으로/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.93.4.5
이를 방해하면 성차별 행위로 처벌받게 된다.

이를	이/NP+를/JKO
방해하면	방해/NNG+하/XSV+면/EC
성차별	성차별/NNG
행위로	행위/NNG+로/JKB
처벌받게	처벌/NNG+받/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.93.4.6
메사추세츠주와 코네티컷주 등이 비슷한 트랜스젠더 학생 보호 정책을 펴고 있으나, 이를 모든 공립학교에 적용한 주법을 발효하는 것은 캘리포니아주가 처음이다.

메사추세츠주와	메사추세츠주/NNP+와/JC
코네티컷주	코네티컷주/NNP
등이	등/NNB+이/JKS
비슷한	비슷하/VA+ㄴ/ETM
트랜스젠더	트랜스젠더/NNG
학생	학생/NNG
보호	보호/NNG
정책을	정책/NNG+을/JKO
펴고	펴/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
이를	이/NP+를/JKO
모든	모든/MMN
공립학교에	공립/NNG+학교/NNG+에/JKB
적용한	적용/NNG+하/XSV+ㄴ/ETM
주법을	주법/NNG+을/JKO
발효하는	발효/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
캘리포니아주가	캘리포니아주/NNP+가/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.93.4.7
<폭스뉴스>는 캘리포니아주의 공립 초등학교∼고등학교 학생 620만명이 이 법의 적용을 받게 된다고 전했다.

<폭스뉴스>는	</SS+폭스뉴스/NNP+>/SS+는/JX
캘리포니아주의	캘리포니아주/NNP+의/JKG
공립	공립/NNG
초등학교∼고등학교	초등학교/NNG+∼/SO+고등학교/NNG
학생	학생/NNG
620만명이	620/SN+만/NR+명/NNB+이/JKS
이	이/MMD
법의	법/NNG+의/JKG
적용을	적용/NNG+을/JKO
받게	받/VV+게/EC
된다고	되/VV+ㄴ다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.93.5.1
<유에스에이투데이>(USA Today) 등 현지 언론은 12일(현지시각) 캘리포니아의 선구적인 트랜스젠더 학생 보호법을 둘러싼 논란을 보도했다.

<유에스에이투데이>(USA	</SS+유에스에이투데이/NNP+>/SS+(/SS+USA/SL
Today)	Today/SL+)/SS
등	등/NNB
현지	현지/NNG
언론은	언론/NNG+은/JX
12일(현지시각)	12/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
캘리포니아의	캘리포니아/NNP+의/JKG
선구적인	선구/NNG+적/XSN+이/VCP+ㄴ/ETM
트랜스젠더	트랜스젠더/NNG
학생	학생/NNG
보호법을	보호법/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논란을	논란/NNG+을/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.93.6.1
지난달 3일 주의회를 통과한 이후 12일 민주당 소속 제리 브라운 캘리포니아 주지사의 서명으로 발효된 이 법안은 그동안 ‘트랜스젠더 학생 존중법’으로 불려왔다.

지난달	지난달/NNG
3일	3/SN+일/NNB
주의회를	주/NNG+의회/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
12일	12/SN+일/NNB
민주당	민주당/NNP
소속	소속/NNG
제리	제리/NNP
브라운	브라운/NNP
캘리포니아	캘리포니아/NNP
주지사의	주지사/NNG+의/JKG
서명으로	서명/NNG+으로/JKB
발효된	발효/NNG+되/XSV+ㄴ/ETM
이	이/MMD
법안은	법안/NNG+은/JX
그동안	그동안/NNG
‘트랜스젠더	‘/SS+트랜스젠더/NNG
학생	학생/NNG
존중법’으로	존중/NNG+법/NNG+’/SS+으로/JKB
불려왔다.	불리/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.93.6.2
민주당과 전미레즈비언인권센터 및 미국시민자유동맹(ACLU) 캘리포니아 지부 등의 광범위한 지지를 받아왔다.

민주당과	민주당/NNP+과/JC
전미레즈비언인권센터	전미레즈비언인권센터/NNG
및	및/MAG
미국시민자유동맹(ACLU)	미국시민자유동맹/NNG+(/SS+ACLU/SL+)/SS
캘리포니아	캘리포니아/NNP
지부	지부/NNG
등의	등/NNB+의/JKG
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
지지를	지지/NNG+를/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.93.6.3
지지자들은 이 법안이 발효되면, 트랜스젠더 학생들에 대한 왕따와 차별이 줄어들 것이라며 환영했다.

지지자들은	지지자/NNG+들/XSN+은/JX
이	이/MMD
법안이	법안/NNG+이/JKS
발효되면,	발효/NNG+되/XSV+면/EC+,/SP
트랜스젠더	트랜스젠더/NNG
학생들에	학생/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
왕따와	왕따/NNG+와/JC
차별이	차별/NNG+이/JKS
줄어들	줄어들/VV+ㄹ/ETM
것이라며	것/NNB+이/VCP+라며/EC
환영했다.	환영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.93.7.1
