# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.66
metadata : {}


# id : NWRW1800000022.66.1.1
[청년취업 10000명] 노동부 사이트 '워크넷' 本紙 취업 캠페인 동참

[청년취업	[/SS+청년/NNG+취업/NNG
10000명]	10000/SN+명/NNB+]/SS
노동부	노동부/NNG
사이트	사이트/NNG
'워크넷'	'/SS+워크넷/NNP+'/SS
本紙	本紙/SH
취업	취업/NNG
캠페인	캠페인/NNG
동참	동참/NNG


# id : NWRW1800000022.66.2.1
신용등급이 중상위권에 속하는 우수 중소기업들과 청년 구직자들을 연결해주기 위해 조선일보와 기업은행이 함께 펼치고 있는 '청년 취업 1만명 프로젝트'에 노동부의 취업 전문 사이트 '워크넷'이 동참하기로 했다.

신용등급이	신용/NNG+등급/NNG+이/JKS
중상위권에	중상위/NNG+권/XSN+에/JKB
속하는	속하/VV+는/ETM
우수	우수/NNG
중소기업들과	중소기업/NNG+들/XSN+과/JC
청년	청년/NNG
구직자들을	구직자/NNG+들/XSN+을/JKO
연결해주기	연결/NNG+하/XSV+아/EC+주/VX+기/ETN
위해	위하/VV+아/EC
조선일보와	조선일보/NNP+와/JC
기업은행이	기업은행/NNP+이/JKS
함께	함께/MAG
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
'청년	'/SS+청년/NNG
취업	취업/NNG
1만명	1/SN+만/NR+명/NNB
프로젝트'에	프로젝트/NNG+'/SS+에/JKB
노동부의	노동부/NNG+의/JKG
전문	전문/NNG
사이트	사이트/NNG
'워크넷'이	'/SS+워크넷/NNP+'/SS+이/JKS
동참하기로	동참/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.66.2.2
▶관련기사 A6면

▶관련기사	▶/SW+관련/NNG+기사/NNG
A6면	A/SL+6/SN+면/NNG


# id : NWRW1800000022.66.3.1
워크넷은 '청년 취업 1만명 프로젝트'가 운영하는 중소기업 취업 전문 사이트인 '잡월드'(www.ibkcsjob.co.kr)에 취업 컨설팅 서비스, 진로 지도, 직업 정보 등 각종 취업 관련 콘텐츠를 제공하기로 했다.

워크넷은	워크넷/NNP+은/JX
'청년	'/SS+청년/NNG
취업	취업/NNG
1만명	1/SN+만/NR+명/NNB
프로젝트'가	프로젝트/NNG+'/SS+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
중소기업	중소기업/NNG
전문	전문/NNG
사이트인	사이트/NNG+이/VCP+ㄴ/ETM
'잡월드'(www.ibkcsjob.co.kr)에	'/SS+잡월드/NNP+'/SS+(/SS+www/SL+./SP+ibkcsjob/SL+./SP+co/SL+./SP+kr/SL+)/SS+에/JKB
컨설팅	컨설팅/NNG
서비스,	서비스/NNG+,/SP
진로	진로/NNG
지도,	지도/NNG+,/SP
직업	직업/NNG
정보	정보/NNG
등	등/NNB
각종	각종/NNG
관련	관련/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
제공하기로	제공/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF

