# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.101
metadata : {}


# id : NWRW1800000040.101.1.1
일 가나가와현, 조선학교 우회 지원

일	일/NNP
가나가와현,	가나가와현/NNP+,/SP
조선학교	조선/NNP+학교/NNG
우회	우회/NNG
지원	지원/NNG


# id : NWRW1800000040.101.2.1
학생에게 학비보조금 지급키로

학생에게	학생/NNG+에게/JKB
학비보조금	학비/NNG+보조금/NNG
지급키로	지급/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000040.101.3.1
“북핵 이유로 학습권 침해 안돼”

“북핵	“/SS+북핵/NNG
이유로	이유/NNG+로/JKB
학습권	학습/NNG+권/XSN
침해	침해/NNG
안돼”	안/MAG+되/XSV+어/EF+”/SS


# id : NWRW1800000040.101.4.1
일본 가나가와현이 총련계가 운영하는 조선학교 학생들에게 내년부터 학비보조금을 직접 지급하기로 방침을 정했다.

일본	일본/NNP
가나가와현이	가나가와현/NNP+이/JKS
총련계가	총련/NNP+계/XSN+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
조선학교	조선/NNP+학교/NNG
학생들에게	학생/NNG+들/XSN+에게/JKB
내년부터	내년/NNG+부터/JX
학비보조금을	학비/NNG+보조금/NNG+을/JKO
직접	직접/MAG
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
방침을	방침/NNG+을/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.101.4.2
일본 지방자치단체가 조선학교 학생을 대상으로 보조금을 지급하기로 한 것은 가나가와현이 처음이다.

일본	일본/NNP
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
조선학교	조선/NNP+학교/NNG
학생을	학생/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
보조금을	보조금/NNG+을/JKO
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
가나가와현이	가나가와현/NNP+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.101.4.3
일본의 여러 도·도·부·현이 북한과 총련의 영향 아래 있다는 이유로 조선학교에 대한 보조금 지급을 중단하고 있는 가운데, 가나가와현의 이번 조처는 학생들의 학습권을 보장하는 방안을 제시한 것이어서 주목된다.

일본의	일본/NNP+의/JKG
여러	여러/MMN
도·도·부·현이	도/NNG+·/SP+도/NNG+·/SP+부/NNG+·/SP+현/NNG+이/JKS
북한과	북한/NNP+과/JC
총련의	총련/NNP+의/JKG
영향	영향/NNG
아래	아래/NNG
있다는	있/VA+다는/ETM
이유로	이유/NNG+로/JKB
조선학교에	조선/NNP+학교/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보조금	보조금/NNG
지급을	지급/NNG+을/JKO
중단하고	중단/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
가나가와현의	가나가와현/NNP+의/JKG
이번	이번/NNG
조처는	조처/NNG+는/JX
학생들의	학생/NNG+들/XSN+의/JKG
학습권을	학습/NNG+권/XSN+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
것이어서	것/NNB+이/VCP+어서/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.101.5.1
12일 <마이니치신문> 보도를 보면, 가나가와현은 내년부터 조선학교를 포함한 외국인학교의 학생들에게 수업료를 보조하기로 했다.

12일	12/SN+일/NNB
<마이니치신문>	</SS+마이니치신문/NNP+>/SS
보도를	보도/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
가나가와현은	가나가와현/NNP+은/JX
내년부터	내년/NNG+부터/JX
조선학교를	조선/NNP+학교/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
외국인학교의	외국인/NNG+학교/NNG+의/JKG
학생들에게	학생/NNG+들/XSN+에게/JKB
수업료를	수업료/NNG+를/JKO
보조하기로	보조/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.101.5.2
지급 대상은 현내 10개교에 2549명이며, 이 가운데 조선학교 학생은 5개교에 425명이다.

지급	지급/NNG
대상은	대상/NNG+은/JX
현내	현/NNG+내/NNB
10개교에	10/SN+개교/NNB+에/JKB
2549명이며,	2549/SN+명/NNB+이/VCP+며/EC+,/SP
이	이/MMD
가운데	가운데/NNG
조선학교	조선/NNP+학교/NNG
학생은	학생/NNG+은/JX
5개교에	5/SN+개교/NNB+에/JKB
425명이다.	425/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.101.6.1
가나가와현은 북한이 핵실험을 했다는 이유로 조선학교에 해마다 지급해오던 경상비 보조금(연 6300만엔)을 올해부터 지급하지 않았고, 내년 예산에도 계상하지 않았다.

가나가와현은	가나가와현/NNP+은/JX
북한이	북한/NNP+이/JKS
핵실험을	핵/NNG+실험/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
조선학교에	조선/NNP+학교/NNG+에/JKB
해마다	해마다/MAG
지급해오던	지급/NNG+하/XSV+아/EC+오/VX+던/ETM
경상비	경상비/NNG
보조금(연	보조금/NNG+(/SS+연/NNG
6300만엔)을	6300/SN+만/NR+엔/NNB+)/SS+을/JKO
올해부터	올해/NNG+부터/JX
지급하지	지급/NNG+하/XSV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
내년	내년/NNG
예산에도	예산/NNG+에/JKB+도/JX
계상하지	계상/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.101.6.2
