# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.172
metadata : {}


# id : NWRW1800000033.172.1.1
[단독]불법조업 中선장 노역비 하루 70만원→5만원

[단독]불법조업	[/SS+단독/NNG+]/SS+불법/NNG+조업/NNG
中선장	中/SH+선장/NNG
노역비	노역비/NNG
하루	하루/NNG
70만원→5만원	70/SN+만/NR+원/NNB+→/SW+5/SN+만/NR+원/NNB


# id : NWRW1800000033.172.2.1
“한국인 수감자와 똑같게” 노역기간 최장 700일로 늘어불법어로 근절효과 거둘듯

“한국인	“/SS+한국인/NNG
수감자와	수감자/NNG+와/JKB
똑같게”	똑같/VA+게/EC+”/SS
노역기간	노역/NNG+기간/NNG
최장	최장/NNG
700일로	700/SN+일/NNB+로/JKB
늘어불법어로	늘/VV+어/EF+불법/NNG+어로/NNG
근절효과	근절/NNG+효과/NNG
거둘듯	거두/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000033.172.3.1
법원이 서해 한국 측 배타적경제수역(EEZ)에서 불법조업을 한 중국어선 선장 4명을 엄벌했다.

법원이	법원/NNG+이/JKS
서해	서해/NNP
한국	한국/NNP
측	측/NNB
배타적경제수역(EEZ)에서	배타/NNG+적/XSN+경제/NNG+수역/NNG+(/SS+EEZ/SL+)/SS+에서/JKB
불법조업을	불법/NNG+조업/NNG+을/JKO
한	하/VV+ㄴ/ETM
중국어선	중국/NNP+어선/NNG
선장	선장/NNG
4명을	4/SN+명/NNB+을/JKO
엄벌했다.	엄벌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.172.3.2
이는 정부의 담보금 인상에 이어 중국 어선의 불법조업을 줄이는 효과를 거둘 것으로 전망된다.

이는	이/NP+는/JX
정부의	정부/NNG+의/JKG
담보금	담보금/NNG
인상에	인상/NNG+에/JKB
이어	잇/VV+어/EC
중국	중국/NNP
어선의	어선/NNG+의/JKG
불법조업을	불법/NNG+조업/NNG+을/JKO
줄이는	줄이/VV+는/ETM
효과를	효과/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.172.4.1
광주지법 형사1부(재판장 박길성 부장판사)는 EEZ에서 불법조업을 하다 단속되고도 담보금을 내지 않은 혐의로 구속 기소됐다 풀려난 중국어선 선장 위(于·47)모 씨와 인(尹·57)모 씨에게 원심을 파기하고 각각 벌금 4000만 원과 3500만 원을 선고했다고 8일 밝혔다.

광주지법	광주지법/NNP
형사1부(재판장	형사/NNG+1/SN+부/NNG+(/SS+재판장/NNG
박길성	박길성/NNP
부장판사)는	부장/NNG+판사/NNG+)/SS+는/JX
EEZ에서	EEZ/SL+에서/JKB
불법조업을	불법/NNG+조업/NNG+을/JKO
하다	하/VV+다/EC
단속되고도	단속/NNG+되/XSV+고/EC+도/JX
담보금을	담보금/NNG+을/JKO
내지	내/VV+지/EC
않은	않/VX+은/ETM
혐의로	혐의/NNG+로/JKB
구속	구속/NNG
기소됐다	기소/NNG+되/XSV+었/EP+다/EC
풀려난	풀려나/VV+ㄴ/ETM
중국어선	중국/NNP+어선/NNG
선장	선장/NNG
위(于·47)모	위/NNP+(/SS+于/SH+·/SP+47/SN+)/SS+모/NP
씨와	씨/NNB+와/JC
인(尹·57)모	인/NNP+(/SS+尹/SH+·/SP+57/SN+)/SS+모/NP
씨에게	씨/NNB+에게/JKB
원심을	원심/NNG+을/JKO
파기하고	파기/NNG+하/XSV+고/EC
각각	각각/MAG
벌금	벌금/NNG
4000만	4000/SN+만/NR
원과	원/NNB+과/JC
3500만	3500/SN+만/NR
원을	원/NNB+을/JKO
선고했다고	선고/NNG+하/XSV+았/EP+다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.172.4.2
재판부는 1심 판결 직후 풀려난 이들을 법정 구속하지는 않았다.

재판부는	재판부/NNG+는/JX
1심	1심/NNG
판결	판결/NNG
직후	직후/NNG
풀려난	풀려나/VV+ㄴ/ETM
이들을	이/NP+들/XSN+을/JKO
법정	법정/NNG
구속하지는	구속/NNG+하/XSV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


