# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.144
metadata : {}


# id : NWRW1800000033.144.1.1
‘남매’ 워쇼스키 두 감독 “배두나는 기적의 배우… 1인 3역 완벽 소화”

‘남매’	‘/SS+남매/NNG+’/SS
워쇼스키	워쇼스키/NNP
두	두/MMN
감독	감독/NNG
“배두나는	“/SS+배두나/NNP+는/JX
기적의	기적/NNG+의/JKG
배우…	배우/NNG+…/SE
1인	1/SN+인/NNG
3역	3/SN+역/NNG
완벽	완벽/NNG
소화”	소화/NNG+”/SS


# id : NWRW1800000033.144.2.1
성전환으로 형제에서 남매로… 워쇼스키 두 감독 ‘클라우드 아틀라스’ 홍보차 내한

성전환으로	성전환/NNG+으로/JKB
형제에서	형제/NNG+에서/JKB
남매로…	남매/NNG+로/JKB+…/SE
워쇼스키	워쇼스키/NNP
두	두/MMN
감독	감독/NNG
‘클라우드	‘/SS+클라우드/NNG
아틀라스’	아틀라스/NNP+’/SS
홍보차	홍보/NNG+차/NNB
내한	내한/NNG


# id : NWRW1800000033.144.3.1
‘매트릭스’를 만든 워쇼스키 ‘형제’ 감독이 라나(47)와 앤디 워쇼스키(45) ‘남매’로 처음 한국을 찾았다.

‘매트릭스’를	‘/SS+매트릭스/NNP+’/SS+를/JKO
만든	만들/VV+ㄴ/ETM
워쇼스키	워쇼스키/NNP
‘형제’	‘/SS+형제/NNG+’/SS
감독이	감독/NNG+이/JKS
라나(47)와	라나/NNP+(/SS+47/SN+)/SS+와/JC
앤디	앤디/NNP
워쇼스키(45)	워쇼스키/NNP+(/SS+45/SN+)/SS
‘남매’로	‘/SS+남매/NNG+’/SS+로/JKB
처음	처음/NNG
한국을	한국/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.3.2
두 사람은 13일 서울 광진구 쉐라톤 그랜드 워커힐호텔에서 열린 영화 ‘클라우드 아틀라스’ 간담회에 독일 감독 톰 티크베어(47), 배우 배두나(33)와 짐 스터게스(34)와 함께 참석했다.

두	두/MMN
사람은	사람/NNG+은/JX
13일	13/SN+일/NNB
서울	서울/NNP
광진구	광진구/NNP
쉐라톤	쉐라톤/NNP
그랜드	그랜드/NNG
워커힐호텔에서	워커힐호텔/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
영화	영화/NNG
‘클라우드	‘/SS+클라우드/NNG
아틀라스’	아틀라스/NNP+’/SS
간담회에	간담회/NNG+에/JKB
독일	독일/NNP
감독	감독/NNG
톰	톰/NNP
티크베어(47),	티크베어/NNP+(/SS+47/SN+)/SS+,/SP
배우	배우/NNG
배두나(33)와	배두나/NNP+(/SS+33/SN+)/SS+와/JC
짐	짐/NNP
스터게스(34)와	스터게스/NNP+(/SS+34/SN+)/SS+와/JKB
함께	함께/MAG
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.4.1
워쇼스키 형제의 래리는 몇 년 전 성전환 수술을 받았고 이름도 라나로 바꿨다.

워쇼스키	워쇼스키/NNP
형제의	형제/NNG+의/JKG
래리는	래리/NNP+는/JX
몇	몇/NR
년	년/NNB
전	전/MMD
성전환	성전환/NNG
수술을	수술/NNG+을/JKO
받았고	받/VV+았/EP+고/EC
이름도	이름/NNG+도/JX
라나로	라나/NNP+로/JKB
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.144.4.2
올해 7월 그는 “성전환 수술을 받은 것이 루머가 아닌 사실”이라고 처음 공식적으로 밝혔고, 한 인권 캠페인 자리에서 “수술 전 자살을 기도했다”고 고백하기도 했다.

올해	올해/NNG
7월	7/SN+월/NNB
그는	그/NP+는/JX
“성전환	“/SS+성전환/NNG
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
것이	것/NNB+이/JKS
루머가	루머/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
사실”이라고	사실/NNG+”/SS+이라고/JKQ
처음	처음/NNG
공식적으로	공식/NNG+적/XSN+으로/JKB
밝혔고,	밝히/VV+었/EP+고/EC+,/SP
한	한/MMN
인권	인권/NNG
캠페인	캠페인/NNG
자리에서	자리/NNG+에서/JKB
“수술	“/SS+수술/NNG
전	전/NNG
자살을	자살/NNG+을/JKO
기도했다”고	기도/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
고백하기도	고백/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.144.5.1
이날 간담회에서 성전환 수술이 영화 작업에 영향을 미쳤느냐는 질문이 나오자 앤디는 “아무런 영향을 미치지 않았다”고 말했다.

이날	이날/NNG
간담회에서	간담회/NNG+에서/JKB
성전환	성전환/NNG
수술이	수술/NNG+이/JKS
영화	영화/NNG
작업에	작업/NNG+에/JKB
영향을	영향/NNG+을/JKO
미쳤느냐는	미치/VV+었/EP+느냐는/ETM
질문이	질문/NNG+이/JKS
나오자	나오/VV+자/EC
앤디는	앤디/NNP+는/JX
“아무런	“/SS+아무런/MMD
미치지	미치/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.5.2
그는 “라나는 래리였을 때와 똑같은 성격과 내면을 가진 사람이고 단지 외모가 ‘라나의 내면에 더 맞게’ 바뀌었을 뿐이다.

그는	그/NP+는/JX
“라나는	“/SS+라나/NNP+는/JX
래리였을	래리/NNP+이/VCP+었/EP+을/ETM
때와	때/NNG+와/JKB
똑같은	똑같/VA+은/ETM
성격과	성격/NNG+과/JC
내면을	내면/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람이고	사람/NNG+이/VCP+고/EC
단지	단지/MAG
외모가	외모/NNG+가/JKS
‘라나의	‘/SS+라나/NNP+의/JKG
내면에	내면/NNG+에/JKB
더	더/MAG
맞게’	맞/VV+게/EC+’/SS
바뀌었을	바뀌/VV+었/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.144.5.3
형제로서나 남매로서나 함께 일하는 것이 즐거운 동료”라고 덧붙였다.

형제로서나	형제/NNG+로서/JKB+나/JX
남매로서나	남매/NNG+로서/JKB+나/JX
함께	함께/MAG
일하는	일/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
즐거운	즐겁/VA+ㄴ/ETM
동료”라고	동료/NNG+”/SS+라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.144.6.1
라나 워쇼스키는 몸매가 드러나는 회색 옷차림으로 입장했다.

라나	라나/NNP
워쇼스키는	워쇼스키/NNP+는/JX
몸매가	몸매/NNG+가/JKS
드러나는	드러나/VV+는/ETM
회색	회색/NNG
옷차림으로	옷차림/NNG+으로/JKB
입장했다.	입장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.6.2
강렬한 분홍빛 헤어스타일이 생기 있는 느낌을 준다고 말하자 그는 합장하면서 한국말로 “감사합니다”라고 했다.

강렬한	강렬하/VA+ㄴ/ETM
분홍빛	분홍빛/NNG
헤어스타일이	헤어스타일/NNG+이/JKS
생기	생기/NNG
있는	있/VA+는/ETM
느낌을	느낌/NNG+을/JKO
준다고	주/VV+ㄴ다고/EC
말하자	말/NNG+하/XSV+자/EC
그는	그/NP+는/JX
합장하면서	합장/NNG+하/XSV+면서/EC
한국말로	한국말/NNG+로/JKB
“감사합니다”라고	“/SS+감사/NNG+하/XSV+ㅂ니다/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.6.3
그는 성 전환 뒤에도 ‘남성’ 시절의 부인과 함께 살며 이번 방한에도 그와 동행했다.

그는	그/NP+는/JX
성	성/NNG
전환	전환/NNG
뒤에도	뒤/NNG+에/JKB+도/JX
‘남성’	‘/SS+남성/NNG+’/SS
시절의	시절/NNG+의/JKG
부인과	부인/NNG+과/JKB
함께	함께/MAG
살며	살/VV+며/EC
이번	이번/NNG
방한에도	방한/NNG+에/JKB+도/JX
그와	그/NP+와/JKB
동행했다.	동행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.144.7.1
‘클라우드 아틀라스’는 19세기부터 2321년의 미래까지 500년의 시공간에 걸쳐 여섯 개의 스토리로 구성한 SF 영화.

‘클라우드	‘/SS+클라우드/NNG
아틀라스’는	아틀라스/NNP+’/SS+는/JX
19세기부터	19/SN+세기/NNG+부터/JX
2321년의	2321/SN+년/NNB+의/JKG
미래까지	미래/NNG+까지/JX
500년의	500/SN+년/NNB+의/JKG
시공간에	시공간/NNG+에/JKB
걸쳐	걸치/VV+어/EC
여섯	여섯/NR
개의	개/NNB+의/JKG
스토리로	스토리/NNG+로/JKB
구성한	구성/NNG+하/XSV+ㄴ/ETM
SF	SF/SL
영화.	영화/NNG+./SF


# id : NWRW1800000033.144.7.2
배두나가 톰 행크스와 휴 그랜트, 수잔 서랜던과 함께 1인 3역으로 비중 있게 등장한다.

배두나가	배두나/NNP+가/JKS
톰	톰/NNP
행크스와	행크스/NNP+와/JC
휴	휴/NNP
그랜트,	그랜트/NNP+,/SP
수잔	수잔/NNP
서랜던과	서랜던/NNP+과/JKB
함께	함께/MAG
1인	1/SN+인/NNG
3역으로	3/SN+역/NNG+으로/JKB
비중	비중/NNG
있게	있/VA+게/EC
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.144.7.3
행크스가 1인 6역을 소화하고, 벤 위쇼와 휴고 위빙은 여장을 하고, 핼리 베리는 남장으로 출연한다.

행크스가	행크스/NNP+가/JKS
1인	1/SN+인/NNG
6역을	6/SN+역/NNG+을/JKO
소화하고,	소화/NNG+하/XSV+고/EC+,/SP
벤	벤/NNP
위쇼와	위쇼/NNP+와/JC
휴고	휴고/NNP
위빙은	위빙/NNP+은/JX
여장을	여장/NNG+을/JKO
하고,	하/VV+고/EC+,/SP
핼리	핼리/NNP
베리는	베리/NNP+는/JX
남장으로	남장/NNG+으로/JKB
출연한다.	출연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.144.8.1
라나는 “이번 작품에 성별과 인종을 바꾼 모습으로 출연하는 배우가 많다”며 “동양 배우가 서양인의 감정을 연기하는 데 겉모습이 제약이 되지 않는다는 것을 보여주고 싶었다”고 말했다.

라나는	라나/NNP+는/JX
“이번	“/SS+이번/NNG
작품에	작품/NNG+에/JKB
성별과	성별/NNG+과/JC
인종을	인종/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
모습으로	모습/NNG+으로/JKB
출연하는	출연/NNG+하/XSV+는/ETM
배우가	배우/NNG+가/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“동양	“/SS+동양/NNG
서양인의	서양인/NNG+의/JKG
감정을	감정/NNG+을/JKO
연기하는	연기/NNG+하/XSV+는/ETM
데	데/NNB
겉모습이	겉모습/NNG+이/JKS
제약이	제약/NNG+이/JKC
되지	되/VV+지/EC
않는다는	않/VX+는다는/ETM
것을	것/NNB+을/JKO
