# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.379
metadata : {}


# id : NWRW1800000056.379.1.1
[단독] 군 사이버사, 인터넷 언론까지 직접 운영했다

[단독]	[/SS+단독/NNG+]/SS
군	군/NNG
사이버사,	사이버사/NNG+,/SP
인터넷	인터넷/NNG
언론까지	언론/NNG+까지/JX
직접	직접/MAG
운영했다	운영/NNG+하/XSV+았/EP+다/EF


# id : NWRW1800000056.379.2.1
2012년 대선 앞 ‘포인트뉴스’ 창간

2012년	2012/SN+년/NNB
대선	대선/NNG
앞	앞/NNG
‘포인트뉴스’	‘/SS+포인트뉴스/NNP+’/SS
창간	창간/NNG


# id : NWRW1800000056.379.3.1
댓글공작 넘어 콘텐츠 생산까지

댓글공작	댓글/NNG+공작/NNG
넘어	넘/VV+어/EC
콘텐츠	콘텐츠/NNG
생산까지	생산/NNG+까지/JX


# id : NWRW1800000056.379.4.1
국정원이 특수활동비로 자금 대

국정원이	국정원/NNG+이/JKS
특수활동비로	특수/NNG+활동비/NNG+로/JKB
자금	자금/NNG
대	대/VV+어/EF


# id : NWRW1800000056.379.5.1
‘애국게임’ 개발도…김관진 출국금지

‘애국게임’	‘/SS+애국/NNG+게임/NNG+’/SS
개발도…김관진	개발/NNG+도/JX+…/SE+김관진/NNP
출국금지	출국/NNG+금지/NNG


# id : NWRW1800000056.379.6.1
2012년 대선을 앞두고 정치 댓글 공작을 벌인 국군사이버사령부(사이버사) 530단이 국가정보원의 특수활동비로 인터넷 언론사를 설립하고 모바일 게임을 개발하는 등 ‘대북 심리전’이라는 창설 목적과 무관한 콘텐츠 사업을 벌여온 사실이 처음 확인됐다.

2012년	2012/SN+년/NNB
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
정치	정치/NNG
댓글	댓글/NNG
공작을	공작/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
국군사이버사령부(사이버사)	국군/NNG+사이버/NNG+사령부/NNG+(/SS+사이버사/NNG+)/SS
530단이	530/SN+단/NNG+이/JKS
국가정보원의	국가/NNG+정보원/NNG+의/JKG
특수활동비로	특수/NNG+활동비/NNG+로/JKB
인터넷	인터넷/NNG
언론사를	언론사/NNG+를/JKO
설립하고	설립/NNG+하/XSV+고/EC
모바일	모바일/NNG
게임을	게임/NNG+을/JKO
개발하는	개발/NNG+하/XSV+는/ETM
등	등/NNB
‘대북	‘/SS+대북/NNG
