# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.42
metadata : {}


# id : NWRW1800000044.42.1.1
“사람중심 돼야 창조경제 극대화”

“사람중심	“/SS+사람/NNG+중심/NNG
돼야	되/VV+어야/EC
창조경제	창조/NNG+경제/NNG
극대화”	극대/NNG+화/XSN+”/SS


# id : NWRW1800000044.42.2.1
[한겨레] 아시아미래포럼 할로넨 전 핀란드 대통령 기조연설

[한겨레]	[/SS+한겨레/NNP+]/SS
아시아미래포럼	아시아/NNP+미래/NNG+포럼/NNG
할로넨	할로넨/NNP
전	전/MMD
핀란드	핀란드/NNP
대통령	대통령/NNG
기조연설	기조연설/NNG


# id : NWRW1800000044.42.3.1
브라질 ‘보우사 파밀리아’ 프로그램

브라질	브라질/NNP
‘보우사	‘/SS+보우사/NNG
파밀리아’	파밀리아/NNP+’/SS
프로그램	프로그램/NNG


# id : NWRW1800000044.42.4.1
빈곤층 지원해 경제동력 만들어

빈곤층	빈곤/NNG+층/XSN
지원해	지원/NNG+하/XSV+아/EC
경제동력	경제/NNG+동력/NNG
만들어	만들/VV+어/EF


# id : NWRW1800000044.42.5.1
“창조경제란 사람 중심 경제를 통해 극대화될 수 있습니다.

“창조경제란	“/SS+창조/NNG+경제/NNG+란/JX
사람	사람/NNG
중심	중심/NNG
경제를	경제/NNG+를/JKO
통해	통하/VV+아/EC
극대화될	극대/NNG+화/XSN+되/XSV+ㄹ/ETM
수	수/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000044.42.5.2
한국 박근혜 대통령이 경제침체, 저성장, 고실업 해법으로 창조경제를 하자고 했는데, 나는 이 비전을 찬성합니다.”

한국	한국/NNP
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
경제침체,	경제/NNG+침체/NNG+,/SP
저성장,	저/XPN+성장/NNG+,/SP
고실업	고/XPN+실업/NNG
해법으로	해법/NNG+으로/JKB
창조경제를	창조/NNG+경제/NNG+를/JKO
하자고	하/VV+자고/EC
했는데,	하/VV+았/EP+는데/EC+,/SP
나는	나/NP+는/JX
이	이/MMD
비전을	비전/NNG+을/JKO
찬성합니다.”	찬성/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000044.42.6.1
