# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.355
metadata : {}


# id : NWRW1800000054.355.1.1
[창간 97주년 특집] 조선일보·칸타퍼블릭 가상 양자대결 여론조사

[창간	[/SS+창간/NNG
97주년	97/SN+주년/NNB
특집]	특집/NNG+]/SS
조선일보·칸타퍼블릭	조선일보/NNP+·/SP+칸타퍼블릭/NNP
가상	가상/NNG
양자대결	양자/NNG+대결/NNG
여론조사	여론/NNG+조사/NNG


# id : NWRW1800000054.355.2.1
문재인 45.8 對 안철수 32%, 문재인 56.9 對 황교안 25.4%

문재인	문재인/NNP
45.8	45/SN+./SP+8/SN
對	對/SH
안철수	안철수/NNP
32%,	32/SN+%/SW+,/SP
56.9	56/SN+./SP+9/SN
황교안	황교안/NNP
25.4%	25/SN+./SP+4/SN+%/SW


# id : NWRW1800000054.355.3.1
조선일보가 창간 97주년(3월 5일)을 맞아 칸타퍼블릭(옛 미디어리서치)에 의뢰해 여야(與野) 10명 예비 후보의 다자(多者) 대결을 가상해 실시한 여론조사에서 문재인 더불어민주당 후보가 30.0%로 선두였다.

조선일보가	조선일보/NNP+가/JKS
창간	창간/NNG
97주년(3월	97/SN+주년/NNB+(/SS+3/SN+월/NNB
5일)을	5/SN+일/NNB+)/SS+을/JKO
맞아	맞/VV+아/EC
칸타퍼블릭(옛	칸타퍼블릭/NNP+(/SS+옛/MMA
미디어리서치)에	미디어리서치/NNP+)/SS+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
여야(與野)	여야/NNG+(/SS+與野/SH+)/SS
10명	10/SN+명/NNB
예비	예비/NNG
후보의	후보/NNG+의/JKG
다자(多者)	다자/NNG+(/SS+多者/SH+)/SS
대결을	대결/NNG+을/JKO
가상해	가상/NNG+하/XSV+아/EC
실시한	실시/NNG+하/XSV+ㄴ/ETM
여론조사에서	여론/NNG+조사/NNG+에서/JKB
문재인	문재인/NNP
더불어민주당	더불어민주당/NNP
후보가	후보/NNG+가/JKS
30.0%로	30/SN+./SP+0/SN+%/SW+로/JKB
선두였다.	선두/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.355.4.1
이어 황교안 대통령 권한대행 12.5%, 안희정 더불어민주당 후보 12.0%, 안철수 국민의당 의원 8.8%, 이재명 더불어민주당 후보 8.5% 등이 5위권 안에 들었다.

이어	이어/MAG
황교안	황교안/NNP
대통령	대통령/NNG
권한대행	권한/NNG+대행/NNG
12.5%,	12/SN+./SP+5/SN+%/SW+,/SP
안희정	안희정/NNP
더불어민주당	더불어민주당/NNP
후보	후보/NNG
12.0%,	12/SN+./SP+0/SN+%/SW+,/SP
안철수	안철수/NNP
국민의당	국민의당/NNP
의원	의원/NNG
8.8%,	8/SN+./SP+8/SN+%/SW+,/SP
이재명	이재명/NNP
8.5%	8/SN+./SP+5/SN+%/SW
등이	등/NNB+이/JKS
5위권	5/SN+위/NNB+권/XSN
안에	안/NNG+에/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.355.4.2
다음은 홍준표 경남지사 3.4%, 유승민 바른정당 의원 1.3%, 심상정 정의당 대표 0.9%, 손학규 전 민주당 대표 0.7%, 남경필 경기지사 0.3% 등이었고 모름·무응답은 21.0%였다.

다음은	다음/NNG+은/JX
홍준표	홍준표/NNP
경남지사	경남/NNP+지사/NNG
3.4%,	3/SN+./SP+4/SN+%/SW+,/SP
유승민	유승민/NNP
바른정당	바른정당/NNP
의원	의원/NNG
1.3%,	1/SN+./SP+3/SN+%/SW+,/SP
심상정	심상정/NNP
정의당	정의당/NNP
대표	대표/NNG
0.9%,	0/SN+./SP+9/SN+%/SW+,/SP
손학규	손학규/NNP
전	전/MMD
민주당	민주당/NNP
0.7%,	0/SN+./SP+7/SN+%/SW+,/SP
남경필	남경필/NNP
경기지사	경기/NNP+지사/NNG
0.3%	0/SN+./SP+3/SN+%/SW
등이었고	등/NNB+이/VCP+었/EP+고/EC
모름·무응답은	모르/VV+ㅁ/ETN+·/SP+무/XPN+응답/NNG+은/JX
21.0%였다.	21/SN+./SP+0/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.355.5.1
민주당·자유한국당·국민의당·바른정당·정의당 등 5개 정당의 후보가 출마하는 가상 대결의 경우엔 문재인 후보 41.5%, 황교안 권한대행 19.1%, 안철수 의원 14.2%, 유승민 의원 4.4%, 심상정 대표 2.4% 등이었다.

민주당·자유한국당·국민의당·바른정당·정의당	민주당/NNP+·/SP+자유한국당/NNP+·/SP+국민의당/NNP+·/SP+바른정당/NNP+·/SP+정의당/NNP
등	등/NNB
5개	5/SN+개/NNB
정당의	정당/NNG+의/JKG
후보가	후보/NNG+가/JKS
출마하는	출마/NNG+하/XSV+는/ETM
가상	가상/NNG
대결의	대결/NNG+의/JKG
경우엔	경우/NNG+에/JKB+ㄴ/JX
문재인	문재인/NNP
후보	후보/NNG
41.5%,	41/SN+./SP+5/SN+%/SW+,/SP
황교안	황교안/NNP
권한대행	권한/NNG+대행/NNG
19.1%,	19/SN+./SP+1/SN+%/SW+,/SP
안철수	안철수/NNP
의원	의원/NNG
14.2%,	14/SN+./SP+2/SN+%/SW+,/SP
유승민	유승민/NNP
4.4%,	4/SN+./SP+4/SN+%/SW+,/SP
심상정	심상정/NNP
대표	대표/NNG
2.4%	2/SN+./SP+4/SN+%/SW
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.355.6.1
정치권 일각에서 거론되는 이른바 '빅텐트'가 성사된다 하더라도 현재는 민주당 후보들이 강세인 것으로 나타났다.

정치권	정치/NNG+권/XSN
일각에서	일각/NNG+에서/JKB
거론되는	거론/NNG+되/XSV+는/ETM
이른바	이른바/MAG
'빅텐트'가	'/SS+빅텐트/NNG+'/SS+가/JKS
성사된다	성사/NNG+되/XSV+ㄴ다/EF
하더라도	하/VV+더라도/EC
현재는	현재/NNG+는/JX
민주당	민주당/NNP
후보들이	후보/NNG+들/XSN+이/JKS
강세인	강세/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.355.6.2
문재인 후보와 안철수 의원이 맞대결을 펼치는 경우를 가상한 양자(兩者) 대결 지지율은 문 후보 45.8%, 안 의원 32.0%였다.

문재인	문재인/NNP
후보와	후보/NNG+와/JC
안철수	안철수/NNP
의원이	의원/NNG+이/JKS
맞대결을	맞대결/NNG+을/JKO
펼치는	펼치/VV+는/ETM
경우를	경우/NNG+를/JKO
가상한	가상/NNG+하/XSV+ㄴ/ETM
양자(兩者)	양자/NNG+(/SS+兩者/SH+)/SS
대결	대결/NNG
지지율은	지지/NNG+율/XSN+은/JX
문	문/NNP
후보	후보/NNG
45.8%,	45/SN+./SP+8/SN+%/SW+,/SP
안	안/NNP
의원	의원/NNG
32.0%였다.	32/SN+./SP+0/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.355.6.3
문 후보와 황 권한대행 간 가상 양자 대결은 56.9%대25.4%였다.

문	문/NNP
후보와	후보/NNG+와/JC
황	황/NNP
권한대행	권한/NNG+대행/NNG
간	간/NNB
가상	가상/NNG
양자	양자/NNG
대결은	대결/NNG+은/JX
56.9%대25.4%였다.	56/SN+./SP+9/SN+%/SW+대/NNB+25/SN+./SP+4/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.355.7.1
