# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.152
metadata : {}


# id : NWRW1800000048.152.1.1
아펜젤러·스크랜턴 모자·언더우드, ‘한국선교 130돌’ 기념행사 펼친다

아펜젤러·스크랜턴	아펜젤러/NNP+·/SP+스크랜턴/NNP
모자·언더우드,	모자/NNG+·/SP+언더우드/NNP+,/SP
‘한국선교	‘/SS+한국/NNP+선교/NNG
130돌’	130/SN+돌/NNG+’/SS
기념행사	기념행사/NNG
펼친다	펼치/VV+ㄴ다/EF


# id : NWRW1800000048.152.2.1
130명에 각막이식수술 해주기로

130명에	130/SN+명/NNB+에/JKB
각막이식수술	각막/NNG+이식/NNG+수술/NNG
해주기로	하/VV+아/EC+주/VX+기/ETN+로/JKB


# id : NWRW1800000048.152.3.1
올해는 장로회의 호러스 그랜트 언더우드(1859~1916)와 감리교의 헨리 아펜젤러(1858∼1902)와 메리 스크랜턴(1832∼1909)·윌리엄 스크랜턴(1856∼1922) 모자(왼쪽부터)가 선교를 위해 한국에 입국한 지 130돌이 되는 해다.

올해는	올해/NNG+는/JX
장로회의	장로회/NNG+의/JKG
호러스	호러스/NNP
그랜트	그랜트/NNP
언더우드(1859~1916)와	언더우드/NNP+(/SS+1859/SN+~/SO+1916/SN+)/SS+와/JC
감리교의	감리교/NNG+의/JKG
헨리	헨리/NNP
아펜젤러(1858∼1902)와	아펜젤러/NNP+(/SS+1858/SN+∼/SO+1902/SN+)/SS+와/JC
메리	메리/NNP
스크랜턴(1832∼1909)·윌리엄	스크랜턴/NNP+(/SS+1832/SN+∼/SO+1909/SN+)/SS+·/SP+윌리엄/NNP
스크랜턴(1856∼1922)	스크랜턴/NNP+(/SS+1856/SN+∼/SO+1922/SN+)/SS
모자(왼쪽부터)가	모자/NNG+(/SS+왼쪽/NNG+부터/JX+)/SS+가/JKS
선교를	선교/NNG+를/JKO
위해	위하/VV+아/EC
한국에	한국/NNP+에/JKB
입국한	입국/NNG+하/XSV+ㄴ/ETM
지	지/NNB
130돌이	130/SN+돌/NNG+이/JKC
되는	되/VV+는/ETM
해다.	해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.152.4.1
대부분 선교사가 군대를 태운 상선을 타고 입국해 허락 없이 선교를 시도하던 당시, 고종으로부터 정식 허가를 받고 선교활동을 펼친 최초의 선교사였다.

대부분	대/XPN+부분/NNG
선교사가	선교사/NNG+가/JKS
군대를	군대/NNG+를/JKO
태운	태우/VV+ㄴ/ETM
상선을	상선/NNG+을/JKO
타고	타/VV+고/EC
입국해	입국/NNG+하/XSV+아/EC
허락	허락/NNG
없이	없이/MAG
선교를	선교/NNG+를/JKO
시도하던	시도/NNG+하/XSV+던/ETM
당시,	당시/NNG+,/SP
고종으로부터	고종/NNP+으로부터/JKB
정식	정식/NNG
허가를	허가/NNG+를/JKO
받고	받/VV+고/EC
선교활동을	선교/NNG+활동/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
최초의	최초/NNG+의/JKG
선교사였다.	선교사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.152.5.1
언더우드와 아펜젤러는 1885년 4월2일 부산항에 입항해 이틀을 머문 뒤 4월5일 오후3시 제물포항으로 들어왔다.

언더우드와	언더우드/NNP+와/JC
아펜젤러는	아펜젤러/NNP+는/JX
1885년	1885/SN+년/NNB
4월2일	4/SN+월/NNB+2/SN+일/NNB
부산항에	부산항/NNP+에/JKB
입항해	입항/NNG+하/XSV+아/EC
이틀을	이틀/NNG+을/JKO
머문	머물/VV+ㄴ/ETM
뒤	뒤/NNG
4월5일	4/SN+월/NNB+5/SN+일/NNB
오후3시	오후/NNG+3/SN+시/NNB
제물포항으로	제물포항/NNP+으로/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.152.5.2
도착일은 올해 부활절과 정확히 일치한다.

도착일은	도착일/NNG+은/JX
올해	올해/NNG
부활절과	부활절/NNG+과/JKB
정확히	정확히/MAG
일치한다.	일치/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.152.5.3
언더우드는 새문안교회와 기독교서회를 설립하고, 한국기독교청년회(YMCA)를 조직하고 연세대 전신인 연희전문학교를 키워냈다.

언더우드는	언더우드/NNP+는/JX
새문안교회와	새문안교회/NNP+와/JC
기독교서회를	기독교서회/NNP+를/JKO
설립하고,	설립/NNG+하/XSV+고/EC+,/SP
한국기독교청년회(YMCA)를	한국기독교청년회/NNP+(/SS+YMCA/SL+)/SS+를/JKO
조직하고	조직/NNG+하/XSV+고/EC
연세대	연세대/NNP
전신인	전신/NNG+이/VCP+ㄴ/ETM
연희전문학교를	연희전문학교/NNP+를/JKO
키워냈다.	키우/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.152.5.4
아펜젤러는 배재학당을 세워 인재를 양성하는 데 기여했다.

아펜젤러는	아펜젤러/NNP+는/JX
배재학당을	배재학당/NNP+을/JKO
세워	세우/VV+어/EC
인재를	인재/NNG+를/JKO
양성하는	양성/NNG+하/XSV+는/ETM
데	데/NNB
기여했다.	기여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.152.5.5
메리 스크랜턴은 이화학당을 세웠다.

메리	메리/NNP
스크랜턴은	스크랜턴/NNP+은/JX
이화학당을	이화학당/NNP+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.152.5.6
그의 아들로 목사이자 의사였던 윌리엄 스크랜턴은 주로 하층민이 살던 지역에 동대문교회와 상동교회, 아현교회를 설립하고, 이화여대부속병원의 전신인 보구병원을 세웠다.

그의	그/NP+의/JKG
아들로	아들/NNG+로/JKB
목사이자	목사/NNG+이/VCP+자/EC
의사였던	의사/NNG+이/VCP+었/EP+던/ETM
윌리엄	윌리엄/NNP
스크랜턴은	스크랜턴/NNP+은/JX
주로	주로/MAG
하층민이	하층민/NNG+이/JKS
살던	살/VV+던/ETM
지역에	지역/NNG+에/JKB
동대문교회와	동대문교회/NNP+와/JC
상동교회,	상동교회/NNP+,/SP
아현교회를	아현교회/NNP+를/JKO
설립하고,	설립/NNG+하/XSV+고/EC+,/SP
이화여대부속병원의	이화여대부속병원/NNP+의/JKG
전신인	전신/NNG+이/VCP+ㄴ/ETM
보구병원을	보구병원/NNP+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.152.5.7
우리나라 근대 교육기관과 병원 등이 자리잡은 데는 초기 선교사들의 헌신적인 노력이 있었던 셈이다.

우리나라	우리나라/NNG
근대	근대/NNG
교육기관과	교육/NNG+기관/NNG+과/JC
병원	병원/NNG
등이	등/NNB+이/JKS
자리잡은	자리/NNG+잡/VV+은/ETM
데는	데/NNB+는/JX
초기	초기/NNG
선교사들의	선교사/NNG+들/XSN+의/JKG
헌신적인	헌신/NNG+적/XSN+이/VCP+ㄴ/ETM
노력이	노력/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.152.6.1
이들의 선교 130돌을 맞아 기독교와 교단 차원의 행사가 펼쳐진다.

이들의	이/NP+들/XSN+의/JKG
선교	선교/NNG
130돌을	130/SN+돌/NNG+을/JKO
맞아	맞/VV+아/EC
기독교와	기독교/NNG+와/JC
교단	교단/NNG
차원의	차원/NNG+의/JKG
행사가	행사/NNG+가/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.152.6.2
특히 아펜젤러와 스크랜턴 모자가 소속됐던 감리교는 130명에게 각막이식수술을 해준다.

특히	특히/MAG
아펜젤러와	아펜젤러/NNP+와/JC
스크랜턴	스크랜턴/NNP
모자가	모자/NNG+가/JKS
소속됐던	소속/NNG+되/XSV+었/EP+던/ETM
감리교는	감리교/NNG+는/JX
130명에게	130/SN+명/NNB+에게/JKB
각막이식수술을	각막/NNG+이식/NNG+수술/NNG+을/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.152.6.3
아펜젤러가 한국에 처음 도착했을 때 “저들에게 하나님의 자녀가 누리는 빛과 자유를 허락하여 주소서”라고 한 기도를 기념한 것이다.

아펜젤러가	아펜젤러/NNP+가/JKS
한국에	한국/NNP+에/JKB
처음	처음/NNG
도착했을	도착/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
“저들에게	“/SS+저/NP+들/XSN+에게/JKB
하나님의	하나님/NNG+의/JKG
자녀가	자녀/NNG+가/JKS
누리는	누리/VV+는/ETM
빛과	빛/NNG+과/JC
자유를	자유/NNG+를/JKO
허락하여	허락/NNG+하/XSV+아/EC
주소서”라고	주/VX+소서/EF+”/SS+라고/JKQ
한	하/VV+ㄴ/ETM
기도를	기도/NNG+를/JKO
기념한	기념/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.152.6.4
또 의료사역을 한 윌리엄 스크랜턴의 뜻을 이어받는 차원에서 미국 비정부기구인 ‘러브 원 코리아’ 재단을 통해 북한 황해도에 2개의 진료소를 건립해 의약품을 지원하고, 나진지역에 나무심기 운동을 전개하기로 했다.

또	또/MAG
의료사역을	의료/NNG+사역/NNG+을/JKO
한	하/VV+ㄴ/ETM
윌리엄	윌리엄/NNP
스크랜턴의	스크랜턴/NNP+의/JKG
뜻을	뜻/NNG+을/JKO
이어받는	이어받/VV+는/ETM
차원에서	차원/NNG+에서/JKB
미국	미국/NNP
비정부기구인	비/XPN+정부/NNG+기구/NNG+이/VCP+ㄴ/ETM
‘러브	‘/SS+러브/NNG
원	원/NNG
코리아’	코리아/NNP+’/SS
재단을	재단/NNG+을/JKO
통해	통하/VV+아/EC
북한	북한/NNP
황해도에	황해도/NNP+에/JKB
2개의	2/SN+개/NNB+의/JKG
진료소를	진료소/NNG+를/JKO
건립해	건립/NNG+하/XSV+아/EC
의약품을	의약품/NNG+을/JKO
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
나진지역에	나진/NNP+지역/NNG+에/JKB
나무심기	나무/NNG+심/VV+기/ETN
운동을	운동/NNG+을/JKO
전개하기로	전개/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.152.6.5
130돌 행사를 준비하는 조경렬 아현교회 목사는 “선교사들의 내한은 단순한 선교가 아니라 한국 근대화의 초석을 놓는 일이었다”고 말했다.

130돌	130/SN+돌/NNG
행사를	행사/NNG+를/JKO
준비하는	준비/NNG+하/XSV+는/ETM
조경렬	조경렬/NNP
아현교회	아현교회/NNP
목사는	목사/NNG+는/JX
“선교사들의	“/SS+선교사/NNG+들/XSN+의/JKG
내한은	내한/NNG+은/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
선교가	선교/NNG+가/JKC
아니라	아니/VCN+라/EC
한국	한국/NNP
근대화의	근대/NNG+화/XSN+의/JKG
초석을	초석/NNG+을/JKO
놓는	놓/VV+는/ETM
일이었다”고	일/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.152.6.6
또 서철 상동교회 목사는 “주로 하층 백성들을 돌본 스크랜턴 목사가 담임한 상동교회는 그의 수제자인 전덕기 목사의 주도로 신민회, 한글학회 등이 만들어져 독립운동의 산실이 되었다”고 설명했다.

또	또/MAG
서철	서철/NNP
상동교회	상동교회/NNP
목사는	목사/NNG+는/JX
“주로	“/SS+주로/MAG
하층	하층/NNG
백성들을	백성/NNG+들/XSN+을/JKO
돌본	돌보/VV+ㄴ/ETM
스크랜턴	스크랜턴/NNP
