# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.61
metadata : {}


# id : NWRW1800000048.61.1.1
김종인 “재벌 도와주면 경제 성장?

김종인	김종인/NNP
“재벌	“/SS+재벌/NNG
도와주면	도와주/VV+면/EC
경제	경제/NNG
성장?	성장/NNG+?/SF


# id : NWRW1800000048.61.1.2
잘못된 정책 여전”

잘못된	잘못/MAG+되/XSV+ㄴ/ETM
정책	정책/NNG
여전”	여전/XR+”/SS


# id : NWRW1800000048.61.2.1
동반성장포럼서 경제정책 쓴소리

동반성장포럼서	동반/NNG+성장/NNG+포럼/NNG+서/JKB
경제정책	경제/NNG+정책/NNG
쓴소리	쓴소리/NNG


# id : NWRW1800000048.61.3.1
2012년 대선 때 박근혜 후보 공동선대위원장을 지낸 김종인(75) 전 의원이 재벌에 의존한 경제성장률 높이기 신화에서 벗어나 2%대 성장에서도 조화로운 사회를 만드는 데 경제정책의 초점을 맞춰야 한다고 강조했다.

2012년	2012/SN+년/NNB
대선	대선/NNG
때	때/NNG
박근혜	박근혜/NNP
후보	후보/NNG
공동선대위원장을	공동/NNG+선대위원장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
김종인(75)	김종인/NNP+(/SS+75/SN+)/SS
전	전/MMD
의원이	의원/NNG+이/JKS
재벌에	재벌/NNG+에/JKB
의존한	의존/NNG+하/XSV+ㄴ/ETM
경제성장률	경제/NNG+성장/NNG+률/XSN
높이기	높이/VV+기/ETN
신화에서	신화/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
2%대	2/SN+%/SW+대/XSN
성장에서도	성장/NNG+에서/JKB+도/JX
조화로운	조화/NNG+롭/XSA+ㄴ/ETM
사회를	사회/NNG+를/JKO
만드는	만들/VV+는/ETM
데	데/NNB
경제정책의	경제/NNG+정책/NNG+의/JKG
초점을	초점/NNG+을/JKO
맞춰야	맞추/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.61.3.2
또 박근혜 대통령에 대해서 30년 전 전두환 대통령 시절에 만들어진 경제민주화 헌법 조항에 대한 인식조차 부족하다고 쓴소리를 했다.

또	또/MAG
박근혜	박근혜/NNP
대통령에	대통령/NNG+에/JKB
대해서	대하/VV+아서/EC
30년	30/SN+년/NNB
전	전/NNG
전두환	전두환/NNP
대통령	대통령/NNG
시절에	시절/NNG+에/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
경제민주화	경제/NNG+민주/NNG+화/XSN
헌법	헌법/NNG
조항에	조항/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식조차	인식/NNG+조차/JX
부족하다고	부족/NNG+하/XSA+다고/EC
쓴소리를	쓴소리/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.61.4.1
김 전 의원은 24일 서울 프레스센터에서 열린 제25차 동반성장포럼에서 ‘한국경제가 나아갈 길’을 주제로 한 강연에서 “역대 대통령들은 모두 ‘박정희의 성장 컴플렉스’에서 벗어나지 못해 너도 나도 성장률을 높일 수 있다는 과대망상증에 사로잡혀 있다”면서 “우리 경제의 현실에서는 3%대 성장도 힘들고 오히려 2.5% 정도의 성장이 정상”이라고 말했다.

김	김/NNP
