# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.81
metadata : {}


# id : NWRW1800000021.81.1.1
자살률 높은 4050세대, 상담률 최저

자살률	자살/NNG+률/XSN
높은	높/VA+은/ETM
4050세대,	4050/SN+세대/NNG+,/SP
상담률	상담/NNG+률/XSN
최저	최저/NNG


# id : NWRW1800000021.81.2.1
서울시자살예방센터가 ‘자살위기 상담전화’를 운영하고 있지만 사망자 수가 제일 많은 40, 50대 남성들의 이용률이 가장 낮은 것으로 나타났다.

서울시자살예방센터가	서울시자살예방센터/NNP+가/JKS
‘자살위기	‘/SS+자살/NNG+위기/NNG
상담전화’를	상담/NNG+전화/NNG+’/SS+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
사망자	사망자/NNG
수가	수/NNG+가/JKS
제일	제일/MAG
많은	많/VA+은/ETM
40,	40/SN+,/SP
50대	50/SN+대/NNB
남성들의	남성/NNG+들/XSN+의/JKG
이용률이	이용/NNG+률/XSN+이/JKS
가장	가장/MAG
낮은	낮/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.81.3.1
2005년부터 4년간 자살위기상담전화 총 2만6907건의 내용을 분석해 보니 그랬다.

2005년부터	2005/SN+년/NNB+부터/JX
4년간	4/SN+년/NNB+간/XSN
자살위기상담전화	자살/NNG+위기/NNG+상담/NNG+전화/NNG
총	총/MMA
2만6907건의	2/SN+만/NR+6907/SN+건/NNB+의/JKG
내용을	내용/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
보니	보/VX+니/EC
그랬다.	그렇/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.81.3.2
남성의 상담 비율(38%)이 여성(61.7%)의 절반 정도밖에 되지 않았을 뿐 아니라 40대(14.4%)와 50대(6.4%)가 특히 낮았다.

남성의	남성/NNG+의/JKG
상담	상담/NNG
비율(38%)이	비율/NNG+(/SS+38/SN+%/SW+)/SS+이/JKS
여성(61.7%)의	여성/NNG+(/SS+61/SN+./SP+7/SN+%/SW+)/SS+의/JKG
절반	절반/NNG
정도밖에	정도/NNG+밖에/JX
되지	되/VV+지/EC
않았을	않/VX+았/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
40대(14.4%)와	40/SN+대/NNB+(/SS+14/SN+./SP+4/SN+%/SW+)/SS+와/JC
50대(6.4%)가	50/SN+대/NNB+(/SS+6/SN+./SP+4/SN+%/SW+)/SS+가/JKS
특히	특히/MAG
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.81.3.3
20대는 39.3%, 30대는 20.1%, 10대는 18%였다.

20대는	20/SN+대/NNB+는/JX
39.3%,	39/SN+./SP+3/SN+%/SW+,/SP
30대는	30/SN+대/NNB+는/JX
20.1%,	20/SN+./SP+1/SN+%/SW+,/SP
10대는	10/SN+대/NNB+는/JX
18%였다.	18/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.81.4.1
2007년 통계청 자료에 의하면 40, 50대의 자살사망자 수는 4004명으로 전체 자살사망자의 33%로 가장 많았다.

2007년	2007/SN+년/NNB
통계청	통계청/NNG
자료에	자료/NNG+에/JKB
의하면	의하/VV+면/EC
40,	40/SN+,/SP
50대의	50/SN+대/NNB+의/JKG
자살사망자	자살/NNG+사망자/NNG
수는	수/NNG+는/JX
4004명으로	4004/SN+명/NNB+으로/JKB
전체	전체/NNG
자살사망자의	자살/NNG+사망자/NNG+의/JKG
33%로	33/SN+%/SW+로/JKB
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.81.5.1
남성의 자살충동 원인으로는 경제적 이유가 24%로 가장 높게 나타났고 이어 가정불화(7.9%)와 질환 장애(7%) 등의 순이었다.

남성의	남성/NNG+의/JKG
자살충동	자살/NNG+충동/NNG
원인으로는	원인/NNG+으로/JKB+는/JX
경제적	경제/NNG+적/XSN
이유가	이유/NNG+가/JKS
24%로	24/SN+%/SW+로/JKB
가장	가장/MAG
높게	높/VA+게/EC
나타났고	나타나/VV+았/EP+고/EC
이어	이어/MAG
가정불화(7.9%)와	가정불화/NNG+(/SS+7/SN+./SP+9/SN+%/SW+)/SS+와/JC
질환	질환/NNG
장애(7%)	장애/NNG+(/SS+7/SN+%/SW+)/SS
등의	등/NNB+의/JKG
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.81.5.2
40대는 경제적인 문제, 50대는 가정불화가 좀 더 많았다.

40대는	40/SN+대/NNB+는/JX
경제적인	경제/NNG+적/XSN+이/VCP+ㄴ/ETM
문제,	문제/NNG+,/SP
50대는	50/SN+대/NNB+는/JX
가정불화가	가정불화/NNG+가/JKS
좀	좀/MAG
더	더/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000021.81.5.3
여성은 가정불화가 29%로 가장 높았고, 다음이 질환 장애(9.6%), 이성문제(7%) 등이었다.

여성은	여성/NNG+은/JX
가정불화가	가정불화/NNG+가/JKS
29%로	29/SN+%/SW+로/JKB
가장	가장/MAG
높았고,	높/VA+았/EP+고/EC+,/SP
다음이	다음/NNG+이/JKS
질환	질환/NNG
장애(9.6%),	장애/NNG+(/SS+9/SN+./SP+6/SN+%/SW+)/SS+,/SP
이성문제(7%)	이성/NNG+문제/NNG+(/SS+7/SN+%/SW+)/SS
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.81.6.1
이명수 서울시자살예방센터장은 12일 “대개 40, 50대 남성들은 경제, 가정 문제를 남들에게 이야기하고 도움을 받는 데 익숙하지 않다”고 지적했다.

이명수	이명수/NNP
서울시자살예방센터장은	서울시자살예방센터장/NNG+은/JX
12일	12/SN+일/NNB
“대개	“/SS+대개/MAG
40,	40/SN+,/SP
50대	50/SN+대/NNB
남성들은	남성/NNG+들/XSN+은/JX
경제,	경제/NNG+,/SP
가정	가정/NNG
문제를	문제/NNG+를/JKO
남들에게	남/NNG+들/XSN+에게/JKB
이야기하고	이야기/NNG+하/XSV+고/EC
도움을	도움/NNG+을/JKO
받는	받/VV+는/ETM
데	데/NNB
익숙하지	익숙하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.81.7.1
이 센터장은 “예전과 달리 우울한 기분이 들거나 업무, 대인관계 또는 일상생활에 있어 어려움이 느껴진다면 자가 검진을 통해 스스로의 감정 상태를 체크하거나 가까운 병원을 찾아가는 것이 중요하다”면서 “블루터치핫라인(1577-0199, www.suicide.or.kr)과 같은 무료상담전화 및 상담사이트를 적극 이용하는 것도 좋다”라고 말했다.

이	이/NNP
센터장은	센터장/NNG+은/JX
“예전과	“/SS+예전/NNG+과/JKB
달리	달리/MAG
우울한	우울/NNG+하/XSA+ㄴ/ETM
기분이	기분/NNG+이/JKS
들거나	들/VV+거나/EC
업무,	업무/NNG+,/SP
대인관계	대인/NNG+관계/NNG
또는	또는/MAG
일상생활에	일상생활/NNG+에/JKB
있어	있/VA+어/EC
어려움이	어려움/NNG+이/JKS
느껴진다면	느끼/VV+어/EC+지/VX+ㄴ다면/EC
자가	자가/NNG
검진을	검진/NNG+을/JKO
통해	통하/VV+아/EC
스스로의	스스로/NNG+의/JKG
감정	감정/NNG
상태를	상태/NNG+를/JKO
체크하거나	체크/NNG+하/XSV+거나/EC
가까운	가깝/VA+ㄴ/ETM
병원을	병원/NNG+을/JKO
찾아가는	찾아가/VV+는/ETM
것이	것/NNB+이/JKS
중요하다”면서	중요/NNG+하/XSA+다/EF+”/SS+면서/EC
“블루터치핫라인(1577-0199,	“/SS+블루터치핫라인/NNP+(/SS+1577/SN+-/SO+0199/SN+,/SP
www.suicide.or.kr)과	www/SL+./SP+suicide/SL+./SP+or/SL+./SP+kr/SL+)/SS+과/JKB
같은	같/VA+은/ETM
무료상담전화	무료/NNG+상담/NNG+전화/NNG
및	및/MAG
상담사이트를	상담/NNG+사이트/NNG+를/JKO
적극	적극/NNG
이용하는	이용/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
좋다”라고	좋/VA+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


