# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.29
metadata : {}


# id : NWRW1800000026.29.1.1
4대江 보상비 500억 늘어;어민 어업권 사전보상 추가로

4대江	4/SN+대/NNG+江/SH
보상비	보상비/NNG
500억	500/SN+억/NR
늘어;어민	늘/VV+어/EF+;/SW+어민/NNG
어업권	어업/NNG+권/XSN
사전보상	사전/NNG+보상/NNG
추가로	추가/NNG+로/JKB


# id : NWRW1800000026.29.2.1
4대강 살리기 사업으로 발생하는 어민들의 피해를 줄이기 위해 어업권 사전보상이 실시된다.

4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업으로	사업/NNG+으로/JKB
발생하는	발생/NNG+하/XSV+는/ETM
어민들의	어민/NNG+들/XSN+의/JKG
피해를	피해/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
어업권	어업/NNG+권/XSN
사전보상이	사전/NNG+보상/NNG+이/JKS
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.29.2.2
국토해양부는 4대강 살리기 사업의 보(洑) 공사와 준설 등으로 흙탕물 등이 발생해 어민들의 어업 피해가 발생할 것으로 예상됨에 따라 해당 지역 어민들을 대상으로 올해 내 어업권 사전보상에 착수한다고 20일 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업의	사업/NNG+의/JKG
보(洑)	보/NNG+(/SS+洑/SH+)/SS
공사와	공사/NNG+와/JC
준설	준설/NNG
등으로	등/NNB+으로/JKB
흙탕물	흙탕물/NNG
등이	등/NNB+이/JKS
발생해	발생/NNG+하/XSV+아/EC
어민들의	어민/NNG+들/XSN+의/JKG
어업	어업/NNG
피해가	피해/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됨에	예상/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
해당	해당/NNG
지역	지역/NNG
어민들을	어민/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
올해	올해/NNG
내	내/NNB
어업권	어업/NNG+권/XSN
사전보상에	사전/NNG+보상/NNG+에/JKB
착수한다고	착수/NNG+하/XSV+ㄴ다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.29.3.1
일반적으로 하천 개발 사업에 따른 어업권 보상은 공사가 끝난 후 피해액을 산출해 진행하는 '사후보상'을 한다.

일반적으로	일반/NNG+적/XSN+으로/JKB
하천	하천/NNG
개발	개발/NNG
사업에	사업/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
어업권	어업/NNG+권/XSN
보상은	보상/NNG+은/JX
공사가	공사/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
피해액을	피해액/NNG+을/JKO
산출해	산출/NNG+하/XSV+아/EC
진행하는	진행/NNG+하/XSV+는/ETM
'사후보상'을	'/SS+사후/NNG+보상/NNG+'/SS+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.29.4.1
국토부는 원칙적으로 하천에 직접적인 영향을 주는 보 등 시설물 설치구역과 준설하는 구간에서 조업하고 있는 어민들을 대상으로 우선 보상을 실시하기로 했다.

국토부는	국토부/NNG+는/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
하천에	하천/NNG+에/JKB
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
주는	주/VV+는/ETM
보	보/NNG
등	등/NNB
시설물	시설물/NNG
설치구역과	설치/NNG+구역/NNG+과/JC
준설하는	준설/NNG+하/XSV+는/ETM
구간에서	구간/NNG+에서/JKB
조업하고	조업/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
어민들을	어민/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
우선	우선/MAG
보상을	보상/NNG+을/JKO
실시하기로	실시/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.29.5.1
국토부는 다음 달 중 어업권 보상의 제한범위 설정, 기본조사 등 보상계획을 최종적으로 확정하고, 3월부터 감정평가 작업에 착수해 늦어도 올해 말부터는 피해 어민들에게 보상금을 지급할 방침이다.

국토부는	국토부/NNG+는/JX
다음	다음/NNG
달	달/NNG
중	중/NNB
어업권	어업/NNG+권/XSN
보상의	보상/NNG+의/JKG
제한범위	제한/NNG+범위/NNG
설정,	설정/NNG+,/SP
기본조사	기본/NNG+조사/NNG
등	등/NNB
보상계획을	보상/NNG+계획/NNG+을/JKO
최종적으로	최종/NNG+적/XSN+으로/JKB
확정하고,	확정/NNG+하/XSV+고/EC+,/SP
3월부터	3/SN+월/NNB+부터/JX
감정평가	감정/NNG+평가/NNG
작업에	작업/NNG+에/JKB
착수해	착수/NNG+하/XSV+아/EC
늦어도	늦/VA+어도/EC
올해	올해/NNG
말부터는	말/NNB+부터/JX+는/JX
피해	피해/NNG
어민들에게	어민/NNG+들/XSN+에게/JKB
보상금을	보상금/NNG+을/JKO
지급할	지급/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.29.6.1
국토부는 4대강 내 어업권 보상 대상은 약 1200여건 정도이며 보상금액은 500억원 안팎으로 예상하고 있다.

국토부는	국토부/NNG+는/JX
4대강	4/SN+대/NNG+강/NNG
내	내/NNB
어업권	어업/NNG+권/XSN
보상	보상/NNG
대상은	대상/NNG+은/JX
약	약/MMA
1200여건	1200/SN+여/XSN+건/NNB
정도이며	정도/NNG+이/VCP+며/EC
보상금액은	보상/NNG+금액/NNG+은/JX
500억원	500/SN+억/NR+원/NNB
안팎으로	안팎/NNG+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.29.6.2
그러나 어업보상은 당초 마스터플랜에서 제시한 4대강 살리기 사업의 토지보상비(1조5000억원)에는 제외된 금액이어서 보상비 증가 요인으로 작용할 전망이다.

그러나	그러나/MAJ
어업보상은	어업/NNG+보상/NNG+은/JX
당초	당초/NNG
마스터플랜에서	마스터플랜/NNG+에서/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
4대강	4/SN+대/NNG+강/NNG
살리기	살리/VV+기/ETN
사업의	사업/NNG+의/JKG
토지보상비(1조5000억원)에는	토지/NNG+보상비/NNG+(/SS+1/SN+조/NR+5000/SN+억/NR+원/NNB+)/SS+에/JKB+는/JX
제외된	제외/NNG+되/XSV+ㄴ/ETM
금액이어서	금액/NNG+이/VCP+어서/EC
보상비	보상비/NNG
증가	증가/NNG
요인으로	요인/NNG+으로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
