# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.337
metadata : {}


# id : NWRW1800000033.337.1.1
北, 日과 9일 10년만에 적십자회담… 南따돌리기 노골화

北,	北/SH+,/SP
日과	日/SH+과/JKB
9일	9/SN+일/NNB
10년만에	10/SN+년/NNB+만/NNB+에/JKB
적십자회담…	적십자/NNP+회담/NNG+…/SE
南따돌리기	南/SH+따돌리/VV+기/ETN
노골화	노골/NNG+화/XSN


# id : NWRW1800000033.337.2.1
■ 베이징서 10일까지 개최

■	■/SW
베이징서	베이징/NNP+서/JKB
10일까지	10/SN+일/NNB+까지/JX
개최	개최/NNG


# id : NWRW1800000033.337.3.1
북한과 일본이 9∼10일 중국 베이징에서 적십자회담을 연다.

북한과	북한/NNP+과/JC
일본이	일본/NNP+이/JKS
9∼10일	9/SN+∼/SO+10/SN+일/NNB
중국	중국/NNP
베이징에서	베이징/NNP+에서/JKB
적십자회담을	적십자/NNP+회담/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.337.3.2
북-일 적십자회담은 2002년 8월 평양에서 열린 이후 10년 만이다.

북-일	북-일/NNP
적십자회담은	적십자/NNP+회담/NNG+은/JX
2002년	2002/SN+년/NNB
8월	8/SN+월/NNB
평양에서	평양/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
이후	이후/NNG
10년	10/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.337.4.1
북한 조선중앙통신은 7일 “조선적십자회와 일본적십자사 사이의 회담이 9일과 10일 베이징에서 진행된다”고 밝혔다.

북한	북한/NNP
조선중앙통신은	조선중앙통신/NNP+은/JX
7일	7/SN+일/NNB
“조선적십자회와	“/SS+조선적십자회/NNP+와/JC
일본적십자사	일본적십자사/NNP
사이의	사이/NNG+의/JKG
회담이	회담/NNG+이/JKS
9일과	9/SN+일/NNB+과/JC
10일	10/SN+일/NNB
베이징에서	베이징/NNP+에서/JKB
진행된다”고	진행/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.337.4.2
북한이 일본과 교섭을 가지면서 이를 스스로 밝힌 것은 이례적이다.

북한이	북한/NNP+이/JKS
일본과	일본/NNP+과/JKB
교섭을	교섭/NNG+을/JKO
가지면서	가지/VV+면서/EC
이를	이/NP+를/JKO
스스로	스스로/MAG
밝힌	밝히/VV+ㄴ/ETM
것은	것/NNB+은/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.337.4.3
북한은 그동안 송일호 북-일 교섭담당 대사가 여러 차례 일본 측과 만나 납북자 문제를 논의했지만 사전에 접촉 계획을 공개한 것은 이번이 처음이다.

북한은	북한/NNP+은/JX
그동안	그동안/NNG
송일호	송일호/NNP
북-일	북-일/NNP
교섭담당	교섭/NNG+담당/NNG
대사가	대사/NNG+가/JKS
여러	여러/MMN
차례	차례/NNG
일본	일본/NNP
측과	측/NNB+과/JKB
만나	만나/VV+아/EC
납북자	납북자/NNG
문제를	문제/NNG+를/JKO
논의했지만	논의/NNG+하/XSV+았/EP+지만/EC
사전에	사전/NNG+에/JKB
접촉	접촉/NNG
계획을	계획/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.337.5.1
앞서 최선희 북한 외무성 미국국 부국장도 3일 미국의소리(VOA) 방송에 e메일을 보내 “지난달 31일부터 이달 2일까지 싱가포르에서 미국과 비공식 접촉을 했다”고 밝힌 바 있다.

앞서	앞서/MAG
최선희	최선희/NNP
북한	북한/NNP
외무성	외무성/NNG
미국국	미국국/NNG
부국장도	부국장/NNG+도/JX
3일	3/SN+일/NNB
미국의소리(VOA)	미국의소리/NNP+(/SS+VOA/SL+)/SS
방송에	방송/NNG+에/JKB
e메일을	e/SL+메일/NNG+을/JKO
보내	보내/VV+어/EC
“지난달	“/SS+지난달/NNG
31일부터	31/SN+일/NNB+부터/JX
이달	이달/NNG
2일까지	2/SN+일/NNB+까지/JX
싱가포르에서	싱가포르/NNP+에서/JKB
미국과	미국/NNP+과/JKB
비공식	비/XPN+공식/NNG
접촉을	접촉/NNG+을/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.337.5.2
북한이 김정은 체제 등장 이후 남북 접촉은 외면하면서 주변국과의 접촉을 가속화하는 셈이다.

북한이	북한/NNP+이/JKS
김정은	김정은/NNP
체제	체제/NNG
등장	등장/NNG
이후	이후/NNG
남북	남북/NNP
접촉은	접촉/NNG+은/JX
외면하면서	외면/NNG+하/XSV+면서/EC
주변국과의	주변국/NNG+과/JKB+의/JKG
접촉을	접촉/NNG+을/JKO
가속화하는	가속/NNG+화/XSN+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.337.5.3
특히 접촉 사실을 공개해 국제여론의 주목을 끌겠다는 의도를 숨기지 않고 있다.

특히	특히/MAG
접촉	접촉/NNG
사실을	사실/NNG+을/JKO
공개해	공개/NNG+하/XSV+아/EC
국제여론의	국제/NNG+여론/NNG+의/JKG
