# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.144
metadata : {}


# id : NWRW1800000041.144.1.1
‘불교 나라’ 스리랑카에서 오는 부처님 진신사리 2과

‘불교	‘/SS+불교/NNG
나라’	나라/NNG+’/SS
스리랑카에서	스리랑카/NNP+에서/JKB
오는	오/VV+는/ETM
부처님	부처/NNP+님/XSN
진신사리	진신/NNG+사리/NNG
2과	2/SN+과/NNB


# id : NWRW1800000041.144.2.1
현지 정부 공인 진품… 2일 부천 석왕사서 봉안법회

현지	현지/NNG
정부	정부/NNG
공인	공인/NNG
진품…	진품/NNG+…/SE
2일	2/SN+일/NNB
부천	부천/NNP
석왕사서	석왕사/NNP+서/JKB
봉안법회	봉안/NNG+법회/NNG


# id : NWRW1800000041.144.3.1
《 “세월호 참사 소식을 듣고 마음이 아팠습니다.

《	《/SS
“세월호	“/SS+세월호/NNP
참사	참사/NNG
소식을	소식/NNG+을/JKO
듣고	듣/VV+고/EC
마음이	마음/NNG+이/JKS
아팠습니다.	아프/VA+았/EP+습니다/EF+./SF


# id : NWRW1800000041.144.3.2
슬픔에 빠진 한국 국민들에게 부처님 진신사리가 위로가 됐으면 합니다.

슬픔에	슬픔/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
한국	한국/NNP
국민들에게	국민/NNG+들/XSN+에게/JKB
부처님	부처/NNP+님/XSN
진신사리가	진신/NNG+사리/NNG+가/JKS
위로가	위로/NNG+가/JKC
됐으면	되/VV+었/EP+으면/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000041.144.3.3
세월호 희생자들도 니르바나(열반)에 들고, 극락왕생하길 빌겠습니다.”

세월호	세월호/NNP
희생자들도	희생자/NNG+들/XSN+도/JX
니르바나(열반)에	니르바나/NNG+(/SS+열반/NNG+)/SS+에/JKB
들고,	들/VV+고/EC+,/SP
극락왕생하길	극락왕생/NNG+하/XSV+기/ETN+ㄹ/JKO
빌겠습니다.”	빌/VV+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000041.144.3.4
마힌다 라자팍세 스리랑카 대통령이 지난달 28일(현지 시간) 수도 콜롬보 대통령궁 보리수나무 정원에서 열린 부처님 진신사리 이운식에서 세월호 희생자와 유가족을 위로했다.

마힌다	마힌다/NNP
라자팍세	라자팍세/NNP
스리랑카	스리랑카/NNP
대통령이	대통령/NNG+이/JKS
지난달	지난달/NNG
28일(현지	28/SN+일/NNB+(/SS+현지/NNG
