# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.234
metadata : {}


# id : NWRW1800000046.234.1.1
IOC "평창동계올림픽 준비 순조롭다"

IOC	IOC/SL
"평창동계올림픽	"/SS+평창/NNP+동계/NNG+올림픽/NNG
준비	준비/NNG
순조롭다"	순조/NNG+롭/XSA+다/EF+"/SS


# id : NWRW1800000046.234.2.1
5차 조정위원회 막 내려 "내년에 테스트이벤트… 긴장 늦추지 말아야"

5차	5/SN+차/NNB
조정위원회	조정/NNG+위원회/NNG
막	막/NNG
내려	내리/VV+어/EF
"내년에	"/SS+내년/NNG+에/JKB
테스트이벤트…	테스트/NNG+이벤트/NNG+…/SE
긴장	긴장/NNG
늦추지	늦추/VV+지/EC
말아야"	말/VX+아야/EC+"/SS


# id : NWRW1800000046.234.3.1
2018 평창 동계올림픽 준비 과정을 점검하는 IOC(국제올림픽위원회) 제5차 조정위원회가 24일 강원도 알펜시아리조트에서 막을 내렸다.

2018	2018/SN
평창	평창/NNP
동계올림픽	동계/NNG+올림픽/NNG
준비	준비/NNG
과정을	과정/NNG+을/JKO
점검하는	점검/NNG+하/XSV+는/ETM
IOC(국제올림픽위원회)	IOC/SL+(/SS+국제올림픽위원회/NNP+)/SS
제5차	제/XPN+5/SN+차/NNB
조정위원회가	조정/NNG+위원회/NNG+가/JKS
24일	24/SN+일/NNB
강원도	강원도/NNP
알펜시아리조트에서	알펜시아리조트/NNP+에서/JKB
막을	막/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.234.4.1
구닐라 린드베리〈사진〉 조정위원장은 이날 기자회견에서 "대회 준비가 순조롭게 진행되고 있다. 중앙정부와 강원도, 개최 도시 관계자들이 지속적인 지원을 하고 있다는 것을 확인할 수 있는 자리였다"고 만족감을 나타냈다.

구닐라	구닐라/NNP
린드베리〈사진〉	린드베리/NNP+〈/SS+사진/NNG+〉/SS
조정위원장은	조정/NNG+위원장/NNG+은/JX
이날	이날/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"대회	"/SS+대회/NNG
준비가	준비/NNG+가/JKS
순조롭게	순조/NNG+롭/XSA+게/EC
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF
중앙정부와	중앙/NNG+정부/NNG+와/JC
강원도,	강원도/NNP+,/SP
개최	개최/NNG
도시	도시/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
것을	것/NNB+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자리였다"고	자리/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
만족감을	만족감/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.234.5.1
IOC는 이번 조정위원회를 통해 테스트 이벤트의 성공적인 개최를 강조했다.

IOC는	IOC/SL+는/JX
이번	이번/NNG
조정위원회를	조정/NNG+위원회/NNG+를/JKO
통해	통하/VV+아/EC
테스트	테스트/NNG
이벤트의	이벤트/NNG+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
개최를	개최/NNG+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.234.5.2
테스트 이벤트는 올림픽 개막에 1~2년 앞서 선수들이 올림픽 대회를 치를 경기장에서 실전을 치르는, 일종의 '모의고사'다.

테스트	테스트/NNG
이벤트는	이벤트/NNG+는/JX
올림픽	올림픽/NNG
