# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.303
metadata : {}


# id : NWRW1800000032.303.1.1
부활 꿈꾸는 오리온스와 추감독

부활	부활/NNG
꿈꾸는	꿈꾸/VV+는/ETM
오리온스와	오리온스/NNP+와/JC
추감독	추/NNP+감독/NNG


# id : NWRW1800000032.303.2.1
[김동훈 기자의 슬램덩크]

[김동훈	[/SS+김동훈/NNP
기자의	기자/NNG+의/JKG
슬램덩크]	슬램/NNG+덩크/NNG+]/SS


# id : NWRW1800000032.303.3.1
#장면 1. 시작은 미약했다.

#장면	#/SW+장면/NNG
1.	1/SN+./SF
시작은	시작/NNG+은/JX
미약했다.	미약하/VA+았/EP+다/EF+./SF


# id : NWRW1800000032.303.3.2
대구 오리온스는 프로농구 초창기 꼴찌를 두번이나 했다.

대구	대구/NNP
오리온스는	오리온스/NNP+는/JX
프로농구	프로/NNG+농구/NNG
초창기	초창기/NNG
꼴찌를	꼴찌/NNG+를/JKO
두번이나	두/MMN+번/NNB+이나/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.3.3
주전 선수들이 대거 군에 입대한 1998~1999 시즌에는 32연패의 수모도 당했다.

주전	주전/NNG
선수들이	선수/NNG+들/XSN+이/JKS
대거	대거/MAG
군에	군/NNG+에/JKB
입대한	입대/NNG+하/XSV+ㄴ/ETM
1998~1999	1998/SN+~/SO+1999/SN
시즌에는	시즌/NNG+에/JKB+는/JX
32연패의	32/SN+연패/NNG+의/JKG
수모도	수모/NNG+도/JX
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.3.4
명문 구단으로 가는 길은 아득해 보였다.

명문	명문/NNG
구단으로	구단/NNG+으로/JKB
가는	가/VV+는/ETM
길은	길/NNG+은/JX
아득해	아득하/VA+아/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.303.4.1
추일승 감독의 시작도 미약했다.

추일승	추일승/NNP
감독의	감독/NNG+의/JKG
시작도	시작/NNG+도/JX
미약했다.	미약하/VA+았/EP+다/EF+./SF


# id : NWRW1800000032.303.4.2
홍대부고 2학년이던 1979년 단지 키(1m86)가 크다는 이유로 체육교사의 눈에 띄어 농구부에 들어갔다.

홍대부고	홍대부고/NNP
2학년이던	2/SN+학년/NNG+이/VCP+던/ETM
1979년	1979/SN+년/NNB
단지	단지/MAG
키(1m86)가	키/NNG+(/SS+1/SN+m/SW+86/SN+)/SS+가/JKS
크다는	크/VA+다는/ETM
이유로	이유/NNG+로/JKB
체육교사의	체육/NNG+교사/NNG+의/JKG
눈에	눈/NNG+에/JKB
띄어	띄/VV+어/EC
농구부에	농구부/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.4.3
같은 재단인 홍익대를 거쳐 실업팀 기아자동차에 입단했다.

같은	같/VA+은/ETM
재단인	재단/NNG+이/VCP+ㄴ/ETM
홍익대를	홍익대/NNP+를/JKO
거쳐	거치/VV+어/EC
실업팀	실업/NNG+팀/NNG
기아자동차에	기아자동차/NNP+에/JKB
입단했다.	입단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.303.4.4
하지만 센터치고는 키가 작았고 한기범, 김유택의 그늘에 가려 선수 생활은 변변치 못했다.

하지만	하지만/MAJ
센터치고는	센터/NNG+치고/JX+는/JX
키가	키/NNG+가/JKS
작았고	작/VA+았/EP+고/EC
한기범,	한기범/NNP+,/SP
김유택의	김유택/NNP+의/JKG
그늘에	그늘/NNG+에/JKB
가려	가리/VV+어/EC
선수	선수/NNG
생활은	생활/NNG+은/JX
변변치	변변하/VA+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.303.5.1
#장면 2. 오리온스에 기회가 왔다.

#장면	#/SW+장면/NNG
2.	2/SN+./SF
오리온스에	오리온스/NNP+에/JKB
기회가	기회/NNG+가/JKS
