# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.367
metadata : {}


# id : NWRW1800000036.367.1.1
민주당 청년대표 신청자들 공약 보니…

민주당	민주당/NNP
청년대표	청년/NNG+대표/NNG
신청자들	신청자/NNG+들/XSN
공약	공약/NNG
보니…	보/VV+니/EC+…/SE


# id : NWRW1800000036.367.2.1
[한겨레] 일자리·개혁·소통·등록금 ‘화두’

[한겨레]	[/SS+한겨레/NNP+]/SS
일자리·개혁·소통·등록금	일자리/NNG+·/SP+개혁/NNG+·/SP+소통/NNG+·/SP+등록금/NNG
‘화두’	‘/SS+화두/NNG+’/SS


# id : NWRW1800000036.367.3.1
대한민국 청년들은 자신에게 힘이 있다면 무엇을 바꾸고 싶을까.

대한민국	대한민국/NNP
청년들은	청년/NNG+들/XSN+은/JX
자신에게	자신/NNG+에게/JKB
힘이	힘/NNG+이/JKS
있다면	있/VA+다면/EC
무엇을	무엇/NP+을/JKO
바꾸고	바꾸/VV+고/EC
싶을까.	싶/VX+을까/EF+./SF


# id : NWRW1800000036.367.4.1
민주통합당 청년 비례대표 국회의원 신청자들의 의지를 전체 청년들의 그것으로 일반화하는 것은 무리가 있다.

민주통합당	민주통합당/NNP
청년	청년/NNG
비례대표	비례/NNG+대표/NNG
국회의원	국회/NNG+의원/NNG
신청자들의	신청자/NNG+들/XSN+의/JKG
의지를	의지/NNG+를/JKO
전체	전체/NNG
청년들의	청년/NNG+들/XSN+의/JKG
그것으로	그것/NP+으로/JKB
일반화하는	일반/NNG+화/XSN+하/XSV+는/ETM
것은	것/NNB+은/JX
무리가	무리/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.367.4.2
하지만 이들이 청년 비례대표 신청 홈페이지 ‘락파티(www.rockparty.kr)’에 올린 동영상에서 밝힌 지원 동기와 공약을 보면 어느 정도 가닥이 잡힌다.

하지만	하지만/MAJ
이들이	이/NP+들/XSN+이/JKS
청년	청년/NNG
비례대표	비례/NNG+대표/NNG
신청	신청/NNG
홈페이지	홈페이지/NNG
‘락파티(www.rockparty.kr)’에	‘/SS+락파티/NNP+(/SS+www/SL+./SP+rockparty/SL+./SP+kr/SL+)/SS+’/SS+에/JKB
올린	올리/VV+ㄴ/ETM
동영상에서	동영상/NNG+에서/JKB
밝힌	밝히/VV+ㄴ/ETM
지원	지원/NNG
동기와	동기/NNG+와/JC
공약을	공약/NNG+을/JKO
보면	보/VV+면/EC
어느	어느/MMD
정도	정도/NNG
가닥이	가닥/NNG+이/JKS
잡힌다.	잡히/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.367.4.3
일자리였다.

일자리였다.	일자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.367.5.1
청년 비례대표 신청자 가운데 한 명인 권호현 후보(28)가 신청자 372명의 동영상을 분석한 자료를 보면, 단일 공약으로는 일자리 창출과 일자리 질 개선, 취업교육 등 일자리에 관한 의제와 공약이 모두 177건으로 가장 많았다.

청년	청년/NNG
비례대표	비례/NNG+대표/NNG
신청자	신청자/NNG
가운데	가운데/NNG
한	한/MMN
명인	명/NNB+이/VCP+ㄴ/ETM
권호현	권호현/NNP
후보(28)가	후보/NNG+(/SS+28/SN+)/SS+가/JKS
372명의	372/SN+명/NNB+의/JKG
동영상을	동영상/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
단일	단일/NNG
공약으로는	공약/NNG+으로/JKB+는/JX
일자리	일자리/NNG
창출과	창출/NNG+과/JC
질	질/NNG
개선,	개선/NNG+,/SP
취업교육	취업/NNG+교육/NNG
등	등/NNB
일자리에	일자리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
의제와	의제/NNG+와/JC
공약이	공약/NNG+이/JKS
모두	모두/MAG
177건으로	177/SN+건/NNB+으로/JKB
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000036.367.5.2
신청자들이 20대와 35살 이하의 30대여서 청년 실업에 대한 체감도가 다른 연령층에 비해 상대적으로 높고, 전체 신청자의 20% 가량이 실제 취업준비생인 점도 이 같은 결과에 반영된 것으로 보인다.

신청자들이	신청자/NNG+들/XSN+이/JKS
20대와	20/SN+대/NNB+와/JC
35살	35/SN+살/NNB
이하의	이하/NNG+의/JKG
30대여서	30/SN+대/NNB+이/VCP+어서/EC
청년	청년/NNG
실업에	실업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
체감도가	체감도/NNG+가/JKS
다른	다른/MMD
