# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.40
metadata : {}


# id : NWRW1800000044.40.1.1
취업시즌 ‘면접 대비’ 이색용품 불티

취업시즌	취업/NNG+시즌/NNG
‘면접	‘/SS+면접/NNG
대비’	대비/NNG+’/SS
이색용품	이색/NNG+용품/NNG
불티	불티/NNG


# id : NWRW1800000044.40.2.1
[한겨레] 그래픽 뉴스

[한겨레]	[/SS+한겨레/NNP+]/SS
그래픽	그래픽/NNG
뉴스	뉴스/NNG


# id : NWRW1800000044.40.3.1
공채 기간 20대가 정장 구매 주도 20

공채	공채/NNG
기간	기간/NNG
20대가	20/SN+대/NNB+가/JKS
정장	정장/NNG
구매	구매/NNG
주도	주도/NNG
20	20/SN


# id : NWRW1800000044.40.4.1
미소교정기 452%·헤어왁스 116%↑

미소교정기	미소/NNG+교정기/NNG
452%·헤어왁스	452/SN+%/SW+·/SP+헤어왁스/NNG
116%↑	116/SN+%/SW+↑/SW


# id : NWRW1800000044.40.5.1
하반기 기업 공채 기간을 맞아 온라인쇼핑몰에서 면접용 물품 구매가 늘었다.

하반기	하반기/NNG
기업	기업/NNG
공채	공채/NNG
기간을	기간/NNG+을/JKO
맞아	맞/VV+아/EC
온라인쇼핑몰에서	온라인/NNG+쇼핑몰/NNG+에서/JKB
면접용	면접/NNG+용/XSN
물품	물품/NNG
구매가	구매/NNG+가/JKS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.40.5.2
면접 필수품인 정장뿐 아니라 미소교정기·쌍커풀 생성 안경 등 이색 미용 용품 구매도 이어지고 있다.

면접	면접/NNG
필수품인	필수품/NNG+이/VCP+ㄴ/ETM
정장뿐	정장/NNG+뿐/JX
아니라	아니/VCN+라/EC
미소교정기·쌍커풀	미소/NNG+교정기/NNG+·/SP+쌍커풀/NNG
생성	생성/NNG
안경	안경/NNG
등	등/NNB
이색	이색/NNG
미용	미용/NNG
용품	용품/NNG
구매도	구매/NNG+도/JX
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.40.6.1
오픈마켓 11번가에서는 공채 기간만 되면 20대 소비자의 정장 구매량이 주 소비층이 30~40대 소비자의 구매량을 뛰어 넘는다.

오픈마켓	오픈마켓/NNG
11번가에서는	11번가/NNP+에서/JKB+는/JX
공채	공채/NNG
기간만	기간/NNG+만/JX
