# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.305
metadata : {}


# id : NWRW1800000038.305.1.1
[정권현의 법과 사회] 채동욱 검찰총장이 '왕따'가 된 이유는?

[정권현의	[/SS+정권현/NNP+의/JKG
법과	법/NNG+과/JC
사회]	사회/NNG+]/SS
채동욱	채동욱/NNP
검찰총장이	검찰/NNG+총장/NNG+이/JKS
'왕따'가	'/SS+왕따/NNG+'/SS+가/JKC
된	되/VV+ㄴ/ETM
이유는?	이유/NNG+는/JX+?/SF


# id : NWRW1800000038.305.2.1
보기 드문 일이 벌어지고 있다.

보기	보/VV+기/ETN
드문	드물/VA+ㄴ/ETM
일이	일/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.305.2.2
검찰의 수사 결과를 놓고, 대통령과 검찰총장이 서로 다른 얘기를 하다니! '국정원 댓글 의혹 사건'을 두고서다.

검찰의	검찰/NNG+의/JKG
수사	수사/NNG
결과를	결과/NNG+를/JKO
놓고,	놓/VV+고/EC+,/SP
대통령과	대통령/NNG+과/JC
검찰총장이	검찰/NNG+총장/NNG+이/JKS
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
얘기를	얘기/NNG+를/JKO
하다니!	하/VV+다니/EC+!/SF
'국정원	'/SS+국정원/NNG
댓글	댓글/NNG
의혹	의혹/NNG
사건'을	사건/NNG+'/SS+을/JKO
두고서다.	두/VV+고서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000038.305.3.1
박근혜 대통령은 26일 청와대 수석비서관 회의에서 "지난 대선에서 국정원으로부터 어떤 도움도 받지 않았고 선거에 활용한 적도 없다"고 재차 강조했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
26일	26/SN+일/NNB
청와대	청와대/NNP
수석비서관	수석/NNG+비서관/NNG
회의에서	회의/NNG+에서/JKB
"지난	"/SS+지나/VV+ㄴ/ETM
대선에서	대선/NNG+에서/JKB
국정원으로부터	국정원/NNG+으로부터/JKB
어떤	어떤/MMD
도움도	도움/NNG+도/JX
받지	받/VV+지/EC
않았고	않/VX+았/EP+고/EC
선거에	선거/NNG+에/JKB
활용한	활용/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
