# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.260
metadata : {}


# id : NWRW1800000022.260.1.1
[조선데스크] G2(美·中)시대의 유학생들

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
G2(美·中)시대의	G/SL+2/SN+(/SS+美/SH+·/SP+中/SH+)/SS+시대/NNG+의/JKG
유학생들	유학/NNG+생/XSN+들/XSN


# id : NWRW1800000022.260.2.1
지금 미·중 전략대화가 문제가 아니다.

지금	지금/MAG
미·중	미/NNP+·/SP+중/NNP
전략대화가	전략/NNG+대화/NNG+가/JKS
문제가	문제/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.260.2.2
미디어법과 쌍용차, 북한핵 국제협상 문제로 온 나라가 혼란스럽던 지난 22일, 중국 원자바오(溫家寶) 총리의 발언에 겁이 덜컥 났다.

미디어법과	미디어법/NNG+과/JC
쌍용차,	쌍용차/NNP+,/SP
북한핵	북한/NNP+핵/NNG
국제협상	국제/NNG+협상/NNG
문제로	문제/NNG+로/JKB
온	온/MMN
나라가	나라/NNG+가/JKS
혼란스럽던	혼란/NNG+스럽/XSA+던/ETM
지난	지나/VV+ㄴ/ETM
22일,	22/SN+일/NNB+,/SP
중국	중국/NNP
원자바오(溫家寶)	원자바오/NNP+(/SS+溫家寶/SH+)/SS
총리의	총리/NNG+의/JKG
발언에	발언/NNG+에/JKB
겁이	겁/NNG+이/JKS
덜컥	덜컥/MAG
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.260.2.3
한국의 9배인 2조1316억달러(6월말 현재)의 외환보유액을 중국기업들의 해외기업 M&A(인수·합병) 지원에 사용하겠다는 내용이었는데, 필자에게는 마치 한국에 대한 '경고음'처럼 들렸다.

한국의	한국/NNP+의/JKG
9배인	9/SN+배/NNG+이/VCP+ㄴ/ETM
2조1316억달러(6월말	2/SN+조/NR+1316/SN+억/NR+달러/NNB+(/SS+6/SN+월/NNB+말/NNB
현재)의	현재/NNG+)/SS+의/JKG
외환보유액을	외환/NNG+보유액/NNG+을/JKO
중국기업들의	중국/NNP+기업/NNG+들/XSN+의/JKG
해외기업	해외/NNG+기업/NNG
M&A(인수·합병)	M/SL+&/SW+A/SL+(/SS+인수/NNG+·/SP+합병/NNG+)/SS
지원에	지원/NNG+에/JKB
사용하겠다는	사용/NNG+하/XSV+겠/EP+다는/ETM
내용이었는데,	내용/NNG+이/VCP+었/EP+는데/EC+,/SP
필자에게는	필자/NNG+에게/JKB+는/JX
마치	마치/MAG
한국에	한국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
'경고음'처럼	'/SS+경고음/NNG+'/SS+처럼/JKB
