# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.342
metadata : {}


# id : NWRW1800000025.342.1.1
유럽 反긴축 물결

유럽	유럽/NNP
反긴축	反/SH+긴축/NNG
물결	물결/NNG


# id : NWRW1800000025.342.2.1
서유럽 여러 나라가 재정적자를 줄이기 위한 고강도 긴축정책을 펴자 이에 반발하는 노동자와 학생의 시위가 이어지고 있다.

서유럽	서유럽/NNP
여러	여러/MMN
나라가	나라/NNG+가/JKS
재정적자를	재정/NNG+적자/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
고강도	고/XPN+강도/NNG
긴축정책을	긴축/NNG+정책/NNG+을/JKO
펴자	펴/VV+자/EC
이에	이/NP+에/JKB
반발하는	반발/NNG+하/XSV+는/ETM
노동자와	노동자/NNG+와/JC
학생의	학생/NNG+의/JKG
시위가	시위/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.342.3.1
850억 유로의 구제금융 지원이 확정된 아일랜드는 27일 수도 더블린에서 정부의 긴축재정과 구제금융 협상에 반대하는 노동자와 시민 5만여 명(경찰 추산)이 모여 “긴축재정으로 회복할 수 없는 사회적, 경제적 불모지가 될 것”이라고 주장했다.

850억	850/SN+억/NR
유로의	유로/NNB+의/JKG
구제금융	구제/NNG+금융/NNG
지원이	지원/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
아일랜드는	아일랜드/NNP+는/JX
27일	27/SN+일/NNB
수도	수도/NNG
더블린에서	더블린/NNP+에서/JKB
정부의	정부/NNG+의/JKG
긴축재정과	긴축/NNG+재정/NNG+과/JC
협상에	협상/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
노동자와	노동자/NNG+와/JC
시민	시민/NNG
5만여	5/SN+만/NR+여/XSN
명(경찰	명/NNB+(/SS+경찰/NNG
추산)이	추산/NNG+)/SS+이/JKS
모여	모이/VV+어/EC
“긴축재정으로	“/SS+긴축/NNG+재정/NNG+으로/JKB
회복할	회복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사회적,	사회/NNG+적/XSN+,/SP
경제적	경제/NNG+적/XSN
불모지가	불모지/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.342.4.1
집회를 주최한 아일랜드노조연맹(ICTU)은 “미래 세대가 백지수표 서명을 요구받고 있다.

집회를	집회/NNG+를/JKO
주최한	주최/NNG+하/XSV+ㄴ/ETM
아일랜드노조연맹(ICTU)은	아일랜드노조연맹/NNP+(/SS+ICTU/SL+)/SS+은/JX
“미래	“/SS+미래/NNG
세대가	세대/NNG+가/JKS
백지수표	백지/NNG+수표/NNG
서명을	서명/NNG+을/JKO
요구받고	요구/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.342.4.2
우리는 공정한 예산안을 원한다”며 브라이언 카우언 총리의 사퇴를 요구했다.

우리는	우리/NP+는/JX
공정한	공정/NNG+하/XSA+ㄴ/ETM
예산안을	예산안/NNG+을/JKO
원한다”며	원/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
브라이언	브라이언/NNP
카우언	카우언/NNP
총리의	총리/NNG+의/JKG
사퇴를	사퇴/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.342.4.3
아일랜드 정부가 향후 4년간 150억 유로의 재정적자를 감축하기 위해 마련한 예산안에는 △복지 예산 감축 △최저임금 12% 인하, 공무원 임금 10% 삭감 △향후 4년간 공공부문 일자리 2만5000개 축소 등이 포함돼 있다.

아일랜드	아일랜드/NNP
정부가	정부/NNG+가/JKS
향후	향후/NNG
4년간	4/SN+년/NNB+간/XSN
150억	150/SN+억/NR
유로의	유로/NNB+의/JKG
재정적자를	재정/NNG+적자/NNG+를/JKO
감축하기	감축/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
마련한	마련/NNG+하/XSV+ㄴ/ETM
예산안에는	예산안/NNG+에/JKB+는/JX
△복지	△/SW+복지/NNG
예산	예산/NNG
감축	감축/NNG
△최저임금	△/SW+최저/NNG+임금/NNG
12%	12/SN+%/SW
인하,	인하/NNG+,/SP
공무원	공무원/NNG
임금	임금/NNG
10%	10/SN+%/SW
삭감	삭감/NNG
△향후	△/SW+향후/NNG
공공부문	공공/NNG+부문/NNG
일자리	일자리/NNG
2만5000개	2/SN+만/NR+5000/SN+개/NNB
축소	축소/NNG
등이	등/NNB+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.342.4.4
시위대는 앞으로 9년간 갚아야 할 구제금융 이자율이 그리스(5.2%)보다 훨씬 높은 6.7%에 이를 것이란 보도에 격분했다.

시위대는	시위대/NNG+는/JX
앞으로	앞/NNG+으로/JKB
9년간	9/SN+년/NNB+간/XSN
갚아야	갚/VV+아야/EC
할	하/VX+ㄹ/ETM
구제금융	구제/NNG+금융/NNG
이자율이	이자/NNG+율/XSN+이/JKS
그리스(5.2%)보다	그리스/NNP+(/SS+5/SN+./SP+2/SN+%/SW+)/SS+보다/JKB
훨씬	훨씬/MAG
높은	높/VA+은/ETM
6.7%에	6/SN+./SP+7/SN+%/SW+에/JKB
이를	이르/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
보도에	보도/NNG+에/JKB
격분했다.	격분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.342.5.1
25일 아일랜드 서북부 더니골에서 치러진 보궐선거에선 야당인 신페인당의 피어스 도허티 후보가 당선됐다.

25일	25/SN+일/NNB
아일랜드	아일랜드/NNP
서북부	서북부/NNG
더니골에서	더니골/NNP+에서/JKB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
보궐선거에선	보궐/NNG+선거/NNG+에서/JKB+ㄴ/JX
야당인	야당/NNG+이/VCP+ㄴ/ETM
신페인당의	신페인당/NNP+의/JKG
피어스	피어스/NNP
도허티	도허티/NNP
후보가	후보/NNG+가/JKS
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.342.5.2
전통적으로 집권 아일랜드공화당이 강했던 이곳에서 여당 후보는 도허티 당선자의 절반밖에 득표하지 못했다.

전통적으로	전통/NNG+적/XSN+으로/JKB
집권	집권/NNG
아일랜드공화당이	아일랜드공화당/NNP+이/JKS
강했던	강하/VA+았/EP+던/ETM
이곳에서	이곳/NP+에서/JKB
여당	여당/NNG
후보는	후보/NNG+는/JX
도허티	도허티/NNP
당선자의	당선자/NNG+의/JKG
절반밖에	절반/NNG+밖에/JX
득표하지	득표/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.342.6.1
27일 이탈리아 로마에선 최대 연합노조인 이탈리아노동연맹(CGIL)이 고용 보장을 요구하며 반(反)정부 시위를 벌였다.

27일	27/SN+일/NNB
이탈리아	이탈리아/NNP
로마에선	로마/NNP+에서/JKB+ㄴ/JX
최대	최대/NNG
연합노조인	연합/NNG+노조/NNG+이/VCP+ㄴ/ETM
이탈리아노동연맹(CGIL)이	이탈리아노동연맹/NNP+(/SS+CGIL/SL+)/SS+이/JKS
고용	고용/NNG
보장을	보장/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
