# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.230
metadata : {}


# id : NWRW1800000048.230.1.1
[단독] 정리해고 절차 강화… 복직 길도 넓히기로

[단독]	[/SS+단독/NNG+]/SS
정리해고	정리/NNG+해고/NNG
절차	절차/NNG
강화…	강화/NNG+…/SE
복직	복직/NNG
길도	길/NNG+도/JX
넓히기로	넓히/VV+기/ETN+로/JKB


# id : NWRW1800000048.230.2.1
고용부 “전환배치·순환휴직 등

고용부	고용부/NNG
“전환배치·순환휴직	“/SS+전환/NNG+배치/NNG+·/SP+순환/NNG+휴직/NNG
등	등/NNB


# id : NWRW1800000048.230.3.1
해고회피 노력 구체적 명시 추진”

해고회피	해고/NNG+회피/NNG
노력	노력/NNG
구체적	구체/NNG+적/XSN
명시	명시/NNG
추진”	추진/NNG+”/SS


# id : NWRW1800000048.230.4.1
가장 큰 논란 대상인 해고요건

가장	가장/MAG
큰	크/VA+ㄴ/ETM
논란	논란/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
해고요건	해고/NNG+요건/NNG


# id : NWRW1800000048.230.5.1
‘긴박한 경영상의 필요’는 그냥 둬

‘긴박한	‘/SS+긴박/NNG+하/XSA+ㄴ/ETM
경영상의	경영/NNG+상/XSN+의/JKG
필요’는	필요/NNG+’/SS+는/JX
그냥	그냥/MAG
둬	두/VV+어/EF


# id : NWRW1800000048.230.6.1
정부가 정리해고 절차를 까다롭게 하고 해고자가 복직할 수 있는 길을 넓히는 대책을 추진한다.

정부가	정부/NNG+가/JKS
정리해고	정리/NNG+해고/NNG
절차를	절차/NNG+를/JKO
까다롭게	까다롭/VA+게/EC
하고	하/VX+고/EC
해고자가	해고자/NNG+가/JKS
복직할	복직/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길을	길/NNG+을/JKO
넓히는	넓히/VV+는/ETM
대책을	대책/NNG+을/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.230.7.1
고용노동부 고위관계자는 15일 “정리해고 때 사용자가 해야 할 해고 회피 노력을 구체적으로 정하는 등 절차를 강화하는 내용의 근로기준법 개정안을 마련해 상반기 안에 국회에 낼 계획”이라고 말했다. 고용부는 기업이 정리해고 전에 “근로시간의 단축, 업무의 조정, 전환배치, 순환휴직, 일시휴직, 전직지원·훈련, 여유 자산의 매각” 등의 노력을 하도록 구체적으로 명시하기로 했다. 현행법에는 “사용자는 해고를 피하기 위한 노력을 다해야 하며…”라고만 돼 있을 뿐, 무엇을 어디까지 해야 하는지 구체적으로 적시되지 않아 분쟁이 끊이지 않았다.

고용노동부	고용/NNG+노동부/NNG
고위관계자는	고위/NNG+관계자/NNG+는/JX
15일	15/SN+일/NNB
“정리해고	“/SS+정리/NNG+해고/NNG
때	때/NNG
사용자가	사용자/NNG+가/JKS
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
해고	해고/NNG
회피	회피/NNG
노력을	노력/NNG+을/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
정하는	정하/VV+는/ETM
등	등/NNB
절차를	절차/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
근로기준법	근로/NNG+기준법/NNG
개정안을	개정안/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
상반기	상반기/NNG
안에	안/NNG+에/JKB
국회에	국회/NNG+에/JKB
낼	내/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF
고용부는	고용부/NNG+는/JX
기업이	기업/NNG+이/JKS
정리해고	정리/NNG+해고/NNG
전에	전/NNG+에/JKB
