# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.68
metadata : {}


# id : NWRW1800000036.68.1.1
KT, 삼성 스마트TV 인터넷 접속 10일 차단

KT,	KT/SL+,/SP
삼성	삼성/NNP
스마트TV	스마트/NNG+TV/SL
인터넷	인터넷/NNG
접속	접속/NNG
10일	10/SN+일/NNB
차단	차단/NNG


# id : NWRW1800000036.68.2.1
[한겨레] “트래픽 커져 일반 이용자 피해 우려”…17만가구 대상

[한겨레]	[/SS+한겨레/NNP+]/SS
“트래픽	“/SS+트래픽/NNG
커져	커지/VV+어/EC
일반	일반/NNG
이용자	이용자/NNG
피해	피해/NNG
우려”…17만가구	우려/NNG+”/SS+…/SE+17/SN+만/NR+가구/NNG
대상	대상/NNG


# id : NWRW1800000036.68.3.1
삼성 “120여국에 수출하지만 이런 경우는 처음” 반발

삼성	삼성/NNP
“120여국에	“/SS+120여국/NNG+에/JKB
수출하지만	수출/NNG+하/XSV+지만/EC
이런	이런/MMD
경우는	경우/NNG+는/JX
처음”	처음/NNG+”/SS
반발	반발/NNG


# id : NWRW1800000036.68.4.1
SKB·LGU+ 차단계획 없어…방통위 “위법여부 검토”

SKB·LGU+	SKB/SL+·/SP+LGU/SL++/SW
차단계획	차단/NNG+계획/NNG
없어…방통위	없/VA+어/EC+…/SE+방통위/NNG
“위법여부	“/SS+위법/NNG+여부/NNG
검토”	검토/NNG+”/SS


# id : NWRW1800000036.68.5.1
케이티(KT)가 10일부터 삼성전자의 스마트티브이를 이용하는 고객들의 초고속 인터넷 접속을 차단하겠다고 밝혀 파문이 일고 있다.

케이티(KT)가	케이티/NNP+(/SS+KT/SL+)/SS+가/JKS
10일부터	10/SN+일/NNB+부터/JX
삼성전자의	삼성전자/NNP+의/JKG
스마트티브이를	스마트/NNG+티브이/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
고객들의	고객/NNG+들/XSN+의/JKG
초고속	초/XPN+고속/NNG
인터넷	인터넷/NNG
접속을	접속/NNG+을/JKO
차단하겠다고	차단/NNG+하/XSV+겠/EP+다고/EC
밝혀	밝히/VV+어/EC
파문이	파문/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.68.5.2
방송통신위원회는 케이티가 실제로 차단하고 나설 경우 “이용자 이익 침해 등 케이티의 법률 위반 여부를 검토해 위반한 것으로 판단되면 엄중한 제재를 취하겠다”고 밝혔다.

방송통신위원회는	방송/NNG+통신/NNG+위원회/NNG+는/JX
케이티가	케이티/NNP+가/JKS
실제로	실제로/MAG
차단하고	차단/NNG+하/XSV+고/EC
나설	나서/VV+ㄹ/ETM
경우	경우/NNG
“이용자	“/SS+이용자/NNG
이익	이익/NNG
침해	침해/NNG
등	등/NNB
케이티의	케이티/NNP+의/JKG
법률	법률/NNG
위반	위반/NNG
여부를	여부/NNG+를/JKO
검토해	검토/NNG+하/XSV+아/EC
위반한	위반/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
판단되면	판단/NNG+되/XSV+면/EC
엄중한	엄중/NNG+하/XSA+ㄴ/ETM
제재를	제재/NNG+를/JKO
취하겠다”고	취하/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.68.6.1
김효실 케이티 스마트네트워크 티에프(TF)팀장(상무)은 9일 서울 광화문 케이티 사옥에서 기자간담회를 열어 “다수 인터넷 이용자를 보호하고 시장 질서를 회복하기 위해 인터넷망을 무단 사용하는 스마트티브이에 대해 10일부터 접속 제한에 들어간다”며 “통신네트워크에 무임승차 데이터가 폭증하면 정보기술(IT) 생태계 자체가 공멸할 수 있다는 판단에서 고민 끝에 시행하게 됐다”고 밝혔다.

김효실	김효실/NNP
케이티	케이티/NNP
스마트네트워크	스마트/NNG+네트워크/NNG
티에프(TF)팀장(상무)은	티에프/NNG+(/SS+TF/SL+)/SS+팀장/NNG+(/SS+상무/NNG+)/SS+은/JX
9일	9/SN+일/NNB
서울	서울/NNP
광화문	광화문/NNP
사옥에서	사옥/NNG+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“다수	“/SS+다수/NNG
인터넷	인터넷/NNG
이용자를	이용자/NNG+를/JKO
