# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.348
metadata : {}


# id : NWRW1800000033.348.1.1
文측 “담판해보자”, 安측 “文측 기대일뿐”… 벌써부터 신경전

文측	文/SH+측/NNB
“담판해보자”,	“/SS+담판/NNG+하/XSV+아/EC+보/VX+자/EF+”/SS+,/SP
安측	安/SH+측/NNB
“文측	“/SS+文/SH+측/NNB
기대일뿐”…	기대/NNG+이/VCP+ㄹ/ETM+뿐/NNB+”/SS+…/SE
벌써부터	벌써/MAG+부터/JX
신경전	신경전/NNG


# id : NWRW1800000033.348.2.1
야권 단일화 전쟁 시작

야권	야권/NNG
단일화	단일/NNG+화/XSN
전쟁	전쟁/NNG
시작	시작/NNG


# id : NWRW1800000033.348.3.1
민주통합당 문재인 대선후보와 19일 대선 출마 입장을 밝히는 안철수 서울대 융합과학기술대학원장은 일단 추석 연휴 전까지 지지율 경쟁에 사활을 걸 것으로 예상된다.

민주통합당	민주통합당/NNP
문재인	문재인/NNP
대선후보와	대선/NNG+후보/NNG+와/JC
19일	19/SN+일/NNB
대선	대선/NNG
출마	출마/NNG
입장을	입장/NNG+을/JKO
밝히는	밝히/VV+는/ETM
안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장은	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+은/JX
일단	일단/MAG
추석	추석/NNG
연휴	연휴/NNG
전까지	전/NNG+까지/JX
지지율	지지/NNG+율/XSN
경쟁에	경쟁/NNG+에/JKB
사활을	사활/NNG+을/JKO
걸	걸/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.348.3.2
초반 기세 싸움에서 지지율을 높이고, 격차를 벌리는 쪽이 향후 단일화 과정에서 주도권을 쥘 수 있다는 점에서다.

초반	초반/NNG
기세	기세/NNG
싸움에서	싸움/NNG+에서/JKB
지지율을	지지/NNG+율/XSN+을/JKO
높이고,	높이/VV+고/EC+,/SP
격차를	격차/NNG+를/JKO
벌리는	벌리/VV+는/ETM
쪽이	쪽/NNB+이/JKS
향후	향후/NNG
단일화	단일/NNG+화/XSN
과정에서	과정/NNG+에서/JKB
주도권을	주도/NNG+권/XSN+을/JKO
쥘	쥐/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서다.	점/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000033.348.4.1
이를 위해 두 사람은 추석 연휴가 시작되기 전까지 캠프 재정비나 구성을 통해 인물, 정책 등 국지전마다 치열한 대결을 펼칠 것으로 보인다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
두	두/MMN
사람은	사람/NNG+은/JX
추석	추석/NNG
연휴가	연휴/NNG+가/JKS
시작되기	시작/NNG+되/XSV+기/ETN
전까지	전/NNG+까지/JX
캠프	캠프/NNG
재정비나	재/XPN+정비/NNG+나/JC
구성을	구성/NNG+을/JKO
통해	통하/VV+아/EC
인물,	인물/NNG+,/SP
정책	정책/NNG
등	등/NNB
국지전마다	국지전/NNG+마다/JX
치열한	치열/NNG+하/XSA+ㄴ/ETM
대결을	대결/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.348.4.2
문 후보 측 진선미 대변인은 17일 기자들과 만나 “이번 주까지 대선기획단을 꾸리고 추석 전까지 선거대책본부를 구성할 것”이라고 했고, 안 원장 측 관계자도 “출정식에 배석한 분들을 토대로 도와줄 분들을 곧 보강해나갈 것으로 안다”고 했다.

문	문/NNP
후보	후보/NNG
측	측/NNB
진선미	진선미/NNP
대변인은	대변인/NNG+은/JX
17일	17/SN+일/NNB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“이번	“/SS+이번/NNG
주까지	주/NNG+까지/JX
대선기획단을	대선/NNG+기획단/NNG+을/JKO
꾸리고	꾸리/VV+고/EC
추석	추석/NNG
전까지	전/NNG+까지/JX
선거대책본부를	선거/NNG+대책/NNG+본부/NNG+를/JKO
구성할	구성/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
안	안/NNP
원장	원장/NNG
관계자도	관계자/NNG+도/JX
“출정식에	“/SS+출정식/NNG+에/JKB
배석한	배석/NNG+하/XSV+ㄴ/ETM
분들을	분/NNB+들/XSN+을/JKO
토대로	토대/NNG+로/JKB
도와줄	도와주/VV+ㄹ/ETM
곧	곧/MAG
보강해나갈	보강/NNG+하/XSV+아/EC+나가/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.348.5.1
단일화 방법을 둘러싼 신경전도 본격화됐다.

단일화	단일/NNG+화/XSN
방법을	방법/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
신경전도	신경전/NNG+도/JX
본격화됐다.	본격/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.348.6.1
문 후보 측 우윤근 공동선대본부장은 평화방송 라디오 인터뷰에서 “민주당 소속 후보로 가는 것이 정당정치와 책임정치에 부합한다.

문	문/NNP
후보	후보/NNG
측	측/NNB
우윤근	우윤근/NNP
