# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.364
metadata : {}


# id : NWRW1800000024.364.1.1
부산서 되짚어보는 ‘10·4선언’

부산서	부산/NNP+서/JKB
되짚어보는	되짚/VV+어/EC+보/VX+는/ETM
‘10·4선언’	‘/SS+10/SN+·/SP+4/SN+선언/NNG+’/SS


# id : NWRW1800000024.364.2.1
10·4 남북공동선언 두 돌을 맞아 이를 기념하는 문화행사가 부산에서 펼쳐진다.

10·4	10/SN+·/SP+4/SN
남북공동선언	남북/NNP+공동/NNG+선언/NNG
두	두/MMN
돌을	돌/NNG+을/JKO
맞아	맞/VV+아/EC
이를	이/NP+를/JKO
기념하는	기념/NNG+하/XSV+는/ETM
문화행사가	문화/NNG+행사/NNG+가/JKS
부산에서	부산/NNP+에서/JKB
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.364.3.1
부산지역 102개 시민사회단체들로 구성된 ‘민족의 화해와 단합을 위한 10·4선언 2주년 행사위원회’는 오는 10일 저녁 7시 부산역 광장에서 10·4 선언 다시보기 문화제를 연다고 1일 밝혔다.

부산지역	부산지역/NNP
102개	102/SN+개/NNB
시민사회단체들로	시민/NNG+사회단체/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘민족의	‘/SS+민족/NNG+의/JKG
화해와	화해/NNG+와/JC
단합을	단합/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
10·4선언	10/SN+·/SP+4/SN+선언/NNG
2주년	2/SN+주년/NNB
행사위원회’는	행사/NNG+위원회/NNG+’/SS+는/JX
오는	오/VV+는/ETM
10일	10/SN+일/NNB
저녁	저녁/NNG
7시	7/SN+시/NNB
부산역	부산역/NNP
광장에서	광장/NNG+에서/JKB
10·4	10/SN+·/SP+4/SN
선언	선언/NNG
다시보기	다시/MAG+보/VV+기/ETN
문화제를	문화제/NNG+를/JKO
연다고	열/VV+ㄴ다고/EC
1일	1/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.364.3.2
이 행사는 10·4 선언이 합의될 당시의 영상 상영을 시작으로 해 평화와 통일을 염원하는 어린이 및 여성 공연과 노래패 ‘우리나라’의 축하공연 등 다양한 문화축전 형식으로 진행된다.

이	이/MMD
행사는	행사/NNG+는/JX
10·4	10/SN+·/SP+4/SN
선언이	선언/NNG+이/JKS
합의될	합의/NNG+되/XSV+ㄹ/ETM
당시의	당시/NNG+의/JKG
영상	영상/NNG
상영을	상영/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
해	하/VV+아/EC
평화와	평화/NNG+와/JC
통일을	통일/NNG+을/JKO
염원하는	염원/NNG+하/XSV+는/ETM
어린이	어린이/NNG
및	및/MAG
여성	여성/NNG
공연과	공연/NNG+과/JC
노래패	노래패/NNG
‘우리나라’의	‘/SS+우리나라/NNG+’/SS+의/JKG
축하공연	축하/NNG+공연/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
문화축전	문화/NNG+축전/NNG
형식으로	형식/NNG+으로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.364.4.1
또 이재정 전 통일부 장관과 세계사회포럼의 제안자인 필리핀 경제학자이며 국회의원인 월든 벨로도 참석해 축하발언을 할 예정이다.

또	또/MAG
이재정	이재정/NNP
전	전/MMD
통일부	통일부/NNG
장관과	장관/NNG+과/JC
세계사회포럼의	세계/NNG+사회/NNG+포럼/NNG+의/JKG
제안자인	제안자/NNG+이/VCP+ㄴ/ETM
필리핀	필리핀/NNP
경제학자이며	경제학자/NNG+이/VCP+며/EC
국회의원인	국회/NNG+의원/NNG+이/VCP+ㄴ/ETM
월든	월든/NNP
벨로도	벨로/NNP+도/JX
참석해	참석/NNG+하/XSV+아/EC
축하발언을	축하/NNG+발언/NNG+을/JKO
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.364.4.2
행사에 앞서 저녁 6시에는 10·4선언 및 평화통일을 주제로 한 젊은이들의 창작 영상물과 웹포스터를 상영 전시하는 유시시(UCC) 공모전 페스티벌도 펼쳐진다.

행사에	행사/NNG+에/JKB
앞서	앞서/VV+어/EC
저녁	저녁/NNG
6시에는	6/SN+시/NNB+에/JKB+는/JX
10·4선언	10/SN+·/SP+4/SN+선언/NNG
및	및/MAG
